"HHID","h17q1","h17q2","h17q3","h17q4","h17q5","h17q6","h17q7","h17q8","h17q9","wgt_X"
"H04913-04-04","P04913-024",1,1,1,3,4,12,12,2,465.4111328125
"H04913-04-05","P04913-005",1,2,2,2,2,12,7,2,465.4111328125
"H04913-04-06","P04913-014",1,2,1,2,2,7,7,1,465.4111328125
"H05002-04-01","P05002-001",1,1,1,3,1,12,12,1,2792.46655273438
"H05003-04-01","P05003-001",1,2,1,3,2,1,1,2,1396.23327636719
"H05003-04-02","P05003-003",1,2,2,3,5,12,12,2,1396.23327636719
"H05004-04-01","P05004-001",1,1,1,3,2,1,1,2,2792.46655273438
"H05005-04-01","P05005-001",1,2,2,2,2,12,4,1,2792.46655273438
"H05006-04-01","P05006-001",1,2,2,2,1,3,3,1,2792.46655273438
"H05007-04-01","P05007-002",1,1,1,3,5,6,6,1,2792.46655273438
"H05008-04-01","P05008-002",1,1,1,2,1,12,12,2,2792.46655273438
"H05009-04-01","P05009-001",1,1,1,3,1,4,12,2,2792.46655273438
"H05010-04-01","P05010-002",1,2,1,3,2,9,9,2,2792.46655273438
"H05101-04-01","P05101-007",1,1,1,3,2,2,2,2,2792.466796875
"H05102-04-01","P05102-002",1,1,1,3,2,4,4,2,2792.466796875
"H05103-04-01","P05103-002",1,2,1,3,2,4,1,2,2792.466796875
"H05104-04-01","P05104-001",1,3,2,3,2,12,12,2,2792.466796875
"H05105-04-01","P05105-001",1,1,1,3,2,1,1,2,2792.466796875
"H05106-04-01","P05106-003",1,1,1,2,2,12,1,2,2792.466796875
"H05107-04-01","P05107-001",1,1,1,1,3,12,12,1,2792.466796875
"H05108-04-01","P05108-002",1,2,1,2,2,11,4,2,2792.466796875
"H05109-04-01","P05109-002",1,1,2,3,2,4,4,1,2792.466796875
"H05110-04-01","P05110-002",1,1,1,2,2,12,12,2,2792.466796875
"H05301-04-01","P05301-001",1,1,1,3,5,7,12,2,2792.466796875
"H05302-04-01","P05302-002",1,2,1,3,2,1,1,2,2792.466796875
"H05303-04-01","P05303-001",1,1,1,3,5,2,2,1,2792.466796875
"H05304-04-01","P05304-001",2,2,1,2,2,12,1,2,2792.466796875
"H05305-04-01","P05305-001",1,1,1,2,2,12,12,2,465.4111328125
"H05305-04-02","P05305-036",1,1,1,2,2,12,4,2,465.4111328125
"H05305-04-03","P05305-003",1,1,1,2,2,4,4,2,465.4111328125
"H05305-04-05","P05305-021",1,1,2,3,5,4,4,2,465.4111328125
"H05306-04-01","P05306-001",1,2,2,2,2,3,12,1,1396.2333984375
"H05306-04-02","P05306-002",1,2,1,2,2,12,12,2,1396.2333984375
"H05308-04-01","P05308-002",1,2,1,2,2,3,3,1,2792.466796875
"H05309-04-01","P05309-001",1,1,1,3,2,4,12,2,2792.466796875
"H05310-04-01","P05310-001",1,3,1,3,5,12,12,2,1396.2333984375
"H05310-04-02","P05310-002",1,2,2,3,5,12,1,1,1396.2333984375
"H05403-04-01","P05403-001",1,2,1,3,2,12,1,2,2792.46655273438
"H05404-04-01","P05404-001",1,2,1,2,1,12,4,1,2792.46655273438
"H05405-04-01","P05405-001",1,3,1,3,2,12,12,2,2792.46655273438
"H05406-04-01","P05406-001",1,2,2,2,2,4,12,1,2792.46655273438
"H05407-04-01","P05407-001",1,1,2,3,2,12,4,2,1396.23327636719
"H05407-04-02","P05407-010",1,1,2,3,2,12,12,2,1396.23327636719
"H05409-04-01","P05409-001",1,1,1,3,2,4,4,2,2792.46655273438
"H05410-04-01","P05410-006",1,2,1,2,2,12,11,2,2792.46655273438
"H05412-04-01","P05412-007",1,2,1,3,2,4,4,2,930.822265625
"H05412-04-02","P05412-001",1,2,1,3,2,2,2,2,930.822265625
"H05412-04-03","P05412-018",1,2,1,2,2,12,4,1,930.822265625
"H05701-04-01","P05701-001",1,1,1,3,2,12,8,2,2792.466796875
"H05702-04-01","P05702-001",1,2,2,2,2,12,4,2,2792.466796875
"H05703-04-01","P05703-001",1,2,2,1,2,12,1,1,2792.466796875
"H05704-04-01","P05704-001",1,1,1,3,2,12,2,2,2792.466796875
"H05705-04-01","P05705-001",1,2,1,2,2,4,4,2,2792.466796875
"H05706-04-01","P05706-002",1,2,1,2,2,5,5,2,2792.466796875
"H05707-04-01","P05707-002",1,2,2,2,2,4,11,2,2792.466796875
"H05709-04-01","P05709-001",1,2,1,2,2,12,4,2,2792.466796875
"H05710-04-01","P05710-002",1,1,1,3,2,4,4,2,2792.466796875
"H05711-04-01","P05711-001",1,1,2,3,2,12,4,2,1396.2333984375
"H05711-04-02","P05711-002",1,3,1,3,2,12,12,2,1396.2333984375
"H05901-04-01","P05901-002",1,1,1,3,2,12,6,2,2551.701171875
"H05903-04-01","P05903-003",1,1,1,3,2,4,4,2,2551.701171875
"H05904-04-01","P05904-002",1,1,1,2,2,4,4,2,2551.701171875
"H05906-04-01","P05906-001",1,1,1,2,2,12,4,2,1275.8505859375
"H05906-04-02","P05906-037",1,2,1,2,2,12,11,2,1275.8505859375
"H05910-04-01","P05910-001",1,1,1,2,2,12,2,2,2551.701171875
"H06001-04-01","P06001-002",1,1,1,3,5,2,1,2,2551.70141601563
"H06005-04-01","P06005-002",1,1,1,2,2,12,1,2,2551.70141601563
"H06006-04-01","P06006-002",1,1,1,3,2,1,1,2,2551.70141601563
"H06007-04-01","P06007-001",1,3,1,3,2,12,12,2,2551.70141601563
"H06008-04-01","P06008-002",1,1,1,3,5,12,1,2,2551.70141601563
"H06009-04-01","P06009-001",1,1,1,3,2,2,2,2,2551.70141601563
"H06010-04-01","P06010-002",1,1,1,3,2,7,9,2,2551.70141601563
"H06101-04-01","P06101-002",1,1,2,2,2,1,11,2,2551.70141601563
"H06102-04-01","P06102-002",1,1,1,3,5,2,4,2,2551.70141601563
"H06103-04-01","P06103-001",1,1,1,3,2,11,3,2,2551.70141601563
"H06104-04-01","P06104-001",1,1,2,2,2,12,12,2,850.567138671875
"H06104-04-02","P06104-021",1,3,2,1,2,12,12,2,850.567138671875
"H06104-04-03","P06104-018",1,1,1,2,2,12,11,2,850.567138671875
"H06105-04-01","P06105-002",1,2,2,3,5,4,4,2,1275.85070800781
"H06105-04-02","P06105-003",1,1,1,3,5,2,2,2,1275.85070800781
"H06107-04-01","P06107-002",1,2,2,2,1,1,1,2,2551.70141601563
"H06108-04-01","P06108-003",1,1,1,2,2,3,3,1,2551.70141601563
"H06109-04-01","P06109-001",1,2,1,3,2,1,1,2,2551.70141601563
"H06110-04-01","P06110-001",1,2,1,3,2,12,2,1,2551.70141601563
"H06201-04-01","P06201-006",1,2,1,2,2,96,96,1,2551.701171875
"H06203-04-01","P06203-001",1,2,1,2,2,12,2,2,2551.701171875
"H06207-04-01","P06207-001",1,2,1,2,2,2,2,2,2551.701171875
"H06208-04-01","P06208-002",1,2,1,2,2,2,2,2,2551.701171875
"H06209-04-01","P06209-001",2,1,2,2,2,11,11,2,2551.701171875
"H06301-04-01","P06301-001",1,2,2,2,2,5,5,1,2551.70141601563
"H06302-04-01","P06302-001",1,2,2,2,2,1,1,2,2551.70141601563
"H06303-04-01","P06303-003",1,2,2,2,2,1,11,2,850.567138671875
"H06303-04-02","P06303-013",1,2,2,3,2,11,12,2,850.567138671875
"H06303-04-03","P06303-007",1,2,1,2,2,4,4,2,850.567138671875
"H06305-04-01","P06305-001",1,2,2,3,2,12,4,2,2551.70141601563
"H06306-04-01","P06306-004",1,2,1,3,2,4,4,2,2551.70141601563
"H06307-04-01","P06307-001",1,2,1,3,2,3,3,2,2551.70141601563
"H06309-04-01","P06309-001",1,1,1,4,2,12,4,2,2551.70141601563
"H06310-04-01","P06310-002",1,1,1,3,2,12,2,2,850.567138671875
"H06310-04-02","P06310-016",1,3,1,3,2,2,2,2,850.567138671875
"H06310-04-03","P06310-021",1,1,1,3,2,12,4,2,850.567138671875
"H06401-04-01","P06401-001",1,1,1,1,2,12,12,2,2551.70141601563
"H06402-04-01","P06402-002",1,1,1,3,2,12,12,2,2551.70141601563
"H06403-04-01","P06403-001",1,3,1,2,2,12,12,2,2551.70141601563
"H06404-04-01","P06404-001",1,2,1,3,2,4,4,2,2551.70141601563
"H06405-04-01","P06405-002",1,1,2,3,2,12,96,2,2551.70141601563
"H06406-04-01","P06406-001",1,2,1,2,2,11,1,2,2551.70141601563
"H06408-04-01","P06408-001",1,1,2,2,1,12,3,2,2551.70141601563
"H06409-04-01","P06409-001",1,2,1,3,2,4,4,2,2551.70141601563
"H06410-04-01","P06410-002",1,1,1,3,2,4,12,2,2551.70141601563
"H06411-04-01","P06411-001",1,2,1,2,2,3,3,2,2551.70141601563
"H06601-04-01","P06601-001",1,1,1,3,2,12,12,2,2551.70141601563
"H06602-04-01","P06602-001",1,1,1,3,2,12,12,2,2551.70141601563
"H06603-04-01","P06603-001",1,2,1,2,2,4,4,2,2551.70141601563
"H06604-04-01","P06604-001",1,2,2,2,1,4,4,2,2551.70141601563
"H06605-04-01","P06605-010",2,3,2,2,2,12,12,2,2551.70141601563
"H06606-04-01","P06606-002",1,1,1,3,2,2,2,2,2551.70141601563
"H06607-04-01","P06607-002",1,1,1,3,2,8,8,2,2551.70141601563
"H06608-04-01","P06608-002",1,2,1,3,2,6,3,2,2551.70141601563
"H06609-04-01","P06609-002",1,1,1,3,2,12,4,2,2551.70141601563
"H06701-04-01","P06701-001",1,2,2,2,2,1,1,2,2551.701171875
"H06702-04-01","P06702-001",1,2,1,3,2,2,2,2,2551.701171875
"H06703-04-01","P06703-001",1,2,1,3,2,12,4,2,2551.701171875
"H06704-04-01","P06704-001",1,1,1,2,2,1,1,2,2551.701171875
"H06706-04-01","P06706-001",1,2,2,3,2,4,4,2,2551.701171875
"H06707-04-01","P06707-001",1,1,1,3,2,4,4,2,1275.8505859375
"H06707-04-02","P06707-021",1,1,1,3,2,11,11,2,1275.8505859375
"H06708-04-01","P06708-001",1,1,1,2,2,12,3,2,2551.701171875
"H06709-04-01","P06709-001",1,1,1,3,2,2,2,2,2551.701171875
"H06710-04-01","P06710-001",1,2,2,1,2,12,11,2,2551.701171875
"H06801-04-01","P06801-004",1,1,1,3,2,8,8,2,2551.701171875
"H06802-04-01","P06802-001",1,1,1,3,2,2,2,2,2551.701171875
"H06803-04-01","P06803-003",1,1,1,2,2,4,4,2,2551.701171875
"H06805-04-01","P06805-001",1,3,1,1,2,12,12,2,2551.701171875
"H06806-04-01","P06806-001",1,2,1,2,2,2,2,2,2551.701171875
"H06807-04-01","P06807-002",1,1,1,3,2,12,4,1,2551.701171875
"H06810-04-01","P06810-002",1,2,1,2,2,12,11,2,1275.8505859375
"H06810-04-02","P06810-001",1,1,1,2,2,4,4,2,1275.8505859375
"H06901-04-01","P06901-002",1,1,1,3,2,12,4,2,2551.70141601563
"H06902-04-01","P06902-002",1,2,1,3,2,12,2,2,2551.70141601563
"H06903-04-01","P06903-002",1,2,1,3,2,4,4,2,2551.70141601563
"H06906-04-01","P06906-001",1,1,1,2,3,12,12,2,2551.70141601563
"H06908-04-01","P06908-002",1,1,1,1,2,12,11,2,1275.85070800781
"H06909-04-01","P06909-001",1,1,1,1,2,12,11,2,2551.70141601563
"H06911-04-01","P06911-002",1,2,1,2,2,12,4,1,1275.85070800781
"H06911-04-03","P06911-003",1,2,1,2,2,4,4,2,1275.85070800781
"H06914-04-01","P06914-002",1,1,1,3,2,12,11,2,2551.70141601563
"H07002-04-02","P07002-002",1,2,1,2,2,12,4,1,2551.70141601563
"H07003-04-01","P07003-001",1,1,1,2,2,12,4,2,2551.70141601563
"H07007-04-01","P07007-002",1,1,1,3,2,2,2,2,1275.85070800781
"H07007-04-02","P07007-004",1,3,1,3,2,12,12,2,1275.85070800781
"H07008-04-01","P07008-001",1,2,1,2,2,7,7,1,2551.70141601563
"H07009-04-01","P07009-001",1,1,1,3,5,2,2,2,2551.70141601563
"H07010-04-01","P07010-002",1,1,1,3,5,2,2,2,2551.70141601563
"H07201-04-01","P07201-002",1,1,1,3,2,4,4,2,2551.70141601563
"H07202-04-01","P07202-006",1,2,1,3,5,12,12,2,1275.85070800781
"H07202-04-02","P07202-008",1,1,1,3,2,1,1,2,1275.85070800781
"H07203-04-01","P07203-001",1,2,1,2,1,4,4,2,2551.70141601563
"H07204-04-01","P07204-001",1,2,2,2,2,12,11,1,2551.70141601563
"H07205-04-01","P07205-001",1,1,1,3,1,12,2,2,2551.70141601563
"H07206-04-01","P07206-002",1,1,1,3,5,12,12,2,2551.70141601563
"H07207-04-01","P07207-006",1,2,1,2,2,12,2,2,1275.85070800781
"H07208-04-01","P07208-003",1,2,1,1,1,6,12,1,1275.85070800781
"H07208-04-02","P07208-002",1,2,2,1,1,11,11,1,1275.85070800781
"H07209-04-01","P07209-002",1,3,1,2,1,12,12,2,2551.70141601563
