"District_Name","SubCounty","Parish","Villagecode","School_Performance_ID","C3E_Year","C3EQ30A","C3EQ30B","C3EQ31A","C3EQ31B","C3EQ32A","C3EQ32B","C3EQ33A","C3EQ33B","Survey_Visit","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,1,3,80,86,29,26,44,46,6,7,2,1,
102,102101,10210104,1021010402,2,2,66,90,22,14,31,49,11,9,2,1,
102,102101,10210108,1021010802,1,3,20,15,14,8,6,6,0,0,2,2,
102,102101,10210108,1021010802,2,2,7,12,5,8,2,4,0,0,2,2,
102,102102,10210202,1021020205,2,4,75,77,7,5,30,27,13,18,2,2,
102,102102,10210205,1021020504,1,3,10,12,2,7,8,5,0,0,2,1,
102,102102,10210205,1021020504,2,2,9,12,1,1,6,5,2,5,2,1,
102,102102,10210206,1021020601,1,4,17,12,1,1,15,9,0,2,2,3,"The school was still closed for holidays"
102,102102,10210206,1021020601,2,3,19,23,6,4,10,18,1,0,2,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,1,3,55,74,24,23,26,45,2,4,2,1,
102,102102,10210208,1021020805,2,2,49,66,15,14,31,50,2,0,2,1,
102,102103,10210301,1021030109,1,3,21,31,1,2,16,18,4,5,2,1,
102,102103,10210301,1021030109,2,2,37,47,3,1,13,24,13,11,2,1,
102,102103,10210302,1021030203,1,3,4,11,1,3,3,8,0,0,2,1,
102,102103,10210302,1021030203,2,2,8,6,1,1,5,3,4,0,2,1,
102,102103,10210302,1021030203,3,4,10,12,4,3,3,7,3,2,2,1,
102,102103,10210304,1021030412,,,,,,,,,,,2,3,"holiday"
102,102103,10210305,1021030504,1,3,13,22,0,2,,,,,1,2,
102,102103,10210305,1021030504,2,2,,,,,,,,,1,2,
102,102103,10210305,1021030509,1,3,24,28,2,2,12,10,7,9,2,3,"No Contact"
102,102103,10210305,1021030509,2,4,,,,,,,,,2,3,"No Contact"
102,102103,10210306,1021030606,1,2,61,88,23,27,33,57,3,3,2,3,"school closed for holidays"
102,102103,10210306,1021030606,2,3,73,80,15,20,55,57,1,2,2,3,"school closed for holidays"
102,102103,10210308,1021030803,1,3,15,19,9,8,6,10,0,0,2,,
102,102103,10210308,1021030803,2,4,12,18,9,9,3,9,0,0,2,,
102,102103,10210309,1021030904,1,3,15,14,2,1,5,5,3,4,1,1,
102,102103,10210309,1021030904,1,3,15,14,2,1,5,5,3,4,2,1,
102,102103,10210309,1021030904,2,4,11,14,0,0,3,4,4,3,2,1,
102,102103,10210309,1021030904,2,4,11,14,0,0,3,4,4,3,1,1,
102,102103,10210312,1021031208,1,3,63,70,10,2,24,39,14,14,2,2,
102,102103,10210312,1021031208,2,2,72,62,3,4,44,28,14,18,2,2,
102,102103,10210312,1021031208,3,,38,60,5,3,26,32,3,10,2,2,
102,102104,10210401,1021040102,1,4,91,108,9,7,47,54,13,20,2,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210401,1021040102,2,3,107,95,18,9,74,54,8,9,2,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,,,,,,,,,,,1,3,
102,102104,10210410,1021041002,1,3,73,91,4,2,31,55,9,23,2,2,
102,102104,10210410,1021041002,2,2,66,77,5,3,40,39,14,11,2,2,
102,102104,10210411,1021041118,,,,,,,,,,,2,,
102,102104,10210417,1021041701,1,2,436,0,146,0,270,0,11,0,2,3,"no one was present at school"
102,102104,10210417,1021041701,2,3,436,0,143,0,275,0,12,0,2,3,"no one was present at school"
102,102104,10210419,1021041903,1,3,24,30,0,3,18,15,8,6,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102104,10210419,1021041903,2,2,21,25,2,3,16,16,2,3,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102105,10210501,1021050106,1,3,17,13,0,0,9,10,1,1,2,1,
102,102105,10210501,1021050106,2,2,13,17,0,3,8,9,4,4,2,1,
102,102105,10210503,1021050307,,,,,,,,,,,2,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210504,1021050405,1,3,83,95,13,22,60,56,7,12,2,3,
102,102105,10210504,1021050405,2,3,93,95,22,16,59,65,8,9,2,3,
102,102105,10210510,1021051004,,,,,,,,,,,2,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210513,1021051305,1,3,57,56,5,1,37,32,7,8,2,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210513,1021051305,2,4,66,58,5,2,48,31,5,10,2,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210515,1021051506,1,3,124,158,34,31,71,98,11,18,2,2,
102,102105,10210515,1021051506,2,4,138,147,28,17,71,93,22,26,2,2,
102,102105,10210518,1021051832,1,2,81,68,11,6,39,39,12,20,2,1,
102,102105,10210518,1021051832,2,3,60,40,5,3,40,27,12,6,2,1,
103,103105,10310505,1031050505,1,4,12,13,0,0,0,2,3,5,2,3,"On holiday"
104,104102,10410204,1041020405,1,3,10,11,1,1,7,6,1,3,2,1,
104,104104,10410403,1041040304,1,3,21,26,2,5,15,19,0,3,2,2,
104,104104,10410403,1041040304,2,2,21,31,4,3,11,20,5,5,2,2,
104,104105,10410504,1041050403,1,4,14,26,0,0,1,5,4,9,2,1,
104,104105,10410504,1041050403,2,3,15,24,0,0,3,9,4,9,2,1,
104,104208,10420804,1042080404,1,3,,,,,,,,,2,2,
104,104208,10420804,1042080404,2,2,,,,,,,,,2,2,
105,105105,10510502,1051050201,1,3,28,40,2,0,11,18,10,17,2,2,
105,105105,10510502,1051050201,2,4,23,39,0,0,13,17,9,10,2,2,
106,106101,10610101,1061010108,1,3,25,36,4,3,21,22,6,4,2,1,
106,106101,10610109,1061010902,1,3,45,47,1,0,14,10,14,10,2,3,"On holiday"
106,106101,10610109,1061010902,2,4,36,32,0,0,11,9,14,19,2,3,"On holiday"
106,106106,10610606,1061060602,1,3,13,14,1,0,0,0,1,4,2,1,
106,106106,10610606,1061060602,2,2,18,12,0,0,2,2,1,1,2,1,
107,107105,10710503,1071050302,,,,,,,,,,,2,1,
107,107105,10710505,1071050503,1,4,59,66,6,4,51,46,10,16,2,1,
107,107202,10720206,1072020601,,,,,,,,,,,2,1,
107,107302,10730203,1073020305,1,4,19,25,0,0,9,11,7,6,2,3,"On holiday"
107,107305,10730507,1073050702,1,4,10,15,1,0,2,0,3,7,2,3,"On holiday"
108,108106,10810603,1081060309,1,4,32,17,0,0,3,6,14,4,2,3,"On holiday"
108,108301,10830101,1083010101,,,,,,,,,,,2,3,"On holiday"
108,108301,10830105,1083010505,1,4,26,25,1,0,18,6,5,12,2,3,"On holiday"
108,108305,10830502,1083050204,1,3,10,10,0,0,6,2,2,3,2,1,
108,108305,10830502,1083050204,2,2,8,9,0,0,0,0,1,3,2,1,
110,110105,11010501,1101050107,1,4,20,25,0,0,7,9,6,10,2,1,
110,110203,11020306,1102030601,1,3,10,14,0,0,4,0,4,7,2,2,
110,110203,11020306,1102030601,2,2,19,10,0,0,8,0,5,0,2,2,
110,110204,11020401,1102040107,1,3,8,12,0,0,3,1,4,3,2,3,"On holiday"
110,110206,11020603,1102060309,,,,,,,,,,,1,2,
110,110207,11020704,1102070403,1,3,21,21,1,0,5,3,5,6,2,1,
110,110305,11030501,1103050102,1,3,18,21,1,0,3,4,9,2,2,1,
110,110305,11030501,1103050102,2,2,19,25,0,0,4,0,3,5,2,1,
110,110306,11030601,1103060102,1,3,18,36,0,0,14,31,4,5,2,2,
110,110306,11030601,1103060102,2,2,27,31,6,0,22,15,2,10,2,2,
111,111102,11110201,1111020105,1,3,12,6,0,0,10,4,0,1,2,1,
111,111102,11110201,1111020105,2,2,11,9,0,0,4,0,5,2,2,1,
111,111202,11120204,1112020403,1,3,18,30,0,0,6,7,5,12,2,1,
111,111202,11120204,1112020403,2,2,18,34,0,0,5,10,8,14,2,1,
111,111202,11120206,1112020618,1,3,26,20,0,0,8,3,3,4,2,1,
111,111202,11120206,1112020618,2,2,11,18,0,0,1,3,2,3,2,1,
112,112102,11210203,1121020302,,,,,,,,,,,2,2,
112,112104,11210402,1121040209,1,4,9,22,0,0,3,2,0,10,2,1,
112,112104,11210402,1121040209,2,3,8,6,0,0,5,2,1,1,2,1,
112,112203,11220301,1122030104,1,4,10,10,0,0,6,7,1,2,2,3,"On holiday"
112,112204,11220403,1122040303,1,3,38,29,4,0,26,22,6,4,2,1,
112,112204,11220403,1122040303,2,2,45,36,2,0,18,17,10,7,2,1,
113,113105,11310504,1131050402,1,4,15,13,1,1,6,5,5,4,2,3,"On holiday"
113,113105,11310505,1131050505,1,3,61,43,20,11,41,31,0,1,2,1,
113,113105,11310505,1131050505,2,2,65,46,23,33,23,29,0,0,2,1,
113,113111,11311102,1131110205,1,3,56,73,11,2,43,64,1,4,2,1,
113,113112,11311203,1131120307,1,2,14,20,2,2,9,14,3,4,2,1,
113,113112,11311203,1131120307,2,3,14,17,2,0,12,16,0,1,2,1,
113,113113,11311302,1131130204,1,4,78,73,18,12,58,55,1,4,2,1,
113,113113,11311306,1131130602,1,3,48,54,7,4,28,25,4,12,2,1,
113,113303,11330301,1133030101,1,3,46,44,11,7,35,35,2,0,2,,
113,113303,11330301,1133030101,2,2,58,28,6,9,20,48,2,1,2,,
113,113303,11330301,1133030109,1,4,10,11,3,3,6,8,0,1,2,3,"On holiday"
113,113303,11330305,1133030504,1,4,,,,,,,,,2,1,
113,113304,11330403,1133040308,1,4,77,77,6,8,0,0,0,0,1,1,
113,113304,11330403,1133040308,2,3,65,80,6,4,0,0,0,0,1,1,
113,113306,11330606,1133060601,1,3,0,0,0,0,0,0,0,0,2,1,
