"HHID","h9q15a","h9q15b","wgt_X"
"H00303-04-01",1,1,1874.79821777344
"H00303-04-01",2,2,1874.79821777344
"H00303-04-01",3,2,1874.79821777344
"H00303-04-01",4,2,1874.79821777344
"H00303-04-01",6,2,1874.79821777344
"H00307-04-01",1,1,1874.79821777344
"H00307-04-01",2,2,1874.79821777344
"H00307-04-01",3,1,1874.79821777344
"H00307-04-01",4,2,1874.79821777344
"H00307-04-01",6,2,1874.79821777344
"H00802-04-01",1,1,1874.79821777344
"H00802-04-01",2,1,1874.79821777344
"H00802-04-01",3,1,1874.79821777344
"H00802-04-01",4,2,1874.79821777344
"H00802-04-01",6,2,1874.79821777344
"H00805-04-01",1,2,1874.79821777344
"H00805-04-01",2,2,1874.79821777344
"H00805-04-01",3,1,1874.79821777344
"H00805-04-01",4,2,1874.79821777344
"H00805-04-01",6,2,1874.79821777344
"H02108-04-01",1,1,1874.79821777344
"H02108-04-01",2,2,1874.79821777344
"H02108-04-01",3,1,1874.79821777344
"H02108-04-01",4,2,1874.79821777344
"H02108-04-01",6,2,1874.79821777344
"H02110-04-01",1,1,1874.79821777344
"H02110-04-01",2,1,1874.79821777344
"H02110-04-01",3,1,1874.79821777344
"H02110-04-01",4,2,1874.79821777344
"H02110-04-01",6,2,1874.79821777344
"H02113-04-01",1,2,1874.79821777344
"H02113-04-01",2,2,1874.79821777344
"H02113-04-01",3,2,1874.79821777344
"H02113-04-01",4,1,1874.79821777344
"H02113-04-01",6,2,1874.79821777344
"H02710-04-01",1,1,1874.79821777344
"H02710-04-01",2,1,1874.79821777344
"H02710-04-01",3,2,1874.79821777344
"H02710-04-01",4,2,1874.79821777344
"H02710-04-01",6,1,1874.79821777344
"H02711-04-01",1,2,624.932739257813
"H02711-04-01",2,2,624.932739257813
"H02711-04-01",3,2,624.932739257813
"H02711-04-01",4,2,624.932739257813
"H02711-04-01",6,1,624.932739257813
"H02711-04-03",1,2,624.932739257813
"H02711-04-03",2,2,624.932739257813
"H02711-04-03",3,1,624.932739257813
"H02711-04-03",4,2,624.932739257813
"H02711-04-03",6,2,624.932739257813
"H03601-04-01",1,2,2551.70141601563
"H03601-04-01",2,2,2551.70141601563
"H03601-04-01",3,1,2551.70141601563
"H03601-04-01",4,2,2551.70141601563
"H03601-04-01",6,2,2551.70141601563
"H03602-04-04",1,1,2551.70141601563
"H03602-04-04",2,1,2551.70141601563
"H03602-04-04",3,1,2551.70141601563
"H03602-04-04",4,1,2551.70141601563
"H03602-04-04",6,2,2551.70141601563
"H03804-04-01",1,2,2551.70141601563
"H03804-04-01",2,2,2551.70141601563
"H03804-04-01",3,2,2551.70141601563
"H03804-04-01",4,2,2551.70141601563
"H03804-04-01",6,2,2551.70141601563
"H03807-04-01",1,1,2551.70141601563
"H03807-04-01",2,1,2551.70141601563
"H03807-04-01",3,2,2551.70141601563
"H03807-04-01",4,2,2551.70141601563
"H03807-04-01",6,2,2551.70141601563
"H03813-04-01",1,1,2551.70141601563
"H03813-04-01",2,1,2551.70141601563
"H03813-04-01",3,2,2551.70141601563
"H03813-04-01",4,2,2551.70141601563
"H03813-04-01",6,2,2551.70141601563
"H03901-04-01",1,2,2551.70141601563
"H03901-04-01",2,2,2551.70141601563
"H03901-04-01",3,2,2551.70141601563
"H03901-04-01",4,2,2551.70141601563
"H03901-04-01",6,1,2551.70141601563
"H03902-04-01",1,2,2551.70141601563
"H03902-04-01",2,2,2551.70141601563
"H03902-04-01",3,1,2551.70141601563
"H03902-04-01",4,2,2551.70141601563
"H03902-04-01",6,2,2551.70141601563
"H03903-04-01",1,1,2551.70141601563
"H03903-04-01",2,2,2551.70141601563
"H03903-04-01",3,1,2551.70141601563
"H03903-04-01",4,1,2551.70141601563
"H03903-04-01",6,2,2551.70141601563
"H03906-04-01",1,2,2551.70141601563
"H03906-04-01",2,1,2551.70141601563
"H03906-04-01",3,2,2551.70141601563
"H03906-04-01",4,1,2551.70141601563
"H03906-04-01",6,2,2551.70141601563
"H04205-04-01",1,2,2551.70141601563
"H04205-04-01",2,2,2551.70141601563
"H04205-04-01",3,2,2551.70141601563
"H04205-04-01",4,1,2551.70141601563
"H04205-04-01",6,1,2551.70141601563
"H04206-04-01",1,2,2551.70141601563
"H04206-04-01",2,2,2551.70141601563
"H04206-04-01",3,2,2551.70141601563
"H04206-04-01",4,2,2551.70141601563
"H04206-04-01",6,1,2551.70141601563
"H04207-04-01",1,1,2551.70141601563
"H04207-04-01",2,1,2551.70141601563
"H04207-04-01",3,1,2551.70141601563
"H04207-04-01",4,1,2551.70141601563
"H04207-04-01",6,2,2551.70141601563
"H04210-04-01",1,2,2551.70141601563
"H04210-04-01",2,2,2551.70141601563
"H04210-04-01",3,1,2551.70141601563
"H04210-04-01",4,1,2551.70141601563
"H04210-04-01",6,2,2551.70141601563
"H04604-04-01",1,2,2792.466796875
"H04604-04-01",2,2,2792.466796875
"H04604-04-01",3,1,2792.466796875
"H04604-04-01",4,2,2792.466796875
"H04604-04-01",6,2,2792.466796875
"H04607-04-01",1,1,2792.466796875
"H04607-04-01",2,1,2792.466796875
"H04607-04-01",3,2,2792.466796875
"H04607-04-01",4,1,2792.466796875
"H04607-04-01",6,2,2792.466796875
"H04608-04-01",1,2,2792.466796875
"H04608-04-01",2,2,2792.466796875
"H04608-04-01",3,1,2792.466796875
"H04608-04-01",4,1,2792.466796875
"H04608-04-01",6,2,2792.466796875
"H04609-04-01",1,1,2792.466796875
"H04609-04-01",2,1,2792.466796875
"H04609-04-01",3,2,2792.466796875
"H04609-04-01",4,2,2792.466796875
"H04609-04-01",6,2,2792.466796875
"H04610-04-01",1,2,930.822265625
"H04610-04-01",2,1,930.822265625
"H04610-04-01",3,1,930.822265625
"H04610-04-01",4,2,930.822265625
"H04610-04-01",6,2,930.822265625
"H04610-04-02",1,1,930.822265625
"H04610-04-02",2,2,930.822265625
"H04610-04-02",3,2,930.822265625
"H04610-04-02",4,2,930.822265625
"H04610-04-02",6,2,930.822265625
"H04610-04-03",1,1,930.822265625
"H04610-04-03",2,2,930.822265625
"H04610-04-03",3,2,930.822265625
"H04610-04-03",4,2,930.822265625
"H04610-04-03",6,2,930.822265625
"H04801-04-01",1,2,2792.466796875
"H04801-04-01",2,2,2792.466796875
"H04801-04-01",3,2,2792.466796875
"H04801-04-01",4,1,2792.466796875
"H04801-04-01",6,2,2792.466796875
"H04805-04-01",1,2,2792.466796875
"H04805-04-01",2,2,2792.466796875
"H04805-04-01",3,2,2792.466796875
"H04805-04-01",4,1,2792.466796875
"H04805-04-01",6,2,2792.466796875
"H04806-04-01",1,1,2792.466796875
"H04806-04-01",2,1,2792.466796875
"H04806-04-01",3,1,2792.466796875
"H04806-04-01",4,2,2792.466796875
"H04806-04-01",6,2,2792.466796875
"H04808-04-01",1,1,1396.2333984375
"H04808-04-01",2,1,1396.2333984375
"H04808-04-01",3,2,1396.2333984375
"H04808-04-01",4,2,1396.2333984375
"H04808-04-01",6,2,1396.2333984375
"H05106-04-01",1,2,2792.466796875
"H05106-04-01",2,1,2792.466796875
"H05106-04-01",3,2,2792.466796875
"H05106-04-01",4,2,2792.466796875
"H05106-04-01",6,2,2792.466796875
"H05107-04-01",1,1,2792.466796875
"H05107-04-01",2,2,2792.466796875
"H05107-04-01",3,1,2792.466796875
"H05107-04-01",4,2,2792.466796875
"H05107-04-01",6,2,2792.466796875
"H05108-04-01",1,1,2792.466796875
"H05108-04-01",2,1,2792.466796875
"H05108-04-01",3,2,2792.466796875
"H05108-04-01",4,2,2792.466796875
"H05108-04-01",6,2,2792.466796875
"H05109-04-01",1,1,2792.466796875
"H05109-04-01",2,1,2792.466796875
"H05109-04-01",3,2,2792.466796875
"H05109-04-01",4,2,2792.466796875
"H05109-04-01",6,2,2792.466796875
"H05303-04-01",1,1,2792.466796875
"H05303-04-01",2,2,2792.466796875
"H05303-04-01",3,2,2792.466796875
"H05303-04-01",4,1,2792.466796875
"H05303-04-01",6,2,2792.466796875
"H05306-04-01",1,2,1396.2333984375
"H05306-04-01",2,1,1396.2333984375
"H05306-04-01",3,2,1396.2333984375
"H05306-04-01",4,2,1396.2333984375
"H05306-04-01",6,2,1396.2333984375
"H05306-04-02",1,2,1396.2333984375
"H05306-04-02",2,2,1396.2333984375
"H05306-04-02",3,2,1396.2333984375
"H05306-04-02",4,1,1396.2333984375
"H05306-04-02",6,2,1396.2333984375
"H05308-04-01",1,1,2792.466796875
"H05308-04-01",2,1,2792.466796875
"H05308-04-01",3,1,2792.466796875
"H05308-04-01",4,1,2792.466796875
"H05308-04-01",6,2,2792.466796875
"H05310-04-01",1,2,1396.2333984375
"H05310-04-01",2,2,1396.2333984375
"H05310-04-01",3,2,1396.2333984375
"H05310-04-01",4,2,1396.2333984375
"H05310-04-01",6,1,1396.2333984375
"H05310-04-02",1,1,1396.2333984375
"H05310-04-02",2,1,1396.2333984375
"H05310-04-02",3,2,1396.2333984375
"H05310-04-02",4,2,1396.2333984375
"H05310-04-02",6,2,1396.2333984375
"H06201-04-01",1,2,2551.701171875
"H06201-04-01",2,2,2551.701171875
"H06201-04-01",3,1,2551.701171875
"H06201-04-01",4,1,2551.701171875
"H06201-04-01",6,2,2551.701171875
"H06203-04-01",1,2,2551.701171875
"H06203-04-01",2,1,2551.701171875
"H06203-04-01",3,1,2551.701171875
"H06203-04-01",4,2,2551.701171875
"H06203-04-01",6,2,2551.701171875
"H06701-04-01",1,1,2551.701171875
"H06701-04-01",2,2,2551.701171875
"H06701-04-01",3,2,2551.701171875
"H06701-04-01",4,1,2551.701171875
"H06701-04-01",6,2,2551.701171875
"H06703-04-01",1,1,2551.701171875
"H06703-04-01",2,2,2551.701171875
"H06703-04-01",3,2,2551.701171875
"H06703-04-01",4,2,2551.701171875
"H06703-04-01",6,2,2551.701171875
"H06704-04-01",1,2,2551.701171875
"H06704-04-01",2,1,2551.701171875
"H06704-04-01",3,2,2551.701171875
"H06704-04-01",4,1,2551.701171875
"H06704-04-01",6,2,2551.701171875
"H06708-04-01",1,1,2551.701171875
"H06708-04-01",2,2,2551.701171875
"H06708-04-01",3,2,2551.701171875
"H06708-04-01",4,1,2551.701171875
"H06708-04-01",6,2,2551.701171875
"H06901-04-01",1,1,2551.70141601563
"H06901-04-01",2,1,2551.70141601563
