"hh","wgt_X","HHID","region","urban","district_code","district_name","scounty_code","subcounty_name","parish_code","parish_name","h1aq5","ea","HHID_old","rotate","wgt","wave","a1bq6","a1bq7","a1bq8","day_v1","month_v1","year_v1","day_v2","month_v2","year_v2","nonresp"
"H03807-04-01",2551.70141601563,38070401,1,1,"104","Luwero",104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",,38,1041000207,1,2551.70141601563,4,1,1,,"28","11","2013","01","06","2014",1
"H03809-04-01",2551.70141601563,38090401,1,1,"104","Luwero",104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",,38,1041000209,1,2551.70141601563,4,1,1,,"28","11","2013","01","06","2014",1
"H03810-04-01",2551.70141601563,38100401,1,1,"104","Luwero",104208,"Wobulenzi Town Council",10420804,"Wobulenzi Central",,38,1041000210,1,2551.70141601563,4,1,1,,"03","06","2014","01","06","2014",1
"H03902-04-01",2551.70141601563,39020401,1,0,"104","Luwero",104102,"Kalagala",10410204,"Kalanamu",,39,1043000402,1,2551.70141601563,4,1,1,,"28","10","2013","22","04","2014",1
"H03903-04-01",2551.70141601563,39030401,1,0,"104","Luwero",104102,"Kalagala",10410205,"Kamira",,39,1043000403,1,2551.70141601563,4,1,1,,"28","10","2013","22","04","2014",1
"H03906-04-01",2551.70141601563,39060401,1,0,"104","Luwero",104102,"Kalagala",10410204,"Kalanamu",,39,1043000406,1,2551.70141601563,4,1,1,,"28","10","2013","23","04","2014",1
"H03907-04-01",2551.70141601563,39070401,1,0,"104","Luwero",104102,"Kalagala",10410204,"Kalanamu",,39,1043000407,1,2551.70141601563,4,1,1,,"28","10","2013","22","04","2014",1
"H03908-04-01",2551.70141601563,39080401,1,0,"104","Luwero",104102,"Kalagala",10410201,"Busiika",,39,1043000408,1,2551.70141601563,4,1,1,,"28","10","2013","22","04","2014",1
"H03909-04-01",1275.85070800781,39090401,1,0,"104","Luwero",104102,"Kalagala",10410204,"Kalanamu",,39,1043000409,1,1275.85070800781,4,1,1,,"28","10","2013","22","04","2014",1
"H03909-04-02",1275.85070800781,39090402,1,0,"104","Luwero",104102,"Kalagala",10410204,"Kalanamu",,39,104300040906,1,1275.85070800781,4,1,1,,"29","10","2013","23","04","2014",1
"H03910-04-01",2551.70141601563,39100401,1,0,"104","Luwero",104102,"Kalagala",10410204,"Kalanamu",,39,1043000410,1,2551.70141601563,4,1,1,,"29","10","2013","22","04","2014",1
"H04001-04-01",2551.70141601563,40010401,1,0,"104","Luwero",104105,"Zirobwe",10410504,"Kakakala",,40,1043000601,1,2551.70141601563,4,1,,,"15","02","2014","15","02","2014",1
"H04002-04-01",2551.70141601563,40020401,1,0,"109","Nakasongola",109101,"Kakooge",10910105,"Katuugo",,40,1043000602,1,2551.70141601563,4,1,,,"25","08","2014","27","08","2014",1
"H04003-04-01",850.567138671875,40030401,1,0,"104","Luwero",104105,"Zirobwe",10410504,"Kakakala",,40,1043000603,1,850.567138671875,4,1,,,"14","02","2014","14","02","2014",1
"H04004-04-01",2551.70141601563,40040401,1,1,"104","Luwero",104105,"Zirobwe",10410504,"Kakakala",,40,1043000604,1,2551.70141601563,4,1,,,"14","02","2014","14","02","2014",1
"H04005-04-01",2551.70141601563,40050401,1,0,"104","Luwero",104105,"Zirobwe",10410504,"Kakakala",,40,1043000605,1,2551.70141601563,4,1,,,"15","02","2014","19","02","2014",1
"H04007-04-01",2551.70141601563,40070401,1,0,"104","Luwero",104105,"Zirobwe",10410504,"Kakakala",,40,1043000607,1,2551.70141601563,4,1,,,"14","02","2014","14","02","2014",1
"H04010-04-01",1275.85070800781,40100401,1,0,"104","Luwero",104105,"Zirobwe",10410504,"Kakakala",,40,1043000610,1,1275.85070800781,4,1,,,"28","02","2014","28","02","2014",1
"H04011-04-01",1275.85070800781,40110401,1,1,"113","Wakiso",113301,"Busukuma",11330105,"Kiwenda",,40,1043000611,1,1275.85070800781,4,1,,,"15","02","2014","15","02","2014",1
"H04201-04-01",2551.70141601563,42010401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001101,1,2551.70141601563,4,1,1,,"01","10","2013","24","03","2014",1
"H04202-04-01",2551.70141601563,42020401,1,1,"116","Nakaseke",116102,"Kapeeka",11610202,"Kapeeka",,42,1163001102,1,2551.70141601563,4,1,1,,"01","10","2013","31","03","2014",1
"H04203-04-01",2551.70141601563,42030401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001103,1,2551.70141601563,4,1,1,,"30","09","2013","21","03","2014",1
"H04204-04-01",2551.70141601563,42040401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001104,1,2551.70141601563,4,1,1,,"02","10","2013","24","03","2014",1
"H04205-04-01",2551.70141601563,42050401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001105,1,2551.70141601563,4,1,1,,"29","09","2013","19","03","2014",1
"H04206-04-01",2551.70141601563,42060401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001106,1,2551.70141601563,4,1,1,,"02","10","2013","31","03","2014",1
"H04207-04-01",2551.70141601563,42070401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001107,1,2551.70141601563,4,1,1,,"30","09","2013","22","03","2014",1
"H04208-04-01",1275.85070800781,42080401,1,1,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001108,1,1275.85070800781,4,1,1,,"01","10","2013","25","03","2014",1
"H04208-04-02",1275.85070800781,42080402,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,2116300110803,1,1275.85070800781,4,1,,,"25","03","2014","25","03","2014",1
"H04209-04-01",2551.70141601563,42090401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001109,1,2551.70141601563,4,1,1,,"30","09","2013","19","03","2014",1
"H04210-04-01",2551.70141601563,42100401,1,0,"116","Nakaseke",116102,"Kapeeka",11610205,"Namusale",,42,1163001110,1,2551.70141601563,4,1,1,,"01","10","2013","19","03","2014",1
"H04508-04-03",698.11669921875,45080403,1,1,"122","Kalungu",122105,"Lukaya Town Council",12210502,"Central Ward",,45,,0,698.11669921875,4,1,1,,,,,,,,1
"H04509-04-01",2792.466796875,45090401,1,0,"122","Kalungu",122105,"Lukaya Town Council",12210501,"Bajja Ward",,45,1051000309,1,2792.466796875,4,1,1,,"10","12","2013","24","06","2014",1
"H04602-04-01",2792.466796875,46020401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000402,1,2792.466796875,4,1,1,,"25","10","2013","10","04","2014",1
"H04603-04-01",2792.466796875,46030401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000403,1,2792.466796875,4,1,1,,"25","10","2013","11","04","2014",1
"H04604-04-01",2792.466796875,46040401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000404,1,2792.466796875,4,1,1,,"24","10","2013","10","04","2014",1
"H04606-04-01",1396.2333984375,46060401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000406,1,1396.2333984375,4,1,1,,"25","10","2013","10","04","2014",1
"H04606-04-02",1396.2333984375,46060402,1,0,"118","Bukomansimbi",118103,"Butenga",11810302,"Kabigi",,46,105300040602,1,1396.2333984375,4,1,1,,"25","10","2013","11","04","2014",1
"H04607-04-01",2792.466796875,46070401,1,0,"118","Bukomansimbi",118105,"Kitanda",11810503,"Makukuulu",,46,1053000407,1,2792.466796875,4,1,1,,"24","10","2013","10","04","2014",1
"H04608-04-01",2792.466796875,46080401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000408,1,2792.466796875,4,1,1,,"24","10","2013","11","04","2014",1
"H04609-04-01",2792.466796875,46090401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000409,1,2792.466796875,4,1,1,,"25","10","2013","11","04","2014",1
"H04610-04-01",930.822265625,46100401,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,1053000410,1,930.822265625,4,1,1,,"24","10","2013","14","04","2014",1
"H04610-04-02",930.822265625,46100402,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,,0,930.822265625,4,1,1,,"24","10","2013","10","04","2014",1
"H04610-04-03",930.822265625,46100403,1,0,"118","Bukomansimbi",118101,"Bigasa",11810104,"Mbirizi",,46,,0,930.822265625,4,1,1,,"24","10","2013","11","04","2014",1
"H04801-04-01",2792.466796875,48010401,1,1,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001201,1,2792.466796875,4,1,1,,"18","11","2013",,,,1
"H04802-04-01",930.822265625,48020401,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001202,1,930.822265625,4,1,1,,"18","11","2013","30","05","2014",1
"H04802-04-02",930.822265625,48020402,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,2105300120203,1,930.822265625,4,1,1,,"18","11","2013","29","05","2014",1
"H04803-04-02",2792.466796875,48030402,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,,0,2792.466796875,4,1,1,,"18","11","2013","28","05","2014",1
"H04804-04-01",2792.466796875,48040401,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001204,1,2792.466796875,4,1,1,,"17","11","2013","28","05","2014",1
"H04805-04-01",2792.466796875,48050401,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001205,1,2792.466796875,4,1,1,,"17","11","2013","28","05","2014",1
"H04806-04-01",2792.466796875,48060401,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001206,1,2792.466796875,4,1,1,,"17","11","2013","29","05","2014",1
"H04807-04-01",2792.466796875,48070401,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001207,1,2792.466796875,4,1,1,,"17","11","2013","28","05","2014",1
"H04808-04-01",1396.2333984375,48080401,1,1,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001208,1,1396.2333984375,4,1,1,,"17","11","2013","12","06","2014",1
"H04810-04-01",2792.466796875,48100401,1,0,"124","Lwengo",124101,"Kisekka",12410106,"Nakalembe",,48,1053001210,1,2792.466796875,4,1,1,,"18","11","2013","29","05","2014",1
"H04903-04-01",2792.466796875,49030401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001503,1,2792.466796875,4,1,1,,"16","02","2014","25","08","2014",1
"H04905-04-01",2792.466796875,49050401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001505,1,2792.466796875,4,1,,,"16","02","2014","16","02","2014",1
"H04907-04-01",2792.466796875,49070401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001507,1,2792.466796875,4,1,,,"15","02","2014","15","02","2014",1
"H04908-04-01",2792.466796875,49080401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001508,1,2792.466796875,4,1,1,,"15","02","2014","05","08","2014",1
"H04909-04-01",2792.466796875,49090401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001509,1,2792.466796875,4,1,,,"15","02","2014","15","02","2014",1
"H04910-04-01",2792.466796875,49100401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001510,1,2792.466796875,4,1,1,,"15","02","2014","05","08","2014",1
"H04912-04-01",2792.466796875,49120401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001512,1,2792.466796875,4,1,,,"15","02","2014","15","02","2014",1
"H04913-04-01",465.4111328125,49130401,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,1053001513,1,465.4111328125,4,1,,,"15","02","2014","05","08","2014",1
"H04913-04-02",465.4111328125,49130402,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,105300151301,1,465.4111328125,4,1,,,"16","02","2014","16","02","2014",1
"H04913-04-03",465.4111328125,49130403,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,105300151303,1,465.4111328125,4,1,,,"16","02","2014","16","02","2014",1
"H04913-04-05",465.4111328125,49130405,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,2105300151304,1,465.4111328125,4,1,1,,"16","02","2014","05","08","2014",1
"H04913-04-06",465.4111328125,49130406,1,0,"124","Lwengo",124103,"Kyazanga",12410302,"Kakoma Parish",,49,2105300151305,1,465.4111328125,4,1,1,,"16","02","2014","09","08","2014",1
"H05002-04-01",2792.46655273438,50020401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001902,1,2792.46655273438,4,1,1,,"05","12","2013","23","06","2014",1
"H05003-04-01",1396.23327636719,50030401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001903,1,1396.23327636719,4,1,1,,"06","12","2013","21","06","2014",1
"H05004-04-01",2792.46655273438,50040401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001904,1,2792.46655273438,4,1,1,,"05","12","2013","21","06","2014",1
"H05005-04-01",2792.46655273438,50050401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001905,1,2792.46655273438,4,1,1,,"05","12","2013","20","06","2014",1
"H05006-04-01",2792.46655273438,50060401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001906,1,2792.46655273438,4,1,1,,"05","12","2013","20","06","2014",1
"H05007-04-01",2792.46655273438,50070401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001907,1,2792.46655273438,4,1,3,6,"08","12","2013",,,,1
"H05008-04-01",2792.46655273438,50080401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001908,1,2792.46655273438,4,1,1,,"05","12","2013","20","06","2014",1
"H05009-04-01",2792.46655273438,50090401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001909,1,2792.46655273438,4,1,1,,"06","12","2013","23","06","2014",1
"H05010-04-01",2792.46655273438,50100401,1,0,"124","Lwengo",124108,"Ndagwe",12410802,"Mpumudde",,50,1053001910,1,2792.46655273438,4,1,1,,"05","12","2013","20","06","2014",1
"H05101-04-01",2792.466796875,51010401,1,0,"105","Masaka",105103,"Kabonera",10510307,"Kyamuyimbwa",,51,1053002301,1,2792.466796875,4,1,1,,"28","09","2013","18","03","2014",1
"H05102-04-01",2792.466796875,51020401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002302,1,2792.466796875,4,1,1,,"27","09","2013","17","03","2014",1
"H05103-04-01",2792.466796875,51030401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002303,1,2792.466796875,4,1,1,,"27","09","2013","16","03","2014",1
"H05104-04-01",2792.466796875,51040401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002304,1,2792.466796875,4,1,1,,"03","10","2013","31","03","2014",1
"H05105-04-01",2792.466796875,51050401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002305,1,2792.466796875,4,1,1,,,,,"17","03","2014",1
"H05106-04-01",2792.466796875,51060401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002306,1,2792.466796875,4,1,1,,"28","09","2013","17","03","2014",1
"H05107-04-01",2792.466796875,51070401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002307,1,2792.466796875,4,1,,,"31","03","2014","31","03","2014",1
"H05108-04-01",2792.466796875,51080401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002308,1,2792.466796875,4,1,1,,"28","09","2013","17","03","2014",1
"H05109-04-01",2792.466796875,51090401,1,0,"105","Masaka",105105,"Kyesiiga",10510502,"Bugere",,51,1053002309,1,2792.466796875,4,1,1,,"28","09","2013","16","03","2014",1
"H05302-04-01",2792.466796875,53020401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003002,1,2792.466796875,4,1,1,,"29","10","2013","26","04","2014",1
"H05303-04-01",2792.466796875,53030401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003003,1,2792.466796875,4,1,1,,"30","10","2013","12","04","2014",1
"H05304-04-01",2792.466796875,53040401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003004,1,2792.466796875,4,1,1,,"27","10","2013","12","04","2014",1
"H05305-04-01",465.4111328125,53050401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003005,1,465.4111328125,4,1,1,,"28","10","2013","12","04","2014",1
"H05305-04-02",465.4111328125,53050402,1,1,"122","Kalungu",122105,"Lukaya Town Council",12210501,"Bajja Ward",,53,105300300504,1,465.4111328125,4,1,1,,"29","10","2013","13","04","2014",1
"H05305-04-03",465.4111328125,53050403,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,105300300505,1,465.4111328125,4,1,1,,"29","10","2013","12","04","2014",1
"H05306-04-01",1396.2333984375,53060401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003006,1,1396.2333984375,4,1,1,,"28","10","2013","27","04","2014",1
"H05306-04-02",1396.2333984375,53060402,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,,0,1396.2333984375,4,1,1,,"28","10","2013","13","04","2014",1
"H05308-04-01",2792.466796875,53080401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003008,1,2792.466796875,4,1,1,,"29","10","2013","12","04","2014",1
"H05309-04-01",2792.466796875,53090401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003009,1,2792.466796875,4,1,1,,"27","10","2013","14","04","2014",1
"H05310-04-01",1396.2333984375,53100401,1,0,"122","Kalungu",122106,"Lwabenge",12210602,"Bwesa",,53,1053003010,1,1396.2333984375,4,1,,,"28","10","2013","12","04","2014",1
"H05310-04-02",1396.2333984375,53100402,1,0,"122","Kalungu",122104,"Kyamulibwa",12210407,"Kyamulibwa Town  Board",,53,,0,1396.2333984375,4,,,,,,,,,,1
"H05403-04-01",2792.46655273438,54030401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003303,1,2792.46655273438,4,1,1,,"20","02","2014","19","08","2014",1
"H05404-04-01",2792.46655273438,54040401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003304,1,2792.46655273438,4,1,1,,"20","02","2014","13","08","2014",1
"H05405-04-01",2792.46655273438,54050401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003305,1,2792.46655273438,4,1,1,,"20","02","2014","14","08","2014",1
"H05407-04-01",1396.23327636719,54070401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003307,1,1396.23327636719,4,1,1,,"20","02","2014","13","08","2014",1
"H05407-04-02",1396.23327636719,54070402,1,0,"122","Kalungu",122102,"Kalungu",12210204,"Kasanje",,54,105300330702,1,1396.23327636719,4,1,,,"21","02","2014","21","02","2014",1
"H05409-04-01",2792.46655273438,54090401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003309,1,2792.46655273438,4,1,1,,"21","02","2014","13","08","2014",1
"H05410-04-01",2792.46655273438,54100401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003310,1,2792.46655273438,4,1,1,,"20","02","2014","19","08","2014",1
"H05412-04-01",930.822265625,54120401,1,0,"122","Kalungu",122102,"Kalungu",12210206,"Kitamba",,54,1053003312,1,930.822265625,4,1,,,"21","02","2014","21","02","2014",1
"H05412-04-02",930.822265625,54120402,1,0,"122","Kalungu",122102,"Kalungu",12210203,"Kaliiro",,54,105300331202,1,930.822265625,4,1,1,,"21","02","2014","24","08","2014",1
"H05412-04-03",930.822265625,54120403,4,1,"421","Kiryandongo",421101,"Bweyale Tc",42110101,"Central Ward",,54,210530033120204,1,930.822265625,4,1,1,,"08","07","2014","08","07","2014",1
"H05701-04-01",2792.466796875,57010401,1,0,"106","Mpigi",106101,"Buwama",10610109,"Nabiteete",,57,1063000701,1,2792.466796875,4,1,1,,"09","12","2013","22","06","2014",1
"H05702-04-01",2792.466796875,57020401,1,0,"106","Mpigi",106101,"Buwama",10610109,"Nabiteete",,57,1063000702,1,2792.466796875,4,1,1,,"08","12","2013","23","06","2014",1
"H05703-04-01",2792.466796875,57030401,1,0,"106","Mpigi",106101,"Buwama",10610109,"Nabiteete",,57,1063000703,1,2792.466796875,4,1,1,,"09","12","2013","22","06","2014",1
"H05704-04-01",2792.466796875,57040401,1,0,"106","Mpigi",106101,"Buwama",10610109,"Nabiteete",,57,1063000704,1,2792.466796875,4,1,1,,"08","12","2013","22","06","2014",1
"H05705-04-01",2792.466796875,57050401,1,0,"106","Mpigi",106101,"Buwama",10610109,"Nabiteete",,57,1063000705,1,2792.466796875,4,1,1,,"08","12","2013","23","06","2014",1
