"HHID","APCode","a6cq2","a6cq3a","a6cq3b","a6cq3c","a6cq3d","a6cq3e","a6cq4a","a6cq4b","a6cq4c","a6cq5a","a6cq5b","a6cq5c","a6cq6","a6cq7","a6cq8","a6cq9","a6cq10","a6cq11","a6cq12","a6cq13a","a6cq13b","a6cq14a","a6cq14b","a6cq15","a6cq15b","a6cq15c","a6cq16","hh","wgt_X"
37050401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37050401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03705-04-01",2551.70141601563
37060401,23,1,13,3706002,3706003,3706002,3706003,0,,,0,,,4,11,0,0,0,2,0,0,,0,,0,3,4,1,"H03706-04-01",2551.70141601563
37060401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37060401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03706-04-01",2551.70141601563
37070401,23,1,11,3707002,,3707002,,0,,,0,,,5,6,0,0,0,0,0,0,,0,,0,3,1,1,"H03707-04-01",1275.85070800781
37070401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37070401,26,1,7,3707002,,3707002,,0,,,0,,,3,4,0,0,0,0,0,0,,0,,0,1,3,1,"H03707-04-01",1275.85070800781
37070401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03707-04-01",1275.85070800781
37090401,23,1,1,3709001,3709002,3709001,3709002,0,,,0,,,4,0,0,0,3,0,0,0,,0,,0,1,3,1,"H03709-04-01",2551.70141601563
37090401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03709-04-01",2551.70141601563
37090401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03709-04-01",2551.70141601563
37090401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03709-04-01",2551.70141601563
37090401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03709-04-01",2551.70141601563
39020401,23,1,11,3902002,,3902002,,0,,,0,,,3,8,0,0,0,0,0,0,,0,,0,3,3,1,"H03902-04-01",2551.70141601563
39020401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03902-04-01",2551.70141601563
39020401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03902-04-01",2551.70141601563
39020401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03902-04-01",2551.70141601563
39020401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03902-04-01",2551.70141601563
39030401,23,1,10,3903003,3903001,3903003,3903001,0,,,0,,,5,6,0,0,0,0,0,0,,0,,1,1,3,1,"H03903-04-01",2551.70141601563
39030401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39030401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03903-04-01",2551.70141601563
39070401,23,1,14,3907002,,3907002,,0,,,0,,,5,15,0,0,0,6,0,0,,0,,0,1,1,1,"H03907-04-01",2551.70141601563
39070401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03907-04-01",2551.70141601563
39070401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03907-04-01",2551.70141601563
39070401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03907-04-01",2551.70141601563
39070401,27,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03907-04-01",2551.70141601563
39090401,23,1,8,3909002,3909001,3909002,3909001,0,,,0,,,3,5,0,0,0,0,0,0,,0,,0,3,2,1,"H03909-04-01",1275.85070800781
39090401,24,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,25,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,26,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
