"HHID","h12q1","h12q2","h12q3a","h12q3b","h12q4","h12qNew","h12q4a","h12q4b","h12q4c","h12q4d","h12q4e","h12q6a","h12q6b","h12q7","h12q8","h12q8a","h12q8b","h12q9","h12q10","h12q11a","h12q11b","h12q11c","h12q11d","h12q11e","h12q12","h12q12a","h12q13","h12q14","h12q15","h12q16","h12q17","h12q18","h12q19","_merge"
"H10003-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10004-04-01",1,"P10004-001",2,"Selling pillow cases",4789,1,1,,,"P10004-002",,99,2009,7,4,"P10004-002","P10004-001",1,2,"P10004-002",,,,,12,,2000000,0,0,1000000,0,2,2,3
"H10004-04-01",1,"P10004-001",1,"Selling second hand clothes",4774,1,1,,,"P10004-001",,12,2013,7,4,"P10004-001",,1,2,"P10004-001",,,,,5,1,5000000,1,300000,3000000,100000,2,2,3
"H10004-04-01",1,"P10004-001",3,"Selling of scholarstic materials",4761,1,1,,,"P10004-001",,2,2013,6,2,"P10004-001","P10004-002",2,,"P10004-001",,,,,4,1,1500000,0,0,600000,300000,2,2,3
"H10007-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10007-04-02",1,"P10007-002",1,"Retail sale of used clothes",4751,1,1,,,"P10007-001",,99,2008,7,2,"P10007-001",,2,,"P10007-001",,,,,12,,800000,0,0,500000,100000,2,2,3
"H10009-04-01",1,"P10009-007",1,"Retail shop in general merchandise",4721,1,1,,,"P10009-007",,4,2008,7,2,"P10009-007",,1,1,"P10009-007","P10009-005",,,,8,1,700000,0,0,250000,100000,1,2,3
"H10009-04-01",1,"P10009-007",2,"Transporting goods on trucks",4923,1,1,,,"P10009-001",,99,2003,8,2,"P10009-001",,1,1,"P10009-001",,,,,12,,1000000,5,6000000,0,1000000,8,8,3
"H10009-04-02",1,"P10009-008",1,"Bar selling alcholic drinks",4722,1,1,,,"P10009-008",,99,2008,7,8,"P10009-008",,2,,"P10009-008",,,,,12,,8000000,2,300000,200000,100000,2,1,3
"H10010-04-01",1,"P10010-002",1,"Motor garage",4520,1,1,,,"P10010-001",,99,9999,7,2,"P10010-001","P10010-002",2,,"P10010-001",,,,,12,,2000000,2,500000,300000,400000,8,8,3
"H10011-04-01",1,"P10011-001",2,"Saloon services",9602,1,1,,,"P10011-006",,99,2011,5,8,"P10011-006",,2,,"P10011-006",,,,,12,,3000000,7,150000,0,2500000,1,1,3
"H10011-04-01",1,"P10011-001",1,"Primary school",8510,1,1,,,"P10011-001",,1,2007,7,2,"P10011-001",,1,1,"P10011-001",,,,,12,,30000000,15,6000000,0,300000,2,1,3
"H10201-04-01",1,"P10201-001",1,"Boda boda",4921,1,1,,,"P10201-001",,8,2000,8,2,"P10201-001",,2,,"P10201-001",,,,,12,,900000,0,0,100000,300000,2,2,3
"H10201-04-01",1,"P10201-001",2,"Sawing machine Operator",1410,1,1,,,"P10201-007","P10201-007",99,2004,7,2,"P10201-007",,2,,"P10201-007",,,,,12,,550000,0,0,250000,60000,2,2,3
"H10201-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10205-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10207-04-01",1,"P10207-002",1,"Food Restaurant",5610,1,1,,,"P10207-010",,3,2013,2,2,"P10207-010",,2,,"P10207-010",,,,,9,1,500000,0,0,300000,0,2,2,3
"H10209-04-01",1,"P10209-001",1,"selling charcoal",4789,1,1,,,"P10209-001",,99,1991,2,2,"P10209-001",,2,,"P10209-001",,,,,12,,600000,0,0,400000,100000,2,2,3
"H10210-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10303-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10304-04-01",1,"P10304-002",1,"Trucks transporting goods",4921,1,1,,,"P10304-001",,3,2004,3,2,"P10304-001",,2,,"P10304-001",,,,,12,,800000,2,100000,50000,400000,8,8,3
"H10306-04-01",1,"P10306-002",1,"Trnasportation of people using Motorcycle",4921,1,1,,,"P10306-001",,99,2007,6,2,"P10306-001",,2,,"P10306-001",,,,,12,,250000,0,0,0,100000,2,2,3
"H10309-04-01",1,"P10309-001",1,"Retail shop selling general merchandise",4773,1,1,,,"P10309-001",,2,2001,2,8,"P10309-001",,1,8,"P10309-001",,,,,12,,1500000,0,0,1000000,150000,2,2,3
"H10311-04-01",1,"P10311-002",1,"Passenger transport(Motorcycle)",4921,1,1,,,"P10311-001",,99,1997,6,4,"P10311-001","P10311-002",1,2,"P10311-001",,,,,12,,600000,0,0,0,150000,2,1,3
"H10312-04-01",1,"P10312-001",1,"Bodaboda riding business",4921,1,1,,,"P10312-001",,4,2008,6,2,"P10312-001",,2,,"P10312-001",,,,,8,2,60000,0,0,0,30000,2,2,3
"H10701-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10701-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10701-04-03",1,"P10701-003",1,"retail sale of domestic items",4470,1,1,,,"P10701-014",,1,2014,2,2,"P10701-014","P10701-014",2,,"P10701-014",,,,,5,1,400000,0,0,300000,3600,2,2,3
"H10702-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10703-04-01",1,"P10703-001",1,"retail sale of food stuffs in the market",3100,1,1,,,"P10703-009",,99,2005,4,2,"P10703-009",,2,,"P10703-009",,,,,12,,150000,0,0,50000,5000,8,8,3
"H10704-04-01",1,"P10704-001",1,"RETAIL SALE OF GENERAL MERCHERDISE",4690,1,1,,,"P10704-001",,1,2010,1,2,"P10704-001",,2,,"P10704-001",,,,,12,,480000,0,0,300000,5000,2,2,3
"H10704-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10706-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10706-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10707-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10708-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10709-04-01",1,"P10709-002",1,"Distils local brew",4799,0,1,,,"P10709-001","P10709-002",3,1973,2,2,"P10709-001","P10709-002",2,,"P10709-001","P10709-002","P10709-004","P10709-005","P10709-009",12,,320000,0,0,140000,50000,2,2,3
"H10710-04-01",1,"P10710-001",1,"TRADITIONAL HEALING",4774,1,1,,,"P10710-001",,1,1992,2,4,"P10710-001","P10710-002",2,,"P10710-001",,,,,12,,13000000,0,0,0,15000,2,2,3
"H10710-04-02",1,"P10710-032",4,"TRADITIONAL HEALER",4774,1,1,,,"P10710-032",,7,1997,2,1,"P10710-032",,2,,"P10710-032",,,,,12,,2000000,0,0,300000,0,2,2,3
"H10710-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10710-04-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10710-04-05",1,"P10710-018",1,"selling dry fish",4600,1,1,,,"P10710-018",,10,2013,3,2,"P10710-018",,2,,"P10710-018",,,,,12,,100000,0,0,30000,0,2,2,3
"H10801-04-01",1,"P10801-001",1,"wholesale of fish",1629,1,1,,,"P10801-001",,1,2014,4,2,"P10801-001",,2,,"P10801-001",,,,,2,,150000,0,0,30000,10000,1,2,3
"H10802-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10803-04-01",1,"P10803-001",1,"milling grains",1061,1,1,,,"P10803-001",,11,2009,2,2,"P10803-001",,2,,"P10803-001",,,,,12,,600000,1,20000,0,64000,2,2,3
"H10803-04-02",1,"P10803-022",1,"retailsaleof produce",4721,1,1,,,"P10803-005",,10,2012,5,2,"P10803-005",,2,,"P10803-005",,,,,12,,400000,0,0,100000,0,1,2,3
"H10803-04-03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10804-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10805-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10806-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10807-04-01",1,"P10807-002",2,"CINEMA",,1,1,,,"P10807-001",,8,2013,7,2,"P10807-001","P10807-002",2,,"P10807-005","P10807-001",,,,6,1,80000,0,0,10000,20000,2,2,3
"H10807-04-01",1,"P10807-002",1,"RETAIL SALE OF FISH PRODUCTS",,1,1,,,"P10807-001",,99,2002,7,2,"P10807-001","P10807-002",2,,"P10807-001",,,,,12,,300000,0,0,50000,0,2,2,3
"H10807-04-02",1,"P10807-004",1,"WHOLESALE OF FARM PRODUCE",,1,1,,,"P10807-016",,7,2013,4,5,"P10807-016","P10807-004",1,7,"P10807-016",,,,,7,1,100000,0,0,50000,0,2,2,3
"H10809-04-01",1,"P10809-002",1,"RETAIL SALE OF SECOND HAND CLOTHES IN A MARKET",4781,1,1,,,"P10809-002",,2,2014,4,5,"P10809-002",,1,7,"P10809-002",,,,,1,1,230000,0,0,87000,24000,2,2,3
"H10810-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10902-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10904-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10905-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10906-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10908-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10909-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10909-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H10909-04-03",1,"P10909-059",1,"repairing motorcycles",7730,1,1,,,"P10909-013","P10909-059",5,2012,6,2,"P10909-013","P10909-059",2,,"P10909-013","P10909-059",,,,12,,300000,0,0,20000,0,2,2,3
"H10909-04-04",1,"P10909-001",1,"RETAIL SALE OF PETROL OUTSIDE A SHOP",4630,1,1,,,"P10909-001",,4,2009,7,2,"P10909-001","P10909-051",2,,"P10909-001",,,,,12,,1400000,0,0,864000,4800,2,2,3
"H10910-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11001-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11002-04-01",1,"P11002-001",1,"Retail sale of pork",7730,1,1,,,"P11002-001","P11002-001",4,2011,4,2,"P11002-001",,2,,"P11002-001",,,,,3,1,110000,0,0,90000,0,2,2,3
"H11003-04-01",1,"P11003-001",1,"CHARCOAL BURNING",2399,1,1,,,"P11003-001",,1,2014,7,1,"P11003-001",,2,,"P11003-001",,,,,3,1,500000,0,0,0,5000,2,2,3
"H11006-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11007-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11010-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11011-04-01",1,"P11011-002",1,"WHOLESALE OF FISH",4789,1,1,,,"P11011-001",,99,1999,7,2,"P11011-001","P11011-002",2,,"P11011-001",,,,,12,,2700000,2,127000,80000,150000,2,2,3
"H11403-04-01",1,"P11403-007",2,"RETAIL SALE OF MATOOKE",4661,1,1,,,"P11403-007","P11403-001",6,2003,4,2,"P11403-007","P11403-001",2,,"P11403-007",,,,,12,,1700000,3,180000,450000,220000,2,2,3
"H11403-04-01",1,"P11403-007",1,"RETAIL SALE OF SECOND HAND CLOTHES VIA STALL",3310,1,1,,,"P11403-007","P11403-001",4,1990,4,2,"P11403-007","P11403-001",1,9,"P11403-007","P11403-001",,,,12,,2470000,0,0,940000,200000,2,2,3
"H11405-04-01",1,"P11405-002",1,"RETAIL SALE OF UTENSILS VIA STALL",4922,1,1,,,"P11405-001","P11405-002",99,2001,4,2,"P11405-001","P11405-002",1,7,"P11405-001","P11405-002",,,,12,,4700000,0,0,2500000,500000,2,2,3
"H11406-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11409-04-01",1,"P11409-009",3,"RETAIL SALE OF GENERAL MERCHANDISE",1812,0,1,,,"P11409-009","P11409-001",1,2012,7,3,"P11409-009","P11409-001",1,,"P11409-009","P11409-001","P11409-003","P11409-002",,12,,8000000,0,0,6000000,20000,2,2,3
"H11409-04-01",1,"P11409-009",2,"RETAIL SALE OF SCRAP",1061,1,1,,,"P11409-009",,2,2011,7,3,"P11409-009",,1,1,"P11409-009","P11409-001",,,,12,,6000000,0,0,4000000,0,2,2,3
"H11410-04-01",1,"P11410-001",1,"HAIR DRESSING",9602,1,1,,,"P11410-001",,12,2013,7,2,"P11410-001",,1,7,"P11410-001",,,,,1,2,310000,1,40000,60000,10000,2,2,3
"H11414-04-01",1,"P11414-002",4,"selling fried chicken and chapati at the road side",5629,0,1,,,"P11414-001","P11414-002",3,2008,6,3,"P11414-001",,1,1,"P11414-001","P11414-009","P11414-018","P11414-015","P11414-002",12,,9000000,3,90000,3820000,400000,2,2,3
"H11414-04-01",1,"P11414-002",2,"RETAIL SALE OF GENERAL MERCHANDISE",9602,1,1,,,"P11414-002",,2,2012,6,3,"P11414-002",,2,,"P11414-002",,,,,12,,1200000,0,0,3000000,5000,2,2,3
"H11414-04-01",1,"P11414-002",3,"RETAIL SALE OF SECOND HAND CLOTHES",4721,1,1,,,"P11414-001",,4,2013,7,2,"P11414-001",,2,,"P11414-001",,,,,8,1,1000000,1,100000,500000,5000,2,2,3
"H11501-04-01",1,"P11501-002",1,"selling timber",5610,0,2,,2,"P11501-004",,99,1990,,,,,,,,,,,,,,,,,,,,,3
"H11501-04-01",1,"P11501-002",2,"selling fresh sweet potatoes and cassava",3100,0,2,,2,"P11501-004",,99,1989,,,,,,,,,,,,,,,,,,,,,3
"H11501-04-01",1,"P11501-002",3,"RETAIL SALE OF SECOND HAND CLOTHES ON STALL",9522,1,1,,,"P11501-002",,2,2006,4,2,"P11501-002",,1,7,"P11501-002","P11501-023",,,,12,,870000,1,0,300000,40000,2,2,3
"H11502-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11502-04-02",1,"P11502-002",1,"SALOON OPERATIONS",9602,1,1,,,"P11502-002",,1,2008,2,8,"P11502-002",,2,,"P11502-002",,,,,9,2,600000,1,300000,20000,20000,2,2,3
"H11504-04-01",1,"P11504-001",1,"RETAIL SALE OF PASSION FRUITS IN THE MARKETS",4773,1,1,,,"P11504-001",,99,1996,4,8,"P11504-001",,2,,"P11504-001",,,,,12,,1500000,0,0,800000,0,1,2,3
"H11505-04-01",1,"P11505-001",3,"roasts and sells maize",4719,0,1,,,"P11505-002",,99,2000,6,2,"P11505-002",,2,,"P11505-002",,,,,12,,35000,0,0,10000,8000,2,2,3
"H11506-04-01",1,"P11506-001",1,"retailsale of tomatoes and oranges",8690,1,1,,,"P11506-002",,3,1982,4,2,"P11506-002",,1,2,"P11506-002",,,,,12,,600000,0,0,200000,20000,8,8,3
"H11506-04-02",1,"P11506-019",1,"renting out chairs",4719,1,1,,,"P11506-018",,12,2012,1,3,"P11506-018",,1,1,"P11506-018",,,,,3,1,400000,0,0,0,0,2,2,3
"H11506-04-02",1,"P11506-019",2,"hair dressing in a saloon",3100,1,1,,,"P11506-019",,3,2011,1,2,"P11506-019",,2,,"P11506-019",,,,,12,,200000,0,0,10000,0,2,2,3
"H11506-04-03",1,"P11506-009",1,"primary sch",,1,1,,,"P11506-009",,1,2004,7,8,"P11506-009",,1,1,"P11506-009",,,,,12,,12000000,25,5000000,2000000,1000000,2,1,3
"H11507-04-01",1,"P11507-001",1,"PREPARATION AND RETAIL SALE OF SAMOSAS AND CASSAVA",5630,1,1,,,"P11507-001",,99,2004,7,2,"P11507-001",,2,,"P11507-001",,,,,12,,500000,0,0,300000,30000,2,2,3
"H11509-04-01",1,"P11509-002",1,"retail sale of electronics",4787,1,1,,,"P11509-001","P11509-002",3,2005,5,2,"P11509-002","P11509-001",2,,"P11509-001","P11509-002","P11509-004","P11509-012",,12,,14000000,0,0,2000000,250000,2,1,3
"H11510-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11801-04-01",1,"P11801-001",1,"TRADITIONAL HEALING",1103,1,1,,,"P11801-001",,9,1990,2,1,"P11801-001","P11801-001",2,,"P11801-001",,,,,12,,400000,0,0,100000,0,1,2,3
"H11804-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11805-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11806-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11807-04-01",1,"P11807-001",1,"transportation using bicycle",8510,1,1,,,"P11807-001",,4,2009,8,2,"P11807-001",,2,,"P11807-001",,,,,12,,120000,0,0,0,0,2,2,3
"H11808-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11808-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11809-04-01",1,"P11809-011",1,"Retailsale of fish on the stall",4781,1,1,,,"P11809-001",,99,1990,4,5,"P11809-001",,2,,"P11809-001",,,,,12,,40000,0,0,150000,10000,8,8,3
"H11810-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11901-04-01",1,"P11901-001",1,"MANUFACTURING OF TIMBER",4620,1,1,,,"P11901-001",,3,2009,1,2,"P11901-001",,2,,"P11901-001",,,,,12,,950000,5,80000,200000,120000,2,2,3
"H11901-04-01",1,"P11901-001",2,"RETAIL SALE OF FIREWOOD",4620,1,1,,,"P11901-001",,3,2009,1,2,"P11901-001",,2,,"P11901-001",,,,,12,,180000,0,0,0,10000,2,2,3
"H11902-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11903-04-01",1,"P11903-001",1,"SERVING OF COOKED FOOD",5610,1,1,,,"P11903-001","P11903-006",5,2010,2,5,"P11903-001","P11903-006",1,7,"P11903-001","P11903-006","P11903-005",,,12,,550000,2,0,200000,80000,2,2,3
"H11903-04-02",1,"P11903-003",1,"trading in agric products",4300,1,1,,,"P11903-013",,1,2000,3,2,"P11903-013",,2,,"P11903-013",,,,,12,,1000000,0,0,500000,30000,2,2,3
"H11905-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H11907-04-01",1,"P11907-002",1,"RETAIL SHOP",2399,1,1,,,"P11907-001",,7,2006,5,2,"P11907-001",,2,,"P11907-001",,,,,12,,4500000,0,0,350000,60000,2,2,3
"H11908-04-01",1,"P11908-002",1,"retailsale of fish",5610,1,1,,,"P11908-002",,12,2003,4,2,"P11908-002",,1,7,"P11908-002",,,,,12,,300000,0,0,70000,10000,2,2,3
"H11910-04-01",1,"P11910-001",4,"SUPPLY OF STATIONERY & BINDING",5610,1,1,,,"P11910-001",,1,2011,3,2,"P11910-001",,2,,"P11910-001",,,,,6,1,1000000,3,150000,120000,90000,2,2,3
"H11910-04-01",1,"P11910-001",3,"art workshop",4759,0,2,4,3,"P11910-001",,1,2011,3,2,"P11910-008",,2,,"P11910-001","P11910-003",,,,6,2,,1,150000,120000,90000,2,2,3
"H12001-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12003-04-01",1,"P12003-002",1,"CARPENTRY",4773,1,1,,,"P12003-001",,99,1982,7,2,"P12003-001","P12003-002",2,,"P12003-001",,,,,12,,100000,1,50000,20000,0,2,2,3
"H12003-04-01",1,"P12003-002",2,"MANUFACTURING ALCOHOL",4719,1,1,,,"P12003-002","P12003-004",8,2002,2,2,"P12003-002","P12003-001",2,,"P12003-002","P12003-004",,,,12,,100000,2,20000,40000,0,2,2,3
"H12003-04-02",1,"P12003-003",1,"carpenter",4630,0,2,,3,"P12003-001",,99,1985,,,,,,,,,,,,,,,2,,,,,,3
"H12003-04-02",1,"P12003-003",2,"RETAIL SALE OF AGRICULTURAL PRODUCE",4774,1,1,,,"P12003-003",,99,2005,8,2,"P12003-003",,2,,"P12003-003",,,,,12,,1300000,0,0,1000000,0,2,2,3
"H12005-04-01",1,"P12005-001",1,"wholesale of producd",5629,1,1,,,"P12005-001",,6,2002,1,2,"P12005-001",,2,,"P12005-001",,,,,5,1,1000000,0,0,500000,0,2,2,3
"H12006-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12007-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12008-04-01",1,"P12008-002",2,"making furniture",1101,1,1,,,"P12008-002",,99,2009,3,2,"P12008-002",,2,,"P12008-002",,,,,2,1,200000,2,50000,50000,0,2,2,3
"H12008-04-01",1,"P12008-002",1,"retail sale of live animals",4719,1,1,,,"P12008-002",,5,2011,4,2,"P12008-002",,2,,"P12008-002",,,,,12,,225000,0,0,120000,0,2,2,3
"H12008-04-02",1,"P12008-004",1,"RETAIL SALE OF CHARCOAL AND CHAPATIS",1101,1,1,,,"P12008-022",,5,2005,4,2,"P12008-022",,2,,"P12008-022",,,,,12,,850000,0,0,370000,50000,2,2,3
"H12009-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12010-04-01",1,"P12010-003",1,"brick making",5630,1,1,,,"P12010-003",,2,2012,2,2,"P12010-003",,2,,"P12010-003",,,,,2,1,607500,0,0,175000,60000,2,2,3
"H12011-04-01",1,"P12011-001",1,"TRANSPORTING PASSENGERS  USING MOTORCYCLE",4773,1,1,,,"P12011-001",,9,2013,8,5,"P12011-001","P12011-002",1,7,"P12011-001",,,,,8,1,300000,0,0,0,60000,2,2,3
"H12303-04-01",1,"P12303-004",3,"sells vegetables in the market",4781,0,1,,,"P12303-001",,99,2005,4,2,"P12303-001",,1,2,"P12303-001",,,,,12,,130000,0,0,48000,20000,2,2,3
"H12306-04-01",1,"P12306-002",3,"transpodrting passengers on a bicycle",1079,1,1,,,"P12306-001",,99,2005,8,2,"P12306-001",,2,,"P12306-002",,,,,12,,150000,0,0,0,0,2,2,3
"H12306-04-01",1,"P12306-002",2,"trading tomatoes",4520,0,1,,,"P12306-002",,7,1995,4,2,"P12306-002",,2,,"P12306-002","P12306-005",,,,12,,400000,0,0,200000,0,2,2,3
"H12306-04-01",1,"P12306-002",1,"charcoal trade",4774,0,1,,,"P12306-001","P12306-001",11,1995,4,2,"P12306-001",,2,,"P12306-001",,,,,3,2,300000,0,0,200000,0,2,2,3
"H12310-04-01",1,"P12310-001",1,"brewing local brew- malwa",5610,0,1,,,"P12310-001",,11,1980,2,2,"P12310-001",,2,,"P12310-001",,,,,12,,1000000,1,60000,180000,65000,1,2,3
"H12310-04-01",1,"P12310-001",2,"bead making",4922,0,1,,,"P12310-001","P12310-002",4,2005,1,2,"P12310-001",,2,,"P12310-001",,,,,2,1,300000,1,10000,15000,0,2,2,3
"H12311-04-01",1,"P12311-002",1,"retail sale of fish",4721,1,1,,,"P12311-001",,99,1994,4,2,"P12311-001",,2,,"P12311-001",,,,,12,,400000,0,0,10000,60000,8,8,3
"H12311-04-01",1,"P12311-002",2,"retailsale of fish",5620,1,1,,,"P12311-002",,1,2013,4,2,"P12311-002",,2,,"P12311-002",,,,,12,,250000,0,0,90000,20000,2,2,3
"H12401-04-01",1,"P12401-002",1,"RETAIL SALE OF CLOTHES AND DRINKS",6311,1,1,,,"P12401-002",,2,2009,7,5,"P12401-002","P12401-001",2,,"P12401-002",,,,,8,2,150000,0,0,30000,35000,2,2,3
"H12402-04-01",1,"P12402-005",1,"serving cooked food",4630,1,1,,,"P12402-001","P12402-010",9,1998,7,2,"P12402-001","P12402-010",2,,"P12402-001","P12402-010",,,,12,,350000,3,55000,50000,5000,2,2,3
"H12404-04-01",1,"P12404-008",1,"RETAIL SALE OF SECOND HAND CLOTHES IN A MARKET",5610,1,1,,,"P12404-002",,99,1990,4,2,"P12404-002",,1,8,"P12404-002",,,,,12,,1450000,0,0,480000,40000,8,8,3
"H12407-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12407-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12408-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12409-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12411-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12501-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12502-04-01",1,"P12502-003",2,"RETAIL SALE OF GENERAL MERCHERDISE",4630,1,1,,,"P12502-002",,1,2010,1,2,"P12502-002","P12502-001",2,,"P12502-002",,,,,12,,120000,0,0,47800,32000,2,2,3
"H12502-04-01",1,"P12502-003",1,"MAKING OF BRICKS",5610,1,1,,,"P12502-003","P12502-004",1,2007,1,2,"P12502-003","P12502-004",2,,"P12502-003","P12502-004",,,,4,1,870000,3,0,210000,200000,2,2,3
"H12504-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12505-04-01",1,"P12505-001",2,"retail sale of firewood",4773,1,1,,,"P12505-001",,6,2013,1,1,"P12505-001",,2,,"P12505-001",,,,,4,1,20000,0,0,0,0,2,2,3
"H12505-04-01",1,"P12505-001",1,"Retail sale of second hand clothes",4721,1,1,,,"P12505-001","P12505-001",99,2009,4,2,"P12505-001",,2,,"P12505-001",,,,,8,2,200000,0,0,70000,10000,2,2,3
"H12506-04-01",1,"P12506-002",1,"providing services of traditional healers",4773,1,1,,,"P12506-001",,99,9999,1,1,"P12506-001",,2,,"P12506-001",,,,,12,,500000,0,0,0,0,2,2,3
"H12507-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12509-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12510-04-01",1,"P12510-001",1,"RETAIL SALE OF GENERAL MERCHANDISE",4711,1,1,,,"P12510-001",,99,2000,7,2,"P12510-001",,2,,"P12510-001",,,,,12,,5000000,0,0,3000000,27000,2,2,3
"H12510-04-01",1,"P12510-001",2,"PREPARATION AND SALE OF PANCAKES",4719,1,1,,,"P12510-002",,99,2010,2,8,"P12510-002",,2,,"P12510-002",,,,,12,,500000,0,0,150000,2000,2,2,3
"H12512-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12601-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12603-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12604-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12605-04-01",1,"P12605-001",1,"RETAIL SALE OF VEGETABLES",4620,1,1,,,"P12605-001",,1,2010,4,2,"P12605-001","P12605-002",2,,"P12605-001",,,,,12,,400000,0,0,50000,0,2,2,3
"H12606-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12606-04-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12607-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12609-04-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"H12610-04-01",1,"P12610-001",1,"retail sale ofgeneral mechandise",4719,1,1,,,"P12610-002",,99,2008,5,2,"P12610-002",,2,,"P12610-002",,,,,12,,600000,0,0,250000,10000,8,8,3
