"District_Name","SubCounty","Parish","Villagecode","position_ID","C4OQ116A","C4OQ116B","C4OQ116A_V2","C4OQ116B_V2","Health_Response","Reason_Health_Not_Done"
101,101204,10120402,1012040204,1,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,2,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,3,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,4,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,5,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,6,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,7,,,,,3,"no health centre at the island"
101,101204,10120402,1012040204,8,,,,,3,"no health centre at the island"
102,102101,10210104,1021010402,1,1,2,,,2,
102,102101,10210104,1021010402,2,24,0,,,2,
102,102101,10210104,1021010402,3,1,5,,,2,
102,102101,10210104,1021010402,4,6,0,,,2,
102,102101,10210104,1021010402,5,7,0,,,2,
102,102101,10210104,1021010402,6,9,1,,,2,
102,102101,10210104,1021010402,7,26,0,,,2,
102,102101,10210104,1021010402,8,2,0,,,2,
102,102101,10210108,1021010802,1,1,2,3,0,1,
102,102101,10210108,1021010802,2,24,0,34,0,1,
102,102101,10210108,1021010802,3,1,5,27,0,1,
102,102101,10210108,1021010802,4,6,0,3,0,1,
102,102101,10210108,1021010802,5,7,0,9,0,1,
102,102101,10210108,1021010802,6,9,1,13,0,1,
102,102101,10210108,1021010802,7,25,0,31,0,1,
102,102101,10210108,1021010802,8,2,0,2,0,1,
102,102102,10210202,1021020205,1,,,,,,
102,102102,10210202,1021020205,2,,,,,,
102,102102,10210202,1021020205,3,,,,,,
102,102102,10210202,1021020205,4,,,,,,
102,102102,10210202,1021020205,5,,,,,,
102,102102,10210202,1021020205,6,,,,,,
102,102102,10210202,1021020205,7,,,,,,
102,102102,10210202,1021020205,8,,,,,,
102,102102,10210205,1021020504,1,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,2,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,3,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,4,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,5,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,6,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,7,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210205,1021020504,8,,,,,3,"the community now uses Mulago Hospital after the HC has been demolished for renovation"
102,102102,10210206,1021020601,1,0,0,0,0,1,
102,102102,10210206,1021020601,2,0,0,1,0,1,
102,102102,10210206,1021020601,3,0,1,0,1,1,
102,102102,10210206,1021020601,4,1,0,1,0,1,
102,102102,10210206,1021020601,5,2,0,2,0,1,
102,102102,10210206,1021020601,6,1,1,2,0,1,
102,102102,10210206,1021020601,7,2,1,2,0,1,
102,102102,10210206,1021020601,8,0,0,0,0,1,
102,102102,10210208,1021020805,1,2,2,,,1,
102,102102,10210208,1021020805,2,15,5,,,1,
102,102102,10210208,1021020805,3,6,0,,,1,
102,102102,10210208,1021020805,4,2,1,,,1,
102,102102,10210208,1021020805,5,4,8,,,1,
102,102102,10210208,1021020805,6,6,0,,,1,
102,102102,10210208,1021020805,7,21,10,,,1,
102,102102,10210208,1021020805,8,1,1,,,1,
102,102103,10210301,1021030109,1,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,2,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,3,,,,,3,"data collected by another team in trip 1"
102,102103,10210301,1021030109,4,,,,,3,"data collected by another team in trip 1"
