"District_Name","SubCounty","Parish","Villagecode","Communal_Resource_ID","C6EQ1","Other_C6EQ1","C6EQ2","C6EQ3","C6EQ4","C6EQ5","C6EQ6","C6EQ7A","C6EQ7B","C6EQ7C","C6EQ8A","C6EQ8B","C6EQ8C","C6EQ9A","C6EQ9B","C6EQ9C","C6EQ10","C6EQ11","C6EQ12","C6EQ13","C6EQ14","End_comm_resource","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102102,10210205,1021020504,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210206,1021020601,101,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102102,10210206,1021020601,102,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102102,10210206,1021020601,103,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102102,10210206,1021020601,104,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102102,10210206,1021020601,105,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102102,10210208,1021020805,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102102,10210208,1021020805,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102102,10210208,1021020805,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102102,10210208,1021020805,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102102,10210208,1021020805,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210301,1021030109,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210301,1021030109,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210301,1021030109,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210301,1021030109,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210301,1021030109,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210302,1021030203,101,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102103,10210302,1021030203,102,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102103,10210302,1021030203,103,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102103,10210302,1021030203,104,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102103,10210302,1021030203,105,2,,,,,,,,,,,,,,,,,,,,,,2,2,
102,102103,10210304,1021030412,101,,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210304,1021030412,102,,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210304,1021030412,103,,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210304,1021030412,104,,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210304,1021030412,105,,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210305,1021030504,101,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210305,1021030504,102,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210305,1021030504,103,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210305,1021030504,104,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210305,1021030504,105,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210305,1021030509,101,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210305,1021030509,102,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210305,1021030509,103,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210305,1021030509,104,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210305,1021030509,105,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210306,1021030606,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,103,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,104,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,105,2,,,,,,,,,,,,,,,,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210308,1021030803,101,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210308,1021030803,102,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210308,1021030803,103,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210308,1021030803,104,1,,1,1,2,2,2,,,,4,,,1,1,1,3,2,,2,,,2,,
102,102103,10210308,1021030803,105,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210309,1021030904,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210309,1021030904,101,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210309,1021030904,102,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210309,1021030904,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210309,1021030904,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210309,1021030904,103,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210309,1021030904,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210309,1021030904,104,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210309,1021030904,105,2,,,,,,,,,,,,,,,,,,,,,,1,1,
102,102103,10210309,1021030904,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102103,10210312,1021031208,101,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210312,1021031208,102,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210312,1021031208,103,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210312,1021031208,104,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102103,10210312,1021031208,105,2,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210401,1021040102,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210401,1021040102,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210401,1021040102,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210401,1021040102,104,1,,1,1,2,1,2,,,,4,,,1,8,8,2,2,,2,,,2,1,
102,102104,10210401,1021040102,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210402,1021040203,101,2,,,,,,,,,,,,,,,,,,,,,,1,,
102,102104,10210402,1021040203,102,2,,,,,,,,,,,,,,,,,,,,,,1,,
102,102104,10210402,1021040203,103,2,,,,,,,,,,,,,,,,,,,,,,1,,
102,102104,10210402,1021040203,104,2,,,,,,,,,,,,,,,,,,,,,,1,,
102,102104,10210402,1021040203,105,2,,,,,,,,,,,,,,,,,,,,,,1,,
102,102104,10210410,1021041002,101,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210410,1021041002,102,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210410,1021041002,103,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210410,1021041002,104,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210410,1021041002,105,2,,,,,,,,,,,,,,,,,,,,,,2,1,
102,102104,10210411,1021041118,101,,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210411,1021041118,102,,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210411,1021041118,103,,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210411,1021041118,104,,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210411,1021041118,105,,,,,,,,,,,,,,,,,,,,,,,2,,
102,102104,10210417,1021041701,101,2,,,,,,,,,,,,,,,,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
102,102104,10210417,1021041701,102,2,,,,,,,,,,,,,,,,,,,,,,2,3,"THEY USE NSAMBYA HOSPITAL"
