"District_Name","SubCounty","Parish","Villagecode","Problems_ID","C3JQ49","C3JQ49_Other","C3JQ50","Education_Response","Reason_Edu_Not_Done"
102,102103,10210301,1021030109,15,4,,,1,
102,102103,10210302,1021030203,1,4,,,1,
102,102103,10210302,1021030203,2,1,,2,1,
102,102103,10210302,1021030203,3,4,,,1,
102,102103,10210302,1021030203,4,4,,,1,
102,102103,10210302,1021030203,5,2,,2,1,
102,102103,10210302,1021030203,6,4,,,1,
102,102103,10210302,1021030203,7,4,,,1,
102,102103,10210302,1021030203,8,4,,,1,
102,102103,10210302,1021030203,9,4,,,1,
102,102103,10210302,1021030203,10,4,,,1,
102,102103,10210302,1021030203,11,4,,,1,
102,102103,10210302,1021030203,12,4,,,1,
102,102103,10210302,1021030203,13,4,,,1,
102,102103,10210302,1021030203,14,4,,,1,
102,102103,10210302,1021030203,15,3,"FLOODS",2,1,
102,102103,10210304,1021030412,1,,,,3,"holiday"
102,102103,10210304,1021030412,2,,,,3,"holiday"
102,102103,10210304,1021030412,3,,,,3,"holiday"
102,102103,10210304,1021030412,4,,,,3,"holiday"
102,102103,10210304,1021030412,5,,,,3,"holiday"
102,102103,10210304,1021030412,6,,,,3,"holiday"
102,102103,10210304,1021030412,7,,,,3,"holiday"
102,102103,10210304,1021030412,8,,,,3,"holiday"
102,102103,10210304,1021030412,9,,,,3,"holiday"
102,102103,10210304,1021030412,10,,,,3,"holiday"
102,102103,10210304,1021030412,11,,,,3,"holiday"
102,102103,10210304,1021030412,12,,,,3,"holiday"
102,102103,10210304,1021030412,13,,,,3,"holiday"
102,102103,10210304,1021030412,14,,,,3,"holiday"
102,102103,10210304,1021030412,15,,,,3,"holiday"
102,102103,10210305,1021030504,1,4,,,2,
102,102103,10210305,1021030504,2,4,,,2,
102,102103,10210305,1021030504,3,2,,1,2,
102,102103,10210305,1021030504,4,4,,,2,
102,102103,10210305,1021030504,5,4,,,2,
102,102103,10210305,1021030504,6,4,,,2,
102,102103,10210305,1021030504,7,4,,,2,
102,102103,10210305,1021030504,8,4,,,2,
102,102103,10210305,1021030504,9,4,,,2,
102,102103,10210305,1021030504,10,3,,2,2,
102,102103,10210305,1021030504,11,4,,,2,
102,102103,10210305,1021030504,12,4,,,2,
102,102103,10210305,1021030504,13,4,,,2,
102,102103,10210305,1021030504,14,4,,,2,
102,102103,10210305,1021030504,15,1,"LACK OF SOCIAL AMENITIES",2,2,
102,102103,10210305,1021030509,1,4,,,3,"No Contact"
102,102103,10210305,1021030509,2,4,,,3,"No Contact"
