"HHID","PID","w1aq7","w1aq8","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","urban","DynID","ea","year","month","day","region","regurb","result_code","sregion","rotate","consumption_status","wgt_X","HHID_old","wgt","wave","age","wgt_wm"
"H00101-04-01","P00101-001",1,,101,101204,"Mazinga",10120402,"Butulume",0,101,1,2013,12,"09",1,10,1,2,1,1,2792.466796875,1013000201,8509.0029296875,4,48,6801.37890625
"H00102-04-01","P00102-001",1,,111,111203,"Mateete",11120306,"Nakagongo",0,102,1,2014,10,"15",1,10,1,2,1,1,2792.466796875,1013000202,0,4,46,0
"H00104-04-01","P00104-002",1,,101,101204,"Mazinga",10120402,"Butulume",1,104,1,2014,6,"26",1,11,1,2,1,1,2792.466796875,1013000204,5105.40185546875,4,37,4080.82739257813
"H00208-04-01","P00208-006",1,,102,102101,"Central Division",10210104,"Kagugube",1,208,2,2014,3,"27",1,11,1,1,1,1,1874.79821777344,1021000108,9335.5107421875,4,21,8278.236328125
"H00209-04-01","P00209-003",1,,102,102101,"Central Division",10210104,"Kagugube",1,209,2,2014,3,"27",1,11,1,1,1,1,1874.79821777344,1021000109,0,4,20,0
"H00209-04-01","P00209-001",1,,102,102101,"Central Division",10210104,"Kagugube",1,209,2,2014,3,"27",1,11,1,1,1,1,1874.79821777344,1021000109,0,4,43,0
"H00213-04-01","P00213-011",1,,102,102101,"Central Division",10210104,"Kagugube",1,213,2,2014,3,"28",1,11,1,1,1,1,1874.79821777344,1021000113,4335.94580078125,4,27,3844.88696289063
"H00301-04-01","P00301-002",1,,102,102101,"Central Division",10210108,"Kisenyi Ii",1,301,3,2014,3,"14",1,11,1,1,1,1,1874.79821777344,1021000201,18496.880859375,4,43,14784.845703125
"H00302-04-01","P00302-003",1,,102,102101,"Central Division",10210108,"Kisenyi Ii",1,302,3,2014,4,"21",1,11,1,1,1,1,1874.79821777344,1021000202,0,4,15,0
"H00307-04-01","P00307-002",1,,102,102101,"Central Division",10210108,"Kisenyi Ii",1,307,3,2013,10,"16",1,11,1,1,1,1,1874.79821777344,1021000207,8317.0458984375,4,42,6647.94482421875
"H00312-04-01","P00312-002",1,,102,102101,"Central Division",10210108,"Kisenyi Ii",1,312,3,2014,4,"22",1,11,1,1,1,1,1874.79821777344,1021000212,13384.783203125,4,21,11868.916015625
"H00606-04-01","P00606-002",1,,102,102102,"Kawempe Division",10210204,"Kanyanya",1,606,6,2014,7,"13",1,11,1,1,1,1,1874.79821777344,1021000506,5638.8046875,4,35,4507.1845703125
"H00704-04-01","P00704-002",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,704,7,2014,2,"21",1,11,1,1,1,1,1874.79821777344,1021000604,7432.66259765625,4,46,5941.04345703125
"H00704-04-01","P00704-004",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,704,7,2014,2,"21",1,11,1,1,1,1,1874.79821777344,1021000604,7432.66259765625,4,19,9611.0546875
"H00707-04-01","P00707-018",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,707,7,2014,8,"19",1,11,1,1,1,1,1874.79821777344,1021000607,2649.068359375,4,20,3425.46704101563
"H00707-04-01","P00707-008",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,707,7,2014,8,"19",1,11,1,1,1,1,1874.79821777344,1021000607,2649.068359375,4,31,2117.44165039063
"H00710-04-01","P00710-005",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,710,7,2014,2,"22",1,11,1,1,1,1,1874.79821777344,1021000610,4893.1787109375,4,17,6327.2890625
"H00710-04-01","P00710-003",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,710,7,2014,2,"22",1,11,1,1,1,1,1874.79821777344,1021000610,4893.1787109375,4,25,4339.01171875
"H00802-04-01","P00802-002",1,,102,102102,"Kawempe Division",10210208,"Kikaaya",1,802,8,2013,10,"07",1,11,1,1,1,1,1874.79821777344,1021000702,4436.29443359375,4,44,3545.99951171875
"H00803-04-01","P00803-002",1,,102,102102,"Kawempe Division",10210209,"Komamboga",1,803,8,2014,3,"29",1,11,1,1,1,1,1874.79821777344,1021000703,9480.21484375,4,25,8406.5517578125
"H00805-04-01","P00805-002",1,,102,102102,"Kawempe Division",10210208,"Kikaaya",1,805,8,2013,10,"05",1,11,1,1,1,1,1874.79821777344,1021000705,7756.5390625,4,21,6878.087890625
"H00809-04-01","P00809-002",1,,102,102102,"Kawempe Division",10210208,"Kikaaya",1,809,8,2013,10,"09",1,11,1,1,1,1,1874.79821777344,1021000709,0,4,32,0
"H00810-04-02","P00810-005",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,810,8,2014,3,"28",1,11,1,1,1,1,937.399108886719,,0,4,26,0
"H00810-04-03","P00810-005",1,,102,102102,"Kawempe Division",10210205,"Kawempe I",1,810,8,2014,3,"28",1,11,1,1,1,1,937.399108886719,,0,4,26,0
"H00811-04-01","P00811-002",1,,102,102102,"Kawempe Division",10210208,"Kikaaya",1,811,8,2013,10,"06",1,11,1,1,1,1,1874.79821777344,1021000711,6885.0205078125,4,36,5503.3046875
"H01209-04-01","P01209-006",1,,102,102104,"Makindye Division",10210401,"Bukasa",1,1209,12,2014,1,"28",1,11,1,1,1,1,624.932739257813,1021001109,4844.5263671875,4,17,6264.3779296875
"H01209-04-02","P01209-024",1,,102,102104,"Makindye Division",10210401,"Bukasa",1,1209,12,2014,7,"15",1,11,1,1,1,1,624.932739257813,102100110901,3113.435546875,4,22,2804.33984375
"H01209-04-03","P01209-014",1,,102,102104,"Makindye Division",10210401,"Bukasa",1,1209,12,2014,7,"16",1,11,1,1,1,1,624.932739257813,102100110903,2436.439453125,4,34,1947.48413085938
"H01210-04-01","P01210-002",1,,102,102104,"Makindye Division",10210401,"Bukasa",1,1210,12,2014,1,"28",1,11,1,1,1,1,1874.79809570313,1021001110,386.365051269531,4,37,308.82763671875
"H01210-04-01","P01210-004",1,,102,102104,"Makindye Division",10210401,"Bukasa",1,1210,12,2014,1,"28",1,11,1,1,1,1,1874.79809570313,1021001110,386.365051269531,4,16,499.602355957031
"H01401-04-01","P01401-010",1,,102,102104,"Makindye Division",10210408,"Kibuli",1,1401,14,2014,3,"26",1,11,1,1,1,1,1874.79821777344,1021001301,0,4,21,0
"H01402-04-01","P01402-009",1,,102,102104,"Makindye Division",10210408,"Kibuli",1,1402,14,2014,3,"26",1,11,1,1,1,1,1874.79821777344,1021001302,4160.9921875,4,18,5380.51123046875
"H01402-04-01","P01402-001",1,,102,102104,"Makindye Division",10210408,"Kibuli",1,1402,14,2014,3,"26",1,11,1,1,1,1,1874.79821777344,1021001302,4160.9921875,4,49,3325.94604492188
"H01402-04-01","P01402-008",1,,102,102104,"Makindye Division",10210408,"Kibuli",1,1402,14,2014,3,"26",1,11,1,1,1,1,1874.79821777344,1021001302,4160.9921875,4,24,3689.74731445313
"H01406-04-01","P01406-002",1,,102,102104,"Makindye Division",10210408,"Kibuli",1,1406,14,2014,3,"26",1,11,1,1,1,1,1874.79821777344,1021001306,21713.75390625,4,26,19254.60546875
"H01406-04-01","P01406-003",1,,102,102104,"Makindye Division",10210408,"Kibuli",1,1406,14,2014,3,"26",1,11,1,1,1,1,1874.79821777344,1021001306,21713.75390625,4,24,19254.60546875
"H01601-04-01","P01601-007",1,,102,102104,"Makindye Division",10210411,"Kisugu",1,1601,16,2013,11,"16",1,11,1,1,1,1,1874.79821777344,1021001501,5152.521484375,4,21,4568.98291015625
"H01605-04-01","P01605-015",1,,102,102104,"Makindye Division",10210411,"Kisugu",1,1605,16,2014,6,"05",1,11,1,1,1,1,1874.79821777344,1021001505,2256.85473632813,4,31,1803.93920898438
"H01605-04-01","P01605-026",1,,102,102104,"Makindye Division",10210411,"Kisugu",1,1605,16,2014,6,"05",1,11,1,1,1,1,1874.79821777344,1021001505,2256.85473632813,4,15,2918.30200195313
"H01607-04-01","P01607-005",1,,102,102104,"Makindye Division",10210411,"Kisugu",1,1607,16,2014,6,"05",1,11,1,1,1,1,1874.79821777344,1021001507,3278.87719726563,4,16,4239.86279296875
"H01612-04-01","P01612-002",1,,102,102104,"Makindye Division",10210411,"Kisugu",1,1612,16,2014,6,"05",1,11,1,1,1,1,1874.79821777344,1021001512,1579.79833984375,4,23,1400.88146972656
"H01801-04-01","P01801-002",1,,102,102104,"Makindye Division",10210402,"Buziga",1,1801,18,2014,1,"13",1,11,1,1,1,1,1874.79821777344,1021001701,8882.4296875,4,29,8000.599609375
"H01806-04-01","P01806-002",1,,102,102104,"Makindye Division",10210402,"Buziga",1,1806,18,2014,1,"13",1,11,1,1,1,1,937.399108886719,1021001706,2609.00732421875,4,34,2085.42041015625
"H01806-04-02","P01806-010",1,,105,105103,"Kabonera",10510303,"Kakunyu",0,1806,18,2014,9,"13",1,10,1,2,1,1,937.399108886719,2102100170601,0,4,24,0
"H01809-04-01","P01809-001",1,,102,102104,"Makindye Division",10210402,"Buziga",1,1809,18,2014,1,"13",1,11,1,1,1,1,1874.79821777344,1021001709,3806.75561523438,4,38,3042.79931640625
"H01809-04-01","P01809-006",1,,102,102104,"Makindye Division",10210402,"Buziga",1,1809,18,2014,1,"13",1,11,1,1,1,1,1874.79821777344,1021001709,3806.75561523438,4,24,3375.62915039063
"H02108-04-01","P02108-001",1,,102,102105,"Nakawa Division",10210503,"Bukoto I",1,2108,21,2013,10,"15",1,11,1,1,1,1,1874.79821777344,1021002008,3528.55883789063,4,33,2820.43212890625
"H02110-04-01","P02110-003",1,,102,102105,"Nakawa Division",10210503,"Bukoto I",1,2110,21,2013,10,"16",1,11,1,1,1,1,1874.79821777344,1021002010,6732.40869140625,4,21,5969.943359375
"H02110-04-01","P02110-002",1,,102,102105,"Nakawa Division",10210503,"Bukoto I",1,2110,21,2013,10,"16",1,11,1,1,1,1,1874.79821777344,1021002010,6732.40869140625,4,43,5381.3193359375
"H02111-04-01","P02111-002",1,,102,102105,"Nakawa Division",10210503,"Bukoto I",1,2111,21,2014,4,"18",1,11,1,1,1,1,1874.79821777344,1021002011,5613.6162109375,4,37,4487.05126953125
"H02111-04-01","P02111-011",1,,102,102105,"Nakawa Division",10210503,"Bukoto I",1,2111,21,2014,4,"18",1,11,1,1,1,1,1874.79821777344,1021002011,5613.6162109375,4,20,7258.87548828125
"H02203-04-01","P02203-005",1,,102,102105,"Nakawa Division",10210510,"Kyanja",1,2203,22,2013,11,"30",1,11,1,1,1,1,1874.79821777344,1021002103,7011.400390625,4,15,9066.3271484375
"H02203-04-01","P02203-006",1,,102,102105,"Nakawa Division",10210510,"Kyanja",1,2203,22,2013,11,"30",1,11,1,1,1,1,1874.79821777344,1021002103,7011.400390625,4,15,9066.3271484375
"H02203-04-01","P02203-002",1,,102,102105,"Nakawa Division",10210510,"Kyanja",1,2203,22,2013,11,"30",1,11,1,1,1,1,1874.79821777344,1021002103,7011.400390625,4,40,5604.32177734375
"H02203-04-01","P02203-003",1,,102,102105,"Nakawa Division",10210510,"Kyanja",1,2203,22,2013,11,"30",1,11,1,1,1,1,1874.79821777344,1021002103,7011.400390625,4,20,9066.3271484375
"H02205-04-01","P02205-004",1,,102,102105,"Nakawa Division",10210504,"Bukoto Ii",1,2205,22,2014,6,"01",1,11,1,1,1,1,1874.79821777344,1021002105,0,4,22,0
"H02206-04-01","P02206-005",1,,102,102105,"Nakawa Division",10210504,"Bukoto Ii",1,2206,22,2013,12,"02",1,11,1,1,1,1,1874.79821777344,1021002106,4084.31396484375,4,26,3621.75317382813
"H02207-04-01","P02207-001",1,,102,102105,"Nakawa Division",10210504,"Bukoto Ii",1,2207,22,2013,12,"02",1,11,1,1,1,1,1874.79821777344,1021002107,3691.49462890625,4,45,2950.66943359375
"H02304-04-01","P02304-002",1,,113,113303,"Kira Town Council",11330306,"Kyaliwajjala",0,2304,23,2013,12,"06",1,10,1,2,1,1,1874.79821777344,1021002204,7353.66552734375,4,28,6623.6083984375
"H02310-04-01","P02310-002",1,,102,102105,"Nakawa Division",10210510,"Kyanja",1,2310,23,2014,6,"27",1,11,1,1,1,1,1874.79821777344,1021002210,7195.20654296875,4,40,5751.2412109375
"H02409-04-01","P02409-001",1,,102,102105,"Nakawa Division",10210513,"Mbuya I",1,2409,24,2014,1,"29",1,11,1,1,1,1,1874.79821777344,1021002309,27073.59765625,4,43,21640.349609375
"H02507-04-01","P02507-002",1,,102,102105,"Nakawa Division",10210515,"Mutungo",1,2507,25,2014,2,"21",1,11,1,1,1,1,1874.79809570313,1021002407,7690.921875,4,33,6147.47412109375
"H02601-04-02","P02601-005",1,,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,2601,26,2014,4,"02",1,11,1,1,1,1,937.399108886719,2102100250103,1878.6708984375,4,28,1665.90576171875
"H02602-04-01","P02602-005",1,,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,2602,26,2014,3,"31",1,11,1,1,1,1,1874.79821777344,1021002502,5374.99462890625,4,37,4296.3173828125
"H02602-04-01","P02602-009",1,,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,2602,26,2014,3,"31",1,11,1,1,1,1,1874.79821777344,1021002502,5374.99462890625,4,16,6950.31787109375
"H02608-04-01","P02608-009",1,,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,2608,26,2014,3,"27",1,11,1,1,1,1,937.399108886719,1021002508,964.181640625,4,39,770.685485839844
"H02609-04-01","P02609-002",1,,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,2609,26,2014,3,"27",1,11,1,1,1,1,1874.79821777344,1021002509,1560.16552734375,4,26,1383.47204589844
"H02703-04-02","P02703-016",1,,102,102103,"Lubaga Division",10210301,"Busega",1,2703,27,2013,10,"17",1,11,1,1,1,1,1874.79821777344,102100260304,3040.47412109375,4,38,2430.29858398438
