"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H00301-04-01","P00301-008",6,2,,14,19,2,,31,19,35,3,,,1,102,,,100,,,,,1874.79821777344
"H00302-04-01","P00302-001",1,3,,,,3,,,,17,3,,,1,116,1,102,13,1,116,2,0,1874.79821777344
"H00302-04-01","P00302-003",2,1,"P00302-001",,,2,,15,5,17,3,,,1,116,1,102,13,1,116,14,0,1874.79821777344
"H00303-04-01","P00303-001",1,3,,,,3,,,,30,3,,,1,106,1,102,42,1,106,2,0,1874.79821777344
"H00303-04-01","P00303-002",2,3,,,,1,"P00303-001",,,17,3,,,1,105,1,102,8,1,105,2,0,1874.79821777344
"H00303-04-01","P00303-005",3,2,,6,10,1,"P00303-001",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00303-04-01","P00303-014",5,2,,99,88,1,"P00303-001",,,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00303-04-01","P00303-015",6,2,,99,88,2,,99,88,17,3,,,1,102,,,100,,,,,1874.79821777344
"H00304-04-01","P00304-001",1,3,,,,2,,3,19,17,3,,,1,113,1,102,9,1,113,1,0,1874.79821777344
"H00307-04-01","P00307-001",4,3,,,,3,,,,17,2,9,2,1,105,1,102,5,1,102,1,1,1874.79821777344
"H00307-04-01","P00307-002",1,3,,,,3,,,,17,2,9,2,1,115,1,102,10,1,102,2,0,1874.79821777344
"H00307-04-01","P00307-003",2,2,,8,6,1,"P00307-002",,,32,3,,,1,102,1,102,10,1,102,14,0,1874.79821777344
"H00307-04-01","P00307-005",5,2,,4,19,2,,8,88,17,3,,,1,115,,,100,,,,,1874.79821777344
"H00312-04-01","P00312-001",1,2,,3,19,2,,8,19,17,3,,,1,112,1,102,5,1,102,1,1,1874.79821777344
"H00312-04-01","P00312-002",2,2,,70,19,1,"P00312-001",,,17,3,,,1,112,1,112,2,1,112,14,2,1874.79821777344
"H00312-04-01","P00312-003",3,2,,2,20,1,"P00312-001",,,17,3,,,1,112,1,112,2,1,112,14,2,1874.79821777344
"H00312-04-01","P00312-004",4,2,,3,19,1,"P00312-001",,,17,9,,,1,112,1,112,2,1,112,8,2,1874.79821777344
"H00312-04-01","P00312-006",5,3,,,,2,,4,19,17,3,,,1,112,1,112,2,1,112,2,2,1874.79821777344
