"HHID","PID","h2q1","h3q2a","h3q2b","h3q3","h3q4","h3q5a","h3q5b","h3q6","h3q7","h3q9","h3q10","h3q11","h3q12","h3q13R","h3q13D","h3q14R","h3q14D","h3q15","h3q16R","h3q16D","h3q18","h3q19","wgt_X"
"H14806-04-01","P14806-011",5,1,"P14806-007",,,1,"P14806-008",,,18,2,2,1,2,223,,,100,,,,,978.488464355469
"H14806-04-01","P14806-019",6,1,"P14806-007",,,1,"P14806-008",,,18,2,2,1,2,223,,,100,,,,,978.488464355469
"H14806-04-01","P14806-020",7,1,"P14806-007",,,1,"P14806-008",,,18,2,2,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-001",1,3,,,,3,,,,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-002",2,3,,,,3,,,,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-004",3,1,"P14806-001",,,1,"P14806-002",,,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-005",4,2,,15,19,2,,16,19,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-006",5,2,,17,19,2,,17,19,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-018",6,2,,15,19,2,,13,19,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-026",7,2,,14,19,2,,99,7,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-02","P14806-027",8,2,,15,19,1,"P14806-004",,,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-012",1,3,,,,3,,,,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-013",2,3,,,,1,"P14806-012",,,18,9,,,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-015",3,2,,13,19,2,,15,19,18,9,,,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-016",4,2,,13,19,2,,99,19,18,9,,,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-017",5,3,,,,1,"P14806-012",,,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-021",6,3,,,,1,"P14806-012",,,18,2,1,1,2,223,1,105,0,1,105,14,1,978.488464355469
"H14806-04-03","P14806-022",7,2,,12,19,2,,16,19,18,2,1,1,2,223,,,100,,,,,978.488464355469
"H14806-04-03","P14806-023",8,2,,99,5,1,"P14806-012",,,28,2,1,1,1,105,1,105,0,1,105,14,0,978.488464355469
"H14806-04-03","P14806-024",9,2,,99,5,1,"P14806-021",,,28,2,1,1,2,223,,,0,1,105,14,0,978.488464355469
"H14806-04-03","P14806-025",10,2,,99,5,1,"P14806-021",,,28,2,1,1,2,223,,,100,,,,,978.488464355469
"H14807-04-01","P14807-001",1,3,,,,2,,99,19,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14807-04-01","P14807-002",2,3,,,,2,,12,19,18,3,,,2,215,2,223,23,2,223,9,0,1467.73278808594
"H14807-04-01","P14807-004",4,1,"P14807-001",,,1,"P14807-002",,,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14807-04-01","P14807-005",5,1,"P14807-001",,,1,"P14807-002",,,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14807-04-01","P14807-006",6,1,"P14807-001",,,1,"P14807-002",,,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14807-04-01","P14807-007",7,1,"P14807-001",,,1,"P14807-002",,,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14807-04-01","P14807-009",8,1,"P14807-001",,,1,"P14807-002",,,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14807-04-02","P14807-003",1,2,,13,19,2,,12,19,18,2,1,2,2,223,2,223,0,2,223,9,0,1467.73278808594
"H14807-04-02","P14807-010",2,2,,16,19,2,,73,19,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H14808-04-01","P14808-002",1,3,,,,3,,,,18,2,2,1,2,223,2,223,47,2,223,9,0,1467.73278808594
"H14808-04-01","P14808-005",4,3,,,,1,"P14808-002",,,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-01","P14808-006",5,2,,15,19,3,,,,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-01","P14808-007",6,2,,15,19,3,,,,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-02","P14808-003",1,3,,,,2,,12,19,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-02","P14808-010",2,2,,15,19,2,,11,19,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-02","P14808-011",3,2,,17,19,2,,17,19,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-02","P14808-012",4,1,"P14808-010",,,1,"P14808-003",,,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14808-04-02","P14808-013",5,1,"P14808-010",,,1,"P14808-003",,,18,2,2,1,2,223,,,100,,,,,1467.73278808594
"H14809-04-01","P14809-001",1,3,,,,2,,16,19,18,2,1,2,2,223,2,223,14,2,223,9,0,2935.46557617188
"H14809-04-01","P14809-002",2,2,,13,19,1,"P14809-001",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14809-04-01","P14809-003",3,2,,13,19,1,"P14809-001",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14809-04-01","P14809-004",4,2,,13,19,1,"P14809-001",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14809-04-01","P14809-005",5,2,,13,19,1,"P14809-001",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14810-04-01","P14810-001",1,3,,,,3,,,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14810-04-01","P14810-002",2,3,,,,3,,,,18,2,1,2,2,223,2,223,25,2,223,9,0,2935.46557617188
"H14810-04-01","P14810-004",3,1,"P14810-001",,,1,"P14810-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14810-04-01","P14810-005",4,1,"P14810-001",,,1,"P14810-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14810-04-01","P14810-006",5,1,"P14810-001",,,1,"P14810-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14810-04-01","P14810-007",6,1,"P14810-001",,,1,"P14810-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14810-04-01","P14810-008",7,1,"P14810-001",,,1,"P14810-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14903-04-01","P14903-001",1,2,,8,7,3,,,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-002",2,2,,2,19,3,,,,18,1,1,2,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-004",3,1,"P14903-001",,,1,"P14903-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-005",4,1,"P14903-001",,,1,"P14903-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-006",5,1,"P14903-001",,,1,"P14903-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-008",6,1,"P14903-001",,,1,"P14903-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-009",7,1,"P14903-001",,,1,"P14903-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-011",8,1,"P14903-001",,,1,"P14903-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-01","P14903-012",9,2,,2,19,1,"P14903-004",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14903-04-02","P14903-003",1,2,,3,19,2,,2,19,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14903-04-02","P14903-013",2,2,,2,18,2,,3,19,18,3,,,2,223,2,223,1,2,223,9,0,1467.73278808594
"H14903-04-02","P14903-014",3,1,"P14903-003",,,1,"P14903-013",,,18,3,,,2,223,,,100,,,,,1467.73278808594
"H14904-04-01","P14904-001",1,3,,,,3,,,,18,3,,,2,223,2,223,54,2,223,9,0,2935.46557617188
"H14904-04-01","P14904-002",2,2,,9,1,2,,3,19,18,3,,,2,223,,,100,,,,,2935.46557617188
"H14904-04-01","P14904-005",3,2,,8,19,2,,3,19,18,3,,,2,223,2,223,0,2,223,96,0,2935.46557617188
"H14906-04-01","P14906-001",1,3,,,,2,,1,19,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14906-04-01","P14906-002",2,2,,3,19,2,,2,19,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14906-04-01","P14906-005",3,1,"P14906-001",,,1,"P14906-002",,,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14906-04-01","P14906-006",4,2,,8,88,2,,2,19,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14906-04-02","P14906-003",1,2,,2,9,2,,2,19,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14906-04-02","P14906-007",2,2,,3,5,2,,2,5,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H14907-04-01","P14907-001",1,3,,,,1,"P14907-003",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14907-04-01","P14907-002",2,2,,1,19,3,,,,18,2,1,2,2,223,2,223,20,5,509,9,0,2935.46557617188
"H14907-04-01","P14907-003",7,3,,,,3,,,,18,2,1,2,2,223,2,223,76,5,509,9,0,2935.46557617188
"H14907-04-01","P14907-004",3,1,"P14907-001",,,1,"P14907-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14907-04-01","P14907-005",9,1,"P14907-001",,,1,"P14907-002",,,18,9,,,2,223,,,100,,,,,2935.46557617188
"H14907-04-01","P14907-006",4,1,"P14907-001",,,1,"P14907-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14907-04-01","P14907-007",5,1,"P14907-001",,,1,"P14907-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14907-04-01","P14907-008",6,1,"P14907-001",,,1,"P14907-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14908-04-01","P14908-001",1,3,,,,2,,1,19,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14908-04-01","P14908-002",2,3,,,,2,,2,19,18,2,1,2,2,223,2,223,11,2,223,9,1,2935.46557617188
"H14908-04-01","P14908-003",3,1,"P14908-001",,,1,"P14908-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14908-04-01","P14908-004",4,1,"P14908-001",,,1,"P14908-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14908-04-01","P14908-006",5,1,"P14908-001",,,1,"P14908-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14908-04-01","P14908-007",6,1,"P14908-001",,,1,"P14908-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14910-04-01","P14910-001",1,3,,,,2,,8,19,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14910-04-01","P14910-002",2,2,,17,17,2,,13,19,18,2,1,2,2,223,2,223,11,2,223,9,0,2935.46557617188
"H14910-04-01","P14910-003",3,1,"P14910-001",,,1,"P14910-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14910-04-01","P14910-004",4,1,"P14910-001",,,1,"P14910-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14910-04-01","P14910-005",5,1,"P14910-001",,,1,"P14910-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14910-04-01","P14910-006",6,2,,99,1,2,,15,19,18,2,1,2,5,509,2,223,9,5,509,10,0,2935.46557617188
"H14910-04-01","P14910-007",7,1,"P14910-001",,,1,"P14910-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H14910-04-01","P14910-008",8,1,"P14910-001",,,1,"P14910-002",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H15002-04-01","P15002-001",1,3,,,,3,,,,18,3,,,2,223,2,223,59,2,223,14,0,2935.46557617188
"H15002-04-01","P15002-002",2,3,,,,3,,,,18,3,,,2,223,2,223,56,2,223,9,0,2935.46557617188
"H15003-04-01","P15003-001",1,3,,,,3,,,,18,2,2,1,2,223,,,100,,,,,2935.46557617188
"H15003-04-01","P15003-002",2,2,,73,19,2,,73,19,18,2,2,1,2,223,,,100,,,,,2935.46557617188
"H15003-04-01","P15003-005",3,1,"P15003-001",,,1,"P15003-002",,,18,2,2,1,2,223,,,100,,,,,2935.46557617188
"H15004-04-01","P15004-001",1,3,,,,3,,,,18,2,1,1,2,223,,,100,,,,,2935.46557617188
"H15004-04-01","P15004-002",2,3,,,,3,,,,18,2,1,1,2,223,,,100,,,,,2935.46557617188
"H15004-04-01","P15004-005",3,1,"P15004-001",,,1,"P15004-002",,,18,2,1,1,2,223,,,100,,,,,2935.46557617188
"H15004-04-01","P15004-007",4,1,"P15004-001",,,1,"P15004-002",,,18,2,1,1,2,223,,,100,,,,,2935.46557617188
"H15005-04-01","P15005-001",1,3,,,,3,,,,18,2,2,1,2,223,,,100,,,,,2935.46557617188
"H15005-04-01","P15005-002",2,2,,17,19,3,,,,18,2,2,1,2,223,,,100,,,,,2935.46557617188
"H15006-04-01","P15006-001",1,3,,,,3,,,,18,2,1,2,2,223,2,223,45,2,223,9,0,2935.46557617188
"H15006-04-01","P15006-002",2,2,,32,10,2,,73,18,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H15006-04-01","P15006-005",5,2,,99,88,3,,,,18,2,1,2,1,102,1,102,5,2,223,96,1,2935.46557617188
"H15006-04-01","P15006-006",6,3,,,,3,,,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H15007-04-01","P15007-002",1,2,,12,9,2,,13,19,18,2,1,2,2,223,2,223,27,2,223,9,0,1467.73278808594
"H15007-04-01","P15007-004",2,3,,,,1,"P15007-002",,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H15007-04-01","P15007-006",3,3,,,,1,"P15007-002",,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H15007-04-01","P15007-007",4,3,,,,1,"P15007-002",,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H15007-04-01","P15007-008",5,2,,33,88,3,,,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H15007-04-01","P15007-009",6,3,,,,1,"P15007-002",,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H15007-04-01","P15007-016",7,3,,,,1,"P15007-002",,,18,2,1,2,2,223,2,223,15,2,223,10,0,1467.73278808594
"H15007-04-01","P15007-022",8,3,,,,1,"P15007-002",,,18,2,1,1,2,223,1,102,12,1,102,2,0,1467.73278808594
"H15007-04-01","P15007-023",9,2,,36,1,1,"P15007-016",,,18,2,1,2,2,223,,,0,2,223,14,0,1467.73278808594
"H15007-04-01","P15007-024",10,2,,36,1,1,"P15007-016",,,18,2,1,2,2,223,,,100,,,,,1467.73278808594
"H15007-04-02","P15007-005",2,3,,,,2,,15,19,18,2,1,2,2,223,2,223,5,2,223,8,0,1467.73278808594
"H15007-04-02","P15007-010",1,3,,,,2,,23,9,18,2,1,1,2,223,,,100,,,,,1467.73278808594
"H15007-04-02","P15007-011",3,2,,14,19,2,,13,19,18,2,1,2,2,223,2,223,30,2,223,9,0,1467.73278808594
"H15007-04-02","P15007-013",4,1,"P15007-010",,,1,"P15007-011",,,18,9,,,2,223,,,100,,,,,1467.73278808594
"H15007-04-02","P15007-014",5,1,"P15007-010",,,1,"P15007-011",,,18,9,,,2,223,,,100,,,,,1467.73278808594
"H15007-04-02","P15007-015",6,1,"P15007-010",,,1,"P15007-011",,,18,9,,,2,223,2,223,5,2,223,8,1,1467.73278808594
"H15008-04-01","P15008-001",1,3,,,,3,,,,18,2,1,2,2,209,2,223,50,2,223,5,1,1467.73278808594
"H15008-04-01","P15008-002",2,3,,,,3,,,,18,2,1,2,2,223,2,223,55,2,223,9,0,1467.73278808594
"H15008-04-02","P15008-003",1,2,,16,19,2,,73,13,18,3,,,2,223,,,100,,,,,1467.73278808594
"H15008-04-02","P15008-010",2,3,,,,2,,16,5,18,2,1,2,2,223,2,223,3,2,223,9,0,1467.73278808594
"H15009-04-01","P15009-001",1,2,,13,19,2,,1,19,18,2,9,2,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-002",2,3,,,,2,,1,19,18,2,9,2,2,223,2,223,24,2,223,9,0,2935.46557617188
"H15009-04-01","P15009-003",3,1,"P15009-001",,,1,"P15009-002",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-005",4,1,"P15009-001",,,1,"P15009-002",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-006",5,1,"P15009-001",,,1,"P15009-002",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-007",6,1,"P15009-001",,,1,"P15009-002",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-008",7,1,"P15009-001",,,1,"P15009-002",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-009",8,1,"P15009-001",,,1,"P15009-002",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15009-04-01","P15009-010",9,2,,99,19,1,"P15009-003",,,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15010-04-01","P15010-001",1,3,,,,3,,,,18,2,1,2,5,509,2,223,48,2,223,9,0,2935.46557617188
"H15010-04-01","P15010-002",2,2,,16,19,2,,16,6,18,9,,,2,223,,,100,,,,,2935.46557617188
"H15010-04-01","P15010-003",3,3,,,,3,,,,18,9,,,2,223,2,223,5,2,223,96,0,2935.46557617188
"H15010-04-01","P15010-004",4,2,,16,19,2,,17,5,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H15010-04-01","P15010-005",5,3,,,,3,,,,18,9,,,2,223,2,223,8,2,223,96,0,2935.46557617188
"H15010-04-01","P15010-006",6,3,,,,3,,,,18,3,,,2,223,2,223,8,2,223,96,0,2935.46557617188
"H15010-04-01","P15010-007",7,2,,99,1,2,,16,7,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H15010-04-01","P15010-008",8,2,,14,19,2,,99,88,18,3,,,2,223,,,100,,,,,2935.46557617188
"H15010-04-01","P15010-009",9,2,,16,19,2,,17,6,18,2,2,2,2,223,,,100,,,,,2935.46557617188
"H15010-04-01","P15010-010",10,2,,73,17,2,,99,88,18,2,1,2,2,223,2,223,2,2,223,96,0,2935.46557617188
"H15010-04-01","P15010-011",11,2,,31,11,1,"P15010-004",,,18,2,1,2,2,223,,,100,,,,,2935.46557617188
"H15101-04-01","P15101-001",1,3,,,,2,,8,19,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-002",2,3,,,,2,,8,13,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-003",3,1,"P15101-002",,,1,"P15101-001",,,18,9,,,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-004",4,1,"P15101-002",,,1,"P15101-001",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-005",5,1,"P15101-002",,,1,"P15101-001",,,18,9,,,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-006",6,1,"P15101-002",,,1,"P15101-001",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-007",7,1,"P15101-002",,,1,"P15101-001",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-008",8,1,"P15101-002",,,1,"P15101-001",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-009",9,1,"P15101-002",,,1,"P15101-001",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15101-04-01","P15101-016",13,1,"P15101-004",,,2,,17,17,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15102-04-01","P15102-001",1,3,,,,2,,1,19,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15102-04-01","P15102-002",2,2,,2,18,2,,1,19,18,2,1,2,2,223,2,209,38,2,223,9,0,1467.73303222656
"H15102-04-01","P15102-003",3,2,,2,1,2,,2,17,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15102-04-01","P15102-004",4,2,,2,1,2,,2,17,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15102-04-01","P15102-006",5,1,"P15102-001",,,1,"P15102-002",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15102-04-01","P15102-007",6,1,"P15102-001",,,1,"P15102-002",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15102-04-02","P15102-006",1,2,,17,5,2,,14,19,18,2,2,2,2,223,2,223,14,2,223,1,0,1467.73303222656
"H15102-04-02","P15102-009",2,2,,17,6,2,,14,19,18,3,,,2,223,2,223,1,2,223,1,0,1467.73303222656
"H15102-04-02","P15102-010",3,3,,,,2,,99,88,18,9,,,2,223,2,223,1,2,223,1,0,1467.73303222656
"H15103-04-01","P15103-001",1,2,,2,10,3,,,,18,2,1,2,2,223,2,223,26,2,223,5,0,2935.46606445313
"H15103-04-01","P15103-002",2,3,,,,3,,,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-003",3,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-004",4,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-005",5,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-006",6,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-007",7,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-008",8,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-009",9,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15103-04-01","P15103-010",10,1,"P15103-001",,,1,"P15103-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15104-04-01","P15104-001",1,3,,,,3,,,,18,2,1,2,2,215,2,223,40,2,223,9,0,2935.46606445313
"H15104-04-01","P15104-002",2,3,,,,1,"P15104-001",,,18,1,1,2,2,223,,,100,,,,,2935.46606445313
"H15104-04-01","P15104-003",3,2,,15,19,2,,14,19,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15104-04-01","P15104-005",4,2,,99,19,2,,14,19,18,2,1,2,2,212,,,100,,,,,2935.46606445313
"H15105-04-01","P15105-001",1,2,,2,19,2,,1,19,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15105-04-01","P15105-002",2,3,,,,2,,1,19,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15105-04-01","P15105-003",3,1,"P15105-001",,,1,"P15105-002",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15105-04-01","P15105-004",4,1,"P15105-001",,,1,"P15105-002",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15105-04-01","P15105-005",5,1,"P15105-001",,,1,"P15105-002",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15105-04-01","P15105-006",6,2,,8,88,3,,,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15106-04-01","P15106-001",1,3,,,,3,,,,18,2,2,1,2,223,,,100,,,,,2935.46606445313
"H15106-04-01","P15106-007",2,2,,99,19,2,,31,19,18,2,2,1,2,223,,,100,,,,,2935.46606445313
"H15106-04-01","P15106-008",3,2,,36,1,2,,36,1,18,2,2,1,2,223,,,100,,,,,2935.46606445313
"H15107-04-01","P15107-001",1,3,,,,3,,,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15107-04-01","P15107-002",2,2,,17,19,1,"P15107-001",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15107-04-01","P15107-003",3,2,,17,19,1,"P15107-001",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15107-04-01","P15107-004",4,2,,17,19,1,"P15107-001",,,18,2,1,1,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-001",1,3,,,,2,,16,19,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-002",2,3,,,,2,,99,19,18,2,1,2,2,223,2,223,16,2,223,9,0,2935.46606445313
"H15108-04-01","P15108-003",3,1,"P15108-001",,,1,"P15108-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-004",4,1,"P15108-001",,,1,"P15108-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-005",5,1,"P15108-001",,,1,"P15108-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-006",6,1,"P15108-001",,,1,"P15108-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-007",7,1,"P15108-001",,,1,"P15108-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15108-04-01","P15108-008",8,1,"P15108-001",,,1,"P15108-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15109-04-01","P15109-001",1,3,,,,2,,8,19,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-01","P15109-002",2,2,,8,19,3,,,,18,2,1,2,2,223,2,223,10,2,223,9,0,1467.73303222656
"H15109-04-01","P15109-004",3,1,"P15109-001",,,2,,2,99,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-01","P15109-006",4,1,"P15109-001",,,1,"P15109-002",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-01","P15109-007",5,1,"P15109-001",,,1,"P15109-002",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-01","P15109-008",6,1,"P15109-001",,,1,"P15109-002",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-01","P15109-009",7,2,,5,1,2,,3,19,18,2,1,2,2,223,,,0,2,223,96,0,1467.73303222656
"H15109-04-02","P15109-005",1,2,,13,19,1,"P15109-011",,,18,2,1,2,2,223,2,223,2,2,223,2,0,1467.73303222656
"H15109-04-02","P15109-010",2,3,,,,3,,,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-02","P15109-011",3,2,,1,19,2,,1,19,18,2,1,2,2,223,2,223,10,2,223,9,0,1467.73303222656
"H15109-04-02","P15109-012",4,1,"P15109-010",,,1,"P15109-011",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15109-04-02","P15109-013",5,1,"P15109-010",,,1,"P15109-011",,,18,2,1,2,2,223,,,100,,,,,1467.73303222656
"H15110-04-01","P15110-001",1,3,,,,2,,1,19,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15110-04-01","P15110-002",2,2,,1,19,2,,1,19,18,2,1,2,2,223,2,223,23,2,223,9,0,2935.46606445313
"H15110-04-01","P15110-003",3,1,"P15110-001",,,1,"P15110-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15110-04-01","P15110-004",4,1,"P15110-001",,,1,"P15110-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15110-04-01","P15110-005",5,1,"P15110-001",,,1,"P15110-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
"H15110-04-01","P15110-006",6,1,"P15110-001",,,1,"P15110-002",,,18,2,1,2,2,223,,,100,,,,,2935.46606445313
