"HHID","ALiveStock_Small_ID","a6bq2","a6bq3a","a6bq3b","a6bq3c","a6bq3d","a6bq3e","a6bq4a","a6bq4b","a6bq4c","a6bq5a","a6bq5b","a6bq5c","a6bq6","a6bq7","a6bq8","a6bq9","a6bq10","a6bq11","a6bq12","a6bq13a","a6bq13b","a6bq14a","a6bq14b","a6bq15","a6bq15b","a6bq15c","a6bq16","hh","wgt_X"
30050401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,17,1,5,3005001,,3005001,,0,,,0,,,5,0,0,0,0,0,0,0,,0,,0,1,5,2,"H03005-04-01",1874.79821777344
30050401,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
30050401,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03005-04-01",1874.79821777344
34080401,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,18,1,1,3408001,99999999,3408001,3408003,0,,,0,,,1,0,0,0,0,0,0,0,,0,,0,1,5,1,"H03408-04-01",1874.79821777344
34080401,19,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
34080401,22,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03408-04-01",1874.79821777344
36020404,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,18,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,19,1,4,3602001,3602003,3602005,,0,,,0,,,3,2,0,0,0,0,0,0,,1,60000,0,1,5,1,"H03602-04-04",2551.70141601563
36020404,20,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,21,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03602-04-04",2551.70141601563
36020404,22,1,6,3602001,3602003,3602005,,0,,,0,,,6,2,0,0,0,0,0,0,,2,150000,0,1,5,1,"H03602-04-04",2551.70141601563
36030405,13,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,14,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,15,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,16,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
36030405,17,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03603-04-05",2551.70141601563
