"HHID","LiveStockID","a6aq2","a6aq3a","a6aq3b","a6aq3c","a6aq3d","a6aq3e","a6aq4a","a6aq4b","a6aq4c","a6aq5a","a6aq5b","a6aq5c","a6aq6","a6aq7","a6aq8","a6aq9","a6aq10","a6aq11","a6aq12","a6aq13a","a6aq13b","a6aq14a","a6aq14b","a6aq15","a6aq15b","a6aq15c","a6aq16","hh","wgt_X"
39090401,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,10,1,3,3909001,3909002,3909001,3909002,0,,,0,,,1,2,0,0,0,0,0,0,,0,,0,1,2,2,"H03909-04-01",1275.85070800781
39090401,11,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090401,12,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-01",1275.85070800781
39090402,1,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,2,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,3,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,4,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,5,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,6,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,7,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,8,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,9,2,,,,,,,,,0,,,,,,,,,,,,,,,,,,"H03909-04-02",1275.85070800781
39090402,10,1,4,3909026,3909027,3909026,3909027,0,,,0,,,5,0,0,0,0,0,0,0,,1,900000,0,1,2,1,"H03909-04-02",1275.85070800781
