"HHID","h15eq2","h15eq2_1","h15eq3","wgt_X"
"H03908-04-01",807,1,300000,2551.70141601563
"H03909-04-01",807,1,50000,1275.85070800781
"H03909-04-02",807,1,30000,1275.85070800781
"H03909-04-02",809,1,120000,1275.85070800781
"H04001-04-01",803,1,20000,2551.70141601563
"H04001-04-01",805,1,240000,2551.70141601563
"H04001-04-01",806,1,300000,2551.70141601563
"H04001-04-01",807,1,80000,2551.70141601563
"H04002-04-01",806,1,30000,2551.70141601563
"H04002-04-01",807,1,50000,2551.70141601563
"H04003-04-01",808,1,1800000,850.567138671875
"H04003-04-03",806,1,210000,850.567138671875
"H04004-04-01",806,1,30000,2551.70141601563
"H04004-04-01",808,1,1044000,2551.70141601563
"H04005-04-01",806,1,60000,2551.70141601563
"H04005-04-01",807,1,30000,2551.70141601563
"H04007-04-01",807,1,50000,2551.70141601563
"H04009-04-01",806,1,5000,2551.70141601563
"H04010-04-01",807,1,200000,1275.85070800781
"H04010-04-01",808,1,200000,1275.85070800781
"H04010-04-02",806,1,300000,1275.85070800781
"H04010-04-02",807,1,50000,1275.85070800781
"H04011-04-01",807,1,20000,1275.85070800781
"H04011-04-02",806,1,150000,1275.85070800781
"H04011-04-02",807,1,30000,1275.85070800781
"H04201-04-01",806,1,40000,2551.70141601563
"H04201-04-01",807,1,40000,2551.70141601563
"H04202-04-01",809,1,228800,2551.70141601563
"H04203-04-01",807,1,30000,2551.70141601563
"H04204-04-01",806,1,75000,2551.70141601563
"H04204-04-01",807,1,15000,2551.70141601563
"H04204-04-01",809,1,30000,2551.70141601563
"H04206-04-01",807,1,20000,2551.70141601563
"H04207-04-01",807,1,20000,2551.70141601563
"H04208-04-01",806,1,20000,1275.85070800781
"H04208-04-02",806,1,40000,1275.85070800781
"H04208-04-02",807,1,70000,1275.85070800781
"H04210-04-01",807,1,8000,2551.70141601563
"H04501-04-01",806,1,10000,2792.466796875
"H04501-04-01",807,1,45000,2792.466796875
"H04505-04-01",806,1,500000,2792.466796875
"H04505-04-01",807,1,1000000,2792.466796875
"H04508-04-03",803,1,30000,698.11669921875
"H04508-04-03",804,1,150000,698.11669921875
"H04508-04-03",807,1,36000,698.11669921875
"H04508-04-04",807,1,40000,698.11669921875
"H04602-04-01",807,1,20000,2792.466796875
"H04603-04-01",806,1,100000,2792.466796875
"H04603-04-01",807,1,150000,2792.466796875
"H04604-04-01",807,1,20000,2792.466796875
"H04606-04-01",806,1,35000,1396.2333984375
"H04606-04-01",809,1,45000,1396.2333984375
"H04606-04-02",806,1,100000,1396.2333984375
"H04608-04-01",802,1,80000,2792.466796875
"H04608-04-01",806,1,60000,2792.466796875
"H04608-04-01",807,1,20000,2792.466796875
"H04609-04-01",807,1,20000,2792.466796875
"H04610-04-01",807,1,20000,930.822265625
"H04610-04-03",807,1,15000,930.822265625
"H04801-04-01",807,1,30000,2792.466796875
"H04802-04-01",807,1,50000,930.822265625
"H04802-04-02",803,1,15000,930.822265625
"H04802-04-02",806,1,40000,930.822265625
"H04802-04-02",807,1,100000,930.822265625
"H04802-04-03",806,1,50000,930.822265625
"H04802-04-03",807,1,20000,930.822265625
"H04803-04-02",803,1,25000,2792.466796875
"H04803-04-02",807,1,30000,2792.466796875
"H04804-04-01",806,1,100000,2792.466796875
"H04805-04-01",806,1,10000,2792.466796875
"H04805-04-01",807,1,5000,2792.466796875
"H04806-04-01",806,1,150000,2792.466796875
"H04808-04-01",806,1,15000,1396.2333984375
"H04808-04-01",807,1,70000,1396.2333984375
"H04808-04-02",808,1,245000,1396.2333984375
"H04905-04-01",806,1,60000,2792.466796875
"H04905-04-01",807,1,30000,2792.466796875
"H04907-04-01",806,1,30000,2792.466796875
"H04907-04-01",807,1,30000,2792.466796875
"H04909-04-01",806,1,80000,2792.466796875
"H04909-04-01",807,1,6000,2792.466796875
"H04910-04-01",806,1,30000,2792.466796875
"H04910-04-01",809,1,2400000,2792.466796875
"H04912-04-01",806,1,30000,2792.466796875
"H04912-04-01",807,1,15000,2792.466796875
"H04912-04-01",809,1,40000,2792.466796875
"H05002-04-01",807,1,10000,2792.46655273438
"H05003-04-01",806,1,40000,1396.23327636719
"H05003-04-01",807,1,10000,1396.23327636719
"H05004-04-01",806,1,20000,2792.46655273438
"H05004-04-01",807,1,15000,2792.46655273438
"H05005-04-01",803,1,20000,2792.46655273438
"H05005-04-01",807,1,10000,2792.46655273438
"H05006-04-01",806,1,7000,2792.46655273438
"H05007-04-01",806,1,10000,2792.46655273438
"H05007-04-01",807,1,35000,2792.46655273438
"H05008-04-01",806,1,25000,2792.46655273438
"H05008-04-01",807,1,5000,2792.46655273438
"H05009-04-01",806,1,150000,2792.46655273438
"H05009-04-01",807,1,100000,2792.46655273438
"H05010-04-01",803,1,24000,2792.46655273438
"H05010-04-01",806,1,100000,2792.46655273438
"H05010-04-01",807,1,50000,2792.46655273438
"H05102-04-01",806,1,150000,2792.466796875
"H05103-04-01",807,1,30000,2792.466796875
"H05104-04-01",806,1,350000,2792.466796875
"H05105-04-01",807,1,50000,2792.466796875
"H05106-04-01",807,1,300000,2792.466796875
"H05108-04-01",806,1,30000,2792.466796875
"H05108-04-01",807,1,50000,2792.466796875
"H05301-04-01",806,1,50000,2792.466796875
"H05302-04-01",807,1,30000,2792.466796875
"H05303-04-01",807,1,4000,2792.466796875
"H05304-04-01",806,1,50000,2792.466796875
"H05304-04-01",807,1,50000,2792.466796875
"H05305-04-01",806,1,80000,465.4111328125
"H05305-04-01",807,1,35000,465.4111328125
"H05305-04-02",806,1,200000,465.4111328125
"H05305-04-02",807,1,50000,465.4111328125
"H05305-04-02",808,1,250000,465.4111328125
