"HHID","h12q1","h12q2","wgt_X"
"H03901-04-01",2,,2551.70141601563
"H03902-04-01",2,,2551.70141601563
"H03903-04-01",1,"P03903-003",2551.70141601563
"H03906-04-01",2,,2551.70141601563
"H03907-04-01",1,"P03907-001",2551.70141601563
"H03908-04-01",1,"P03908-002",2551.70141601563
"H03909-04-01",1,"P03909-001",1275.85070800781
"H03909-04-02",2,,1275.85070800781
"H03910-04-01",2,,2551.70141601563
"H04001-04-01",1,"P04001-002",2551.70141601563
"H04002-04-01",2,,2551.70141601563
"H04003-04-01",2,,850.567138671875
"H04003-04-03",1,"P04003-011",850.567138671875
"H04004-04-01",1,"P04004-001",2551.70141601563
"H04005-04-01",2,,2551.70141601563
"H04006-04-01",1,"P04006-001",2551.70141601563
"H04007-04-01",2,,2551.70141601563
"H04009-04-01",2,,2551.70141601563
"H04010-04-01",1,"P04010-001",1275.85070800781
"H04010-04-02",2,,1275.85070800781
"H04011-04-01",2,,1275.85070800781
"H04011-04-02",2,,1275.85070800781
"H04201-04-01",2,,2551.70141601563
"H04202-04-01",1,"P04202-001",2551.70141601563
"H04203-04-01",1,"P04203-001",2551.70141601563
"H04204-04-01",1,"P04204-021",2551.70141601563
"H04205-04-01",1,"P04205-002",2551.70141601563
"H04206-04-01",1,"P04206-001",2551.70141601563
"H04207-04-01",1,"P04207-001",2551.70141601563
"H04208-04-01",2,,1275.85070800781
"H04208-04-02",1,"P04208-002",1275.85070800781
"H04209-04-01",1,"P04209-001",2551.70141601563
"H04210-04-01",1,"P04210-001",2551.70141601563
"H04501-04-01",1,"P04501-001",2792.466796875
"H04505-04-01",1,"P04505-001",2792.466796875
"H04508-04-02",1,"P04508-011",698.11669921875
"H04508-04-03",1,"P04508-014",698.11669921875
"H04508-04-04",2,,698.11669921875
"H04509-04-01",1,"P04509-002",2792.466796875
"H04602-04-01",2,,2792.466796875
"H04603-04-01",2,,2792.466796875
"H04604-04-01",2,,2792.466796875
"H04606-04-01",1,"P04606-010",1396.2333984375
"H04606-04-02",2,,1396.2333984375
"H04607-04-01",2,,2792.466796875
"H04608-04-01",1,"P04608-001",2792.466796875
"H04609-04-01",2,,2792.466796875
"H04610-04-01",1,"P04610-002",930.822265625
"H04610-04-02",1,"P04610-005",930.822265625
"H04610-04-03",2,,930.822265625
"H04801-04-01",1,"P04801-001",2792.466796875
"H04802-04-01",2,,930.822265625
"H04802-04-02",2,,930.822265625
"H04802-04-03",2,,930.822265625
"H04803-04-02",1,"P04803-003",2792.466796875
"H04804-04-01",2,,2792.466796875
"H04805-04-01",1,"P04805-008",2792.466796875
"H04806-04-01",1,"P04806-002",2792.466796875
"H04807-04-01",2,,2792.466796875
"H04808-04-01",1,"P04808-001",1396.2333984375
"H04808-04-02",1,"P04808-003",1396.2333984375
"H04810-04-01",2,,2792.466796875
"H04903-04-01",2,,2792.466796875
"H04905-04-01",2,,2792.466796875
"H04907-04-01",1,"P04907-002",2792.466796875
"H04908-04-01",2,,2792.466796875
"H04909-04-01",2,,2792.466796875
"H04910-04-01",1,"P04910-002",2792.466796875
"H04912-04-01",1,"P04912-001",2792.466796875
"H04913-04-01",1,"P04913-001",465.4111328125
"H04913-04-02",2,,465.4111328125
"H04913-04-03",2,,465.4111328125
"H04913-04-04",2,,465.4111328125
"H04913-04-05",2,,465.4111328125
"H04913-04-06",1,"P04913-014",465.4111328125
"H05002-04-01",2,,2792.46655273438
"H05003-04-01",2,,1396.23327636719
"H05003-04-02",2,,1396.23327636719
"H05004-04-01",2,,2792.46655273438
"H05005-04-01",2,,2792.46655273438
"H05006-04-01",2,,2792.46655273438
"H05007-04-01",2,,2792.46655273438
"H05008-04-01",2,,2792.46655273438
"H05009-04-01",2,,2792.46655273438
"H05010-04-01",2,,2792.46655273438
"H05101-04-01",2,,2792.466796875
"H05102-04-01",2,,2792.466796875
"H05103-04-01",1,"P05103-002",2792.466796875
"H05104-04-01",2,,2792.466796875
"H05105-04-01",1,"P05105-001",2792.466796875
"H05106-04-01",2,,2792.466796875
"H05107-04-01",2,,2792.466796875
"H05108-04-01",1,"P05108-002",2792.466796875
"H05109-04-01",2,,2792.466796875
"H05110-04-01",1,"P05110-002",2792.466796875
"H05301-04-01",1,"P05301-001",2792.466796875
"H05302-04-01",1,"P05302-002",2792.466796875
"H05303-04-01",2,,2792.466796875
"H05304-04-01",2,,2792.466796875
"H05305-04-01",2,,465.4111328125
"H05305-04-02",1,"P05305-035",465.4111328125
"H05305-04-03",1,"P05305-003",465.4111328125
"H05305-04-05",1,"P05305-021",465.4111328125
"H05306-04-01",1,"P05306-001",1396.2333984375
"H05306-04-02",2,,1396.2333984375
"H05308-04-01",2,,2792.466796875
"H05309-04-01",2,,2792.466796875
"H05310-04-01",2,,1396.2333984375
"H05310-04-02",2,,1396.2333984375
"H05403-04-01",1,"P05403-001",2792.46655273438
"H05404-04-01",2,,2792.46655273438
"H05405-04-01",2,,2792.46655273438
"H05406-04-01",2,,2792.46655273438
"H05407-04-01",2,,1396.23327636719
"H05407-04-02",1,"P05407-010",1396.23327636719
"H05409-04-01",2,,2792.46655273438
"H05410-04-01",2,,2792.46655273438
"H05412-04-01",1,"P05412-007",930.822265625
"H05412-04-02",2,,930.822265625
"H05412-04-03",2,,930.822265625
"H05701-04-01",1,"P05701-001",2792.466796875
"H05702-04-01",1,"P05702-001",2792.466796875
"H05703-04-01",2,,2792.466796875
"H05704-04-01",2,,2792.466796875
"H05705-04-01",1,"P05705-007",2792.466796875
"H05706-04-01",1,"P05706-002",2792.466796875
"H05707-04-01",2,,2792.466796875
"H05709-04-01",2,,2792.466796875
"H05710-04-01",2,,2792.466796875
"H05711-04-01",1,"P05711-001",1396.2333984375
"H05711-04-02",1,"P05711-011",1396.2333984375
"H05901-04-01",1,"P05901-002",2551.701171875
"H05903-04-01",2,,2551.701171875
"H05904-04-01",1,"P05904-002",2551.701171875
"H05906-04-01",1,"P05906-001",1275.8505859375
"H05906-04-02",2,,1275.8505859375
"H05910-04-01",2,,2551.701171875
"H06001-04-01",1,"P06001-002",2551.70141601563
"H06005-04-01",1,"P06005-002",2551.70141601563
"H06006-04-01",1,"P06006-002",2551.70141601563
"H06007-04-01",1,"P06007-001",2551.70141601563
"H06008-04-01",2,,2551.70141601563
"H06009-04-01",2,,2551.70141601563
"H06010-04-01",2,,2551.70141601563
"H06101-04-01",1,"P06101-002",2551.70141601563
"H06102-04-01",1,"P06102-002",2551.70141601563
"H06103-04-01",2,,2551.70141601563
"H06104-04-01",2,,850.567138671875
"H06104-04-02",2,,850.567138671875
"H06104-04-03",1,"P06104-018",850.567138671875
"H06105-04-01",1,"P06105-002",1275.85070800781
"H06105-04-02",2,,1275.85070800781
"H06107-04-01",1,"P06107-002",2551.70141601563
"H06108-04-01",1,"P06108-001",2551.70141601563
"H06109-04-01",1,"P06109-001",2551.70141601563
"H06110-04-01",1,"P06110-001",2551.70141601563
"H06201-04-01",2,,2551.701171875
"H06203-04-01",1,"P06203-001",2551.701171875
"H06207-04-01",2,,2551.701171875
"H06208-04-01",2,,2551.701171875
"H06209-04-01",2,,2551.701171875
"H06301-04-01",2,,2551.70141601563
"H06302-04-01",1,"P06302-002",2551.70141601563
"H06303-04-01",2,,850.567138671875
"H06303-04-02",2,,850.567138671875
"H06303-04-03",2,,850.567138671875
"H06305-04-01",2,,2551.70141601563
"H06306-04-01",1,"P06306-004",2551.70141601563
"H06307-04-01",1,"P06307-001",2551.70141601563
"H06309-04-01",1,"P06309-001",2551.70141601563
"H06310-04-01",1,"P06310-003",850.567138671875
"H06310-04-02",1,"P06310-016",850.567138671875
"H06310-04-03",2,,850.567138671875
"H06401-04-01",2,,2551.70141601563
"H06402-04-01",2,,2551.70141601563
"H06403-04-01",2,,2551.70141601563
"H06404-04-01",2,,2551.70141601563
"H06405-04-01",2,,2551.70141601563
"H06406-04-01",1,"P06406-001",2551.70141601563
"H06408-04-01",1,"P06408-001",2551.70141601563
"H06409-04-01",2,,2551.70141601563
"H06410-04-01",2,,2551.70141601563
"H06411-04-01",1,"P06411-001",2551.70141601563
"H06601-04-01",1,"P06601-001",2551.70141601563
"H06602-04-01",2,,2551.70141601563
"H06603-04-01",1,"P06603-001",2551.70141601563
"H06604-04-01",2,,2551.70141601563
"H06605-04-01",2,,2551.70141601563
"H06606-04-01",2,,2551.70141601563
"H06607-04-01",2,,2551.70141601563
"H06608-04-01",2,,2551.70141601563
"H06609-04-01",1,"P06609-002",2551.70141601563
"H06701-04-01",1,"P06701-001",2551.701171875
"H06702-04-01",1,"P06702-001",2551.701171875
"H06703-04-01",1,"P06703-001",2551.701171875
"H06704-04-01",1,"P06704-001",2551.701171875
"H06706-04-01",2,,2551.701171875
"H06707-04-01",2,,1275.8505859375
"H06707-04-02",1,"P06707-021",1275.8505859375
"H06708-04-01",2,,2551.701171875
"H06709-04-01",2,,2551.701171875
"H06710-04-01",1,"P06710-001",2551.701171875
"H06801-04-01",2,,2551.701171875
"H06802-04-01",1,"P06802-001",2551.701171875
"H06803-04-01",1,"P06803-003",2551.701171875
"H06805-04-01",2,,2551.701171875
"H06806-04-01",1,"P06806-001",2551.701171875
"H06807-04-01",2,,2551.701171875
"H06810-04-01",2,,1275.8505859375
"H06810-04-02",1,"P06810-010",1275.8505859375
"H06901-04-01",1,,2551.70141601563
"H06902-04-01",1,"P06902-002",2551.70141601563
"H06903-04-01",1,"P06903-002",2551.70141601563
"H06906-04-01",2,,2551.70141601563
"H06908-04-01",2,,1275.85070800781
"H06909-04-01",1,"P06909-001",2551.70141601563
"H06911-04-01",2,,1275.85070800781
"H06911-04-03",2,,1275.85070800781
"H06914-04-01",2,,2551.70141601563
"H07002-04-02",1,"P07002-002",2551.70141601563
"H07003-04-01",2,,2551.70141601563
"H07007-04-01",2,,1275.85070800781
"H07007-04-02",1,"P07007-004",1275.85070800781
"H07008-04-01",1,"P07008-001",2551.70141601563
"H07009-04-01",1,"P07009-001",2551.70141601563
"H07010-04-01",1,"P07010-001",2551.70141601563
"H07201-04-01",1,"P07201-002",2551.70141601563
"H07202-04-01",1,"P07202-002",1275.85070800781
"H07202-04-02",1,"P07202-008",1275.85070800781
"H07203-04-01",2,,2551.70141601563
"H07204-04-01",2,,2551.70141601563
"H07205-04-01",2,,2551.70141601563
"H07206-04-01",1,"P07206-001",2551.70141601563
"H07207-04-01",2,,1275.85070800781
"H07208-04-01",1,"P07208-003",1275.85070800781
"H07208-04-02",2,,1275.85070800781
"H07209-04-01",2,,2551.70141601563
"H07210-04-01",2,,2551.70141601563
"H07302-04-01",1,"P07302-002",2551.701171875
"H07303-04-01",1,"P07303-002",2551.701171875
"H07304-04-01",2,,1275.8505859375
"H07304-04-02",2,,1275.8505859375
"H07305-04-01",2,,2551.701171875
"H07306-04-01",1,"P07306-001",2551.701171875
"H07307-04-01",1,"P07307-001",2551.701171875
"H07309-04-01",1,"P07309-002",2551.701171875
"H07310-04-01",1,"P07310-004",2551.701171875
"H07311-04-01",1,"P07311-001",2551.701171875
"H07403-04-01",2,,2551.70141601563
"H07404-04-01",2,,2551.70141601563
"H07406-04-01",1,"P07406-004",2551.70141601563
"H07408-04-01",1,"P07408-002",850.567138671875
"H07408-04-02",1,"P07408-011",850.567138671875
"H07408-04-03",2,,850.567138671875
"H07410-04-01",1,"P07410-002",2551.70141601563
"H07412-04-01",1,"P07412-001",2551.70141601563
"H07413-04-01",2,,2551.70141601563
"H07501-04-01",2,,2551.70141601563
"H07502-04-01",1,"P07502-001",425.283569335938
"H07502-04-02",2,,425.283569335938
"H07502-04-03",1,"P07502-020",425.283569335938
"H07502-04-04",2,,425.283569335938
"H07502-04-06",1,"P07502-024",425.283569335938
"H07502-04-07",1,"P07502-004",425.283569335938
"H07504-04-01",2,,2551.70141601563
"H07506-04-01",2,,2551.70141601563
"H07507-04-01",1,"P07507-003",2551.70141601563
"H07508-04-01",2,,2551.70141601563
"H07509-04-01",2,,637.925354003906
"H07509-04-02",2,,637.925354003906
"H07509-04-03",2,,637.925354003906
"H07509-04-04",2,,637.925354003906
"H07510-04-01",1,"P07510-001",2551.70141601563
"H08101-04-01",1,"P08101-001",2792.466796875
"H08102-04-01",1,"P08102-001",465.4111328125
"H08102-04-02",1,"P08102-005",465.4111328125
"H08102-04-03",1,"P08102-020",465.4111328125
"H08102-04-04",1,"P08102-040",465.4111328125
"H08102-04-06",2,,465.4111328125
"H08103-04-01",1,"P08103-002",2792.466796875
"H08107-04-01",2,,2792.466796875
"H08110-04-01",1,"P08110-001",2792.466796875
"H08114-04-01",1,"P08114-001",2792.466796875
"H08301-04-01",2,,2792.466796875
"H08302-04-01",1,"P08302-001",698.11669921875
"H08302-04-02",2,,698.11669921875
"H08302-04-03",2,,698.11669921875
"H08302-04-04",1,"P08302-018",698.11669921875
"H08303-04-01",1,"P08303-003",2792.466796875
"H08304-04-01",1,"P08304-002",2792.466796875
"H08305-04-01",2,,2792.466796875
"H08306-04-01",1,"P08306-001",2792.466796875
"H08307-04-02",2,,1396.2333984375
"H08307-04-03",1,"P08307-002",1396.2333984375
"H08308-04-01",1,"P08308-001",1396.2333984375
"H08308-04-03",1,"P08308-023",1396.2333984375
"H08309-04-01",2,,2792.466796875
"H08310-04-01",2,,2792.466796875
"H08402-04-01",2,,2792.466796875
"H08404-04-01",1,"P08404-001",2792.466796875
"H08405-04-01",1,"P08405-002",2792.466796875
"H08406-04-01",1,"P08406-001",698.11669921875
"H08406-04-02",2,,698.11669921875
"H08406-04-03",2,,698.11669921875
"H08406-04-04",2,,698.11669921875
"H08408-04-01",1,"P08408-001",2792.466796875
"H08409-04-01",2,,1396.2333984375
"H08409-04-02",2,,1396.2333984375
"H08410-04-01",2,,2792.466796875
"H08411-04-01",1,"P08411-001",2792.466796875
"H08501-04-01",1,"P08501-001",2792.466796875
"H08502-04-01",2,,2792.466796875
"H08503-04-01",1,"P08503-001",930.822265625
"H08503-04-02",1,"P08503-007",930.822265625
"H08503-04-03",2,,930.822265625
"H08504-04-01",1,"P08504-001",2792.466796875
"H08505-04-01",2,,2792.466796875
"H08506-04-01",2,,2792.466796875
"H08507-04-01",2,,2792.466796875
"H08508-04-01",2,,2792.466796875
"H08509-04-01",2,,2792.466796875
"H08510-04-01",2,,1396.2333984375
"H08510-04-02",1,"P08510-006",1396.2333984375
"H08602-04-01",1,"P08602-001",930.822265625
"H08602-04-02",1,"P08602-003",930.822265625
"H08602-04-03",2,,930.822265625
"H08603-04-01",2,,1396.23327636719
"H08605-04-01",1,"P08605-001",2792.46655273438
"H08609-04-01",1,"P08609-002",2792.46655273438
"H08611-04-01",1,"P08611-001",2792.46655273438
"H08701-04-01",2,,2792.466796875
"H08703-04-01",2,,2792.466796875
"H08704-04-01",2,,2792.466796875
"H08706-04-01",2,,2792.466796875
"H08707-04-01",2,,2792.466796875
"H08708-04-01",2,,1396.2333984375
"H08708-04-02",1,"P08708-011",1396.2333984375
"H08709-04-01",2,,2792.466796875
"H08710-04-01",2,,2792.466796875
"H08801-04-01",2,,2792.466796875
"H08802-04-01",1,"P08802-001",1396.2333984375
"H08802-04-02",2,,1396.2333984375
"H08803-04-01",2,,2792.466796875
"H08804-04-01",2,,2792.466796875
"H08805-04-01",2,,2792.466796875
"H08806-04-01",1,"P08806-001",2792.466796875
"H08810-04-01",2,,2792.466796875
"H08811-04-01",1,"P08811-002",2792.466796875
"H09001-04-01",1,"P09001-002",1275.85070800781
"H09001-04-02",1,"P09001-012",1275.85070800781
"H09003-04-01",2,,2551.70141601563
"H09004-04-01",2,,1275.85070800781
"H09004-04-02",1,"P09004-003",1275.85070800781
"H09005-04-01",2,,2551.70141601563
"H09007-04-01",2,,2551.70141601563
"H09008-04-01",1,"P09008-005",1275.85070800781
"H09008-04-02",2,,1275.85070800781
"H09009-04-01",2,,1275.85070800781
"H09009-04-02",1,"P09009-002",1275.85070800781
"H09010-04-01",2,,2551.70141601563
"H09011-04-01",2,,2551.70141601563
"H09101-04-01",2,,2551.701171875
"H09102-04-01",1,"P09102-001",2551.701171875
"H09103-04-01",2,,2551.701171875
"H09105-04-01",2,,1275.8505859375
"H09105-04-02",2,,1275.8505859375
"H09106-04-01",2,,1275.8505859375
"H09106-04-02",2,,1275.8505859375
"H09107-04-01",2,,2551.701171875
"H09108-04-01",2,,2551.701171875
"H09109-04-01",2,,2551.701171875
"H09110-04-01",2,,2551.701171875
"H09111-04-01",1,"P09111-001",2551.701171875
"H09203-04-01",1,"P09203-002",2551.70141601563
"H09206-04-01",2,,2551.70141601563
"H09208-04-01",2,,2551.70141601563
"H09209-04-01",2,,2551.70141601563
"H09210-04-01",2,,2551.70141601563
"H09403-04-01",1,"P09403-001",1396.2333984375
"H09403-04-02",2,,1396.2333984375
"H09410-04-01",1,"P09410-001",2792.466796875
"H09501-04-01",2,,2792.466796875
"H09504-04-01",2,,2792.466796875
"H09505-04-01",1,"P09505-002",2792.466796875
"H09509-04-01",2,,2792.466796875
"H09510-04-01",2,,2792.466796875
"H09513-04-01",1,"P09513-001",2792.466796875
"H09514-04-01",1,"P09514-007",2792.466796875
"H09604-04-01",1,"P09604-001",2792.466796875
"H09605-04-01",1,"P09605-002",2792.466796875
"H09608-04-01",1,"P09608-001",2792.466796875
"H09609-04-01",1,"P09609-002",2792.466796875
"H09610-04-01",2,,2792.466796875
"H09613-04-01",1,"P09613-001",2792.466796875
"H09701-04-01",1,"P09701-001",2792.466796875
"H09705-04-01",1,"P09705-002",2792.466796875
"H09706-04-01",1,"P09706-001",2792.466796875
"H09710-04-01",2,,2792.466796875
"H09901-04-01",2,,2792.466796875
"H09902-04-01",2,,2792.466796875
"H09903-04-01",1,"P09903-001",2792.466796875
"H09905-04-01",1,"P09905-002",2792.466796875
"H09906-04-01",2,,2792.466796875
"H09908-04-01",1,"P09908-002",2792.466796875
"H09909-04-01",1,"P09909-001",2792.466796875
"H09910-04-01",1,"P09910-001",2792.466796875
"H10002-04-01",1,"P10002-002",2792.466796875
"H10003-04-01",2,,2792.466796875
"H10004-04-01",1,"P10004-001",2792.466796875
"H10007-04-01",2,,1396.2333984375
"H10007-04-02",1,"P10007-002",1396.2333984375
"H10009-04-01",1,"P10009-007",1396.2333984375
"H10009-04-02",1,"P10009-008",1396.2333984375
"H10010-04-01",1,"P10010-002",2792.466796875
"H10011-04-01",1,"P10011-001",2792.466796875
"H10201-04-01",1,"P10201-001",1396.23327636719
"H10201-04-02",2,,1396.23327636719
"H10205-04-01",2,,2792.46655273438
"H10207-04-01",1,"P10207-002",2792.46655273438
"H10209-04-01",1,"P10209-001",2792.46655273438
"H10210-04-01",2,,2792.46655273438
"H10303-04-01",2,,2792.466796875
"H10304-04-01",1,"P10304-002",2792.466796875
"H10306-04-01",1,"P10306-002",2792.466796875
"H10309-04-01",1,"P10309-001",2792.466796875
"H10311-04-01",1,"P10311-002",2792.466796875
"H10312-04-01",1,"P10312-001",2792.466796875
"H10701-04-01",2,,757.547973632813
"H10701-04-02",2,,757.547973632813
"H10701-04-03",1,"P10701-003",757.547973632813
"H10702-04-01",2,,2272.64404296875
"H10703-04-01",1,"P10703-001",2272.64404296875
"H10704-04-01",1,"P10704-001",1136.32202148438
"H10704-04-02",2,,1136.32202148438
"H10706-04-01",2,,1136.32202148438
"H10706-04-02",2,,1136.32202148438
"H10707-04-01",2,,2272.64404296875
"H10708-04-01",2,,2272.64404296875
"H10709-04-01",1,"P10709-002",2272.64404296875
"H10710-04-01",1,"P10710-001",454.52880859375
"H10710-04-02",1,"P10710-032",454.52880859375
"H10710-04-03",2,,454.52880859375
"H10710-04-04",2,,454.52880859375
"H10710-04-05",1,"P10710-018",454.52880859375
"H10801-04-01",1,"P10801-001",2272.64404296875
"H10802-04-01",2,,2272.64404296875
"H10803-04-01",1,"P10803-001",757.547973632813
"H10803-04-02",1,"P10803-022",757.547973632813
"H10803-04-03",2,,757.547973632813
"H10804-04-01",2,,2272.64404296875
"H10805-04-01",2,,2272.64404296875
"H10806-04-01",2,,2272.64404296875
"H10807-04-01",1,"P10807-002",1136.32202148438
"H10807-04-02",1,"P10807-004",1136.32202148438
"H10809-04-01",1,"P10809-002",2272.64404296875
"H10810-04-01",2,,2272.64404296875
"H10902-04-01",2,,2272.64404296875
"H10904-04-01",2,,2272.64404296875
"H10905-04-01",2,,2272.64404296875
"H10906-04-01",2,,2272.64404296875
"H10908-04-01",2,,2272.64404296875
"H10909-04-01",2,,568.161010742188
"H10909-04-02",2,,568.161010742188
"H10909-04-03",1,"P10909-059",568.161010742188
"H10909-04-04",1,"P10909-001",568.161010742188
"H10910-04-01",2,,2272.64404296875
"H11001-04-01",2,,2272.64404296875
"H11002-04-01",1,"P11002-001",2272.64404296875
"H11003-04-01",1,"P11003-001",2272.64404296875
"H11006-04-01",2,,2272.64404296875
"H11007-04-01",2,,2272.64404296875
"H11009-04-01",2,,2272.64404296875
"H11010-04-01",2,,2272.64404296875
"H11011-04-01",1,"P11011-002",2272.64404296875
"H11403-04-01",1,"P11403-007",2272.64404296875
"H11405-04-01",1,"P11405-002",2272.64404296875
"H11406-04-01",2,,2272.64404296875
"H11409-04-01",1,"P11409-009",2272.64404296875
"H11410-04-01",1,"P11410-001",2272.64404296875
"H11414-04-01",1,"P11414-002",2272.64404296875
"H11501-04-01",1,"P11501-002",2272.64404296875
"H11502-04-01",2,,1136.32202148438
"H11502-04-02",1,"P11502-002",1136.32202148438
"H11504-04-01",1,"P11504-001",2272.64404296875
"H11505-04-01",1,"P11505-001",2272.64404296875
"H11506-04-01",1,"P11506-001",757.547973632813
"H11506-04-02",1,"P11506-019",757.547973632813
"H11506-04-03",1,"P11506-009",757.547973632813
"H11507-04-01",1,"P11507-001",2272.64404296875
"H11509-04-01",1,"P11509-002",2272.64404296875
"H11510-04-01",2,,2272.64404296875
"H11801-04-01",1,"P11801-001",2272.64404296875
"H11804-04-01",2,,2272.64404296875
"H11805-04-01",2,,2272.64404296875
"H11806-04-01",2,,2272.64404296875
"H11807-04-01",1,"P11807-001",2272.64404296875
"H11808-04-01",2,,1136.32202148438
"H11808-04-02",2,,1136.32202148438
"H11809-04-01",1,"P11809-011",2272.64404296875
