"District_Name","SubCounty","Parish","Villagecode","Community_groups_ID","C6BQ1","C6BQ1_Other","C6BQ2","C6BQ3","C6BQ4","C6BQ5","End_commgroup","Survey_Visit","ComOrg_Response","Reason_Comm_Org_Not_Done"
102,102102,10210205,1021020504,309,2,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,310,1,,1,"1998",2,0,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,311,2,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,312,1,"elder ass.",1,"2012",9,15,,2,3,"health centre demolished for renovation"
102,102102,10210205,1021020504,313,2,,,,,,,2,3,"health centre demolished for renovation"
102,102102,10210206,1021020601,301,2,,,,,,,2,2,
102,102102,10210206,1021020601,302,2,,,,,,,2,2,
102,102102,10210206,1021020601,303,2,,,,,,,2,2,
102,102102,10210206,1021020601,304,2,,,,,,,2,2,
102,102102,10210206,1021020601,305,2,,,,,,,2,2,
102,102102,10210206,1021020601,306,1,,5,"2009",1,30,,2,2,
102,102102,10210206,1021020601,307,2,,,,,,,2,2,
102,102102,10210206,1021020601,308,2,,,,,,,2,2,
102,102102,10210206,1021020601,309,2,,,,,,,2,2,
102,102102,10210206,1021020601,310,2,,,,,,,2,2,
102,102102,10210206,1021020601,311,2,,,,,,,2,2,
102,102102,10210206,1021020601,312,2,,,,,,,2,2,
102,102102,10210206,1021020601,313,2,,,,,,,2,2,
102,102102,10210208,1021020805,301,2,,,,,,,2,1,
102,102102,10210208,1021020805,302,2,,,,,,,2,1,
102,102102,10210208,1021020805,303,2,,,,,,,2,1,
102,102102,10210208,1021020805,304,1,,1,"2009",1,60,,2,1,
102,102102,10210208,1021020805,305,2,,,,,,,2,1,
102,102102,10210208,1021020805,306,2,,,,,,,2,1,
102,102102,10210208,1021020805,307,2,,,,,,,2,1,
102,102102,10210208,1021020805,308,2,,,,,,,2,1,
102,102102,10210208,1021020805,309,2,,,,,,,2,1,
102,102102,10210208,1021020805,310,2,,,,,,,2,1,
102,102102,10210208,1021020805,311,2,,,,,,,2,1,
102,102102,10210208,1021020805,312,2,,,,,,,2,1,
102,102102,10210208,1021020805,313,2,,,,,,,2,1,
102,102103,10210301,1021030109,301,2,,,,,,,2,1,
102,102103,10210301,1021030109,302,2,,,,,,,2,1,
102,102103,10210301,1021030109,303,2,,,,,,,2,1,
102,102103,10210301,1021030109,304,1,,3,"2009",1,30,,2,1,
102,102103,10210301,1021030109,305,2,,,,,,,2,1,
102,102103,10210301,1021030109,306,1,,3,"1990",1,20,,2,1,
102,102103,10210301,1021030109,307,1,,4,"2010",2,15,,2,1,
102,102103,10210301,1021030109,308,2,,,,,,,2,1,
102,102103,10210301,1021030109,309,2,,,,,,,2,1,
102,102103,10210301,1021030109,310,2,,,,,,,2,1,
102,102103,10210301,1021030109,311,2,,,,,,,2,1,
102,102103,10210301,1021030109,312,2,,,,,,,2,1,
102,102103,10210301,1021030109,313,2,,,,,,,2,1,
102,102103,10210302,1021030203,301,2,,,,,,,2,2,
102,102103,10210302,1021030203,302,2,,,,,,,2,2,
102,102103,10210302,1021030203,303,2,,,,,,,2,2,
102,102103,10210302,1021030203,304,2,,,,,,,2,2,
102,102103,10210302,1021030203,305,2,,,,,,,2,2,
102,102103,10210302,1021030203,306,2,,,,,,,2,2,
102,102103,10210302,1021030203,307,2,,,,,,,2,2,
102,102103,10210302,1021030203,308,2,,,,,,,2,2,
102,102103,10210302,1021030203,309,2,,,,,,,2,2,
102,102103,10210302,1021030203,310,2,,,,,,,2,2,
102,102103,10210302,1021030203,311,2,,,,,,,2,2,
102,102103,10210302,1021030203,312,2,,,,,,,2,2,
102,102103,10210302,1021030203,313,2,,,,,,,2,2,
102,102103,10210304,1021030412,301,2,,,,,,,2,1,
102,102103,10210304,1021030412,302,2,,,,,,,2,1,
102,102103,10210304,1021030412,303,2,,,,,,,2,1,
102,102103,10210304,1021030412,304,2,,,,,,,2,1,
102,102103,10210304,1021030412,305,2,,,,,,,2,1,
102,102103,10210304,1021030412,306,2,,,,,,,2,1,
102,102103,10210304,1021030412,307,2,,,,,,,2,1,
102,102103,10210304,1021030412,308,2,,,,,,,2,1,
102,102103,10210304,1021030412,309,2,,,,,,,2,1,
102,102103,10210304,1021030412,310,2,,,,,,,2,1,
102,102103,10210304,1021030412,311,2,,,,,,,2,1,
102,102103,10210304,1021030412,312,2,,,,,,,2,1,
102,102103,10210304,1021030412,313,2,,,,,,,2,1,
102,102103,10210305,1021030504,301,2,,,,,,,1,1,
102,102103,10210305,1021030504,302,2,,,,,,,1,1,
102,102103,10210305,1021030504,303,2,,,,,,,1,1,
102,102103,10210305,1021030504,304,2,,,,,,,1,1,
102,102103,10210305,1021030504,305,2,,,,,,,1,1,
102,102103,10210305,1021030504,306,1,,1,"2010",2,40,,1,1,
102,102103,10210305,1021030504,307,1,,6,"2010",2,10,,1,1,
102,102103,10210305,1021030504,308,1,,6,"2005",1,20,,1,1,
102,102103,10210305,1021030504,309,2,,,,,,,1,1,
102,102103,10210305,1021030504,310,2,,,,,,,1,1,
102,102103,10210305,1021030504,311,2,,,,,,,1,1,
102,102103,10210305,1021030504,312,2,,,,,,,1,1,
102,102103,10210305,1021030504,313,2,,,,,,,1,1,
102,102103,10210305,1021030509,301,2,,,,,,,2,,
102,102103,10210305,1021030509,302,2,,,,,,,2,,
102,102103,10210305,1021030509,303,2,,,,,,,2,,
102,102103,10210305,1021030509,304,2,,,,,,,2,,
102,102103,10210305,1021030509,305,2,,,,,,,2,,
102,102103,10210305,1021030509,306,1,,4,"2010",1,20,,2,,
102,102103,10210305,1021030509,307,1,,,,,,,2,,
102,102103,10210305,1021030509,308,2,,,,,,,2,,
102,102103,10210305,1021030509,309,1,,,,,,,2,,
102,102103,10210305,1021030509,310,2,,,,,,,2,,
102,102103,10210305,1021030509,311,1,,,,,,,2,,
102,102103,10210305,1021030509,312,1,"ELDERS GROUP",1,,2,12,,2,,
102,102103,10210305,1021030509,313,2,,,,,,,2,,
102,102103,10210306,1021030606,301,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,302,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,303,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,304,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,305,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,306,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,307,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,308,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,309,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,310,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,311,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,312,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210306,1021030606,313,2,,,,,,,2,3,"The community uses the Hospital-Rubaga Hospital"
102,102103,10210308,1021030803,301,2,,,,,,,2,,
102,102103,10210308,1021030803,302,2,,,,,,,2,,
102,102103,10210308,1021030803,303,2,,,,,,,2,,
102,102103,10210308,1021030803,304,2,,,,,,,2,,
102,102103,10210308,1021030803,305,2,,,,,,,2,,
102,102103,10210308,1021030803,306,2,,,,,,,2,,
102,102103,10210308,1021030803,307,2,,,,,,,2,,
102,102103,10210308,1021030803,308,2,,,,,,,2,,
102,102103,10210308,1021030803,309,2,,,,,,,2,,
