"HHID","PID","T6FQ02a","T6FQ02b","wgt_X"
"H10805-04-01","P10805-007",2,,2272.64404296875
"H10805-04-01","P10805-001",2,,2272.64404296875
"H10805-04-01","P10805-003",1,14,2272.64404296875
"H10805-04-01","P10805-002",2,,2272.64404296875
"H10805-04-01","P10805-006",2,,2272.64404296875
"H10805-04-01","P10805-004",2,,2272.64404296875
"H10805-04-01","P10805-005",1,14,2272.64404296875
"H10806-04-01","P10806-002",2,,2272.64404296875
"H10806-04-01","P10806-001",2,,2272.64404296875
"H10806-04-01","P10806-005",2,,2272.64404296875
"H10806-04-01","P10806-004",2,,2272.64404296875
"H10806-04-01","P10806-008",2,,2272.64404296875
"H10806-04-01","P10806-003",2,,2272.64404296875
"H10806-04-01","P10806-006",2,,2272.64404296875
"H10806-04-01","P10806-007",2,,2272.64404296875
"H10807-04-01","P10807-009",2,,1136.32202148438
"H10807-04-01","P10807-005",2,,1136.32202148438
"H10807-04-01","P10807-011",2,,1136.32202148438
"H10807-04-01","P10807-001",1,2,1136.32202148438
"H10807-04-01","P10807-015",1,14,1136.32202148438
"H10807-04-01","P10807-002",2,,1136.32202148438
"H10807-04-01","P10807-014",1,14,1136.32202148438
"H10807-04-01","P10807-012",2,,1136.32202148438
"H10807-04-01","P10807-006",2,,1136.32202148438
"H10807-04-01","P10807-003",1,14,1136.32202148438
"H10807-04-01","P10807-010",2,,1136.32202148438
"H10807-04-01","P10807-007",1,14,1136.32202148438
"H10807-04-01","P10807-013",1,14,1136.32202148438
"H10807-04-01","P10807-008",2,,1136.32202148438
"H10807-04-02","P10807-004",2,,1136.32202148438
"H10807-04-02","P10807-017",2,,1136.32202148438
"H10807-04-02","P10807-016",2,,1136.32202148438
"H10809-04-01","P10809-004",2,,2272.64404296875
"H10809-04-01","P10809-002",2,,2272.64404296875
"H10810-04-01","P10810-002",2,,2272.64404296875
"H10810-04-01","P10810-004",2,,2272.64404296875
"H10810-04-01","P10810-003",2,,2272.64404296875
"H10810-04-01","P10810-005",2,,2272.64404296875
"H10810-04-01","P10810-001",2,,2272.64404296875
"H10902-04-01","P10902-001",2,,2272.64404296875
"H10904-04-01","P10904-006",2,,2272.64404296875
"H10904-04-01","P10904-003",2,,2272.64404296875
"H10904-04-01","P10904-005",2,,2272.64404296875
"H10904-04-01","P10904-001",2,,2272.64404296875
"H10904-04-01","P10904-002",2,,2272.64404296875
"H10904-04-01","P10904-004",2,,2272.64404296875
"H10905-04-01","P10905-007",2,,2272.64404296875
"H10905-04-01","P10905-002",2,,2272.64404296875
"H10905-04-01","P10905-004",2,,2272.64404296875
"H10905-04-01","P10905-006",2,,2272.64404296875
"H10905-04-01","P10905-003",2,,2272.64404296875
"H10905-04-01","P10905-001",2,,2272.64404296875
"H10905-04-01","P10905-009",2,,2272.64404296875
"H10905-04-01","P10905-010",2,,2272.64404296875
"H10905-04-01","P10905-011",1,14,2272.64404296875
"H10906-04-01","P10906-002",2,,2272.64404296875
"H10906-04-01","P10906-006",2,,2272.64404296875
"H10906-04-01","P10906-004",2,,2272.64404296875
"H10906-04-01","P10906-003",2,,2272.64404296875
"H10906-04-01","P10906-005",2,,2272.64404296875
"H10906-04-01","P10906-001",2,,2272.64404296875
"H10906-04-01","P10906-007",2,,2272.64404296875
"H10908-04-01","P10908-001",1,6,2272.64404296875
"H10908-04-01","P10908-002",2,,2272.64404296875
"H10908-04-01","P10908-004",2,,2272.64404296875
"H10908-04-01","P10908-003",2,,2272.64404296875
"H10908-04-01","P10908-006",2,,2272.64404296875
"H10908-04-01","P10908-005",2,,2272.64404296875
"H10908-04-01","P10908-007",2,,2272.64404296875
"H10909-04-01","P10909-015",2,,568.161010742188
"H10909-04-01","P10909-012",2,,568.161010742188
"H10909-04-01","P10909-018",2,,568.161010742188
"H10909-04-01","P10909-014",2,,568.161010742188
"H10909-04-01","P10909-054",1,14,568.161010742188
"H10909-04-01","P10909-020",2,,568.161010742188
"H10909-04-01","P10909-013",1,14,568.161010742188
"H10909-04-01","P10909-010",2,,568.161010742188
"H10909-04-01","P10909-017",2,,568.161010742188
"H10909-04-01","P10909-053",2,,568.161010742188
"H10909-04-01","P10909-016",2,,568.161010742188
"H10909-04-01","P10909-011",2,,568.161010742188
"H10909-04-01","P10909-019",2,,568.161010742188
"H10909-04-01","P10909-031",2,,568.161010742188
"H10909-04-01","P10909-021",2,,568.161010742188
"H10909-04-01","P10909-022",2,,568.161010742188
"H10909-04-02","P10909-038",2,,568.161010742188
"H10909-04-02","P10909-032",2,,568.161010742188
"H10909-04-02","P10909-041",2,,568.161010742188
"H10909-04-02","P10909-040",2,,568.161010742188
"H10909-04-02","P10909-058",,,568.161010742188
"H10909-04-02","P10909-056",2,,568.161010742188
"H10909-04-02","P10909-036",2,,568.161010742188
"H10909-04-02","P10909-037",2,,568.161010742188
"H10909-04-02","P10909-033",2,,568.161010742188
"H10909-04-02","P10909-034",2,,568.161010742188
"H10909-04-02","P10909-039",2,,568.161010742188
"H10909-04-02","P10909-035",2,,568.161010742188
"H10909-04-02","P10909-057",2,,568.161010742188
"H10909-04-02","P10909-055",2,,568.161010742188
"H10909-04-03","P10909-013",1,8,568.161010742188
"H10909-04-03","P10909-059",1,8,568.161010742188
"H10909-04-04","P10909-009",2,,568.161010742188
"H10909-04-04","P10909-063",2,,568.161010742188
"H10909-04-04","P10909-045",1,14,568.161010742188
"H10909-04-04","P10909-061",2,,568.161010742188
"H10909-04-04","P10909-052",2,,568.161010742188
"H10909-04-04","P10909-005",2,,568.161010742188
"H10909-04-04","P10909-060",2,,568.161010742188
"H10909-04-04","P10909-008",2,,568.161010742188
"H10909-04-04","P10909-001",2,,568.161010742188
"H10909-04-04","P10909-051",2,,568.161010742188
"H10909-04-04","P10909-006",2,,568.161010742188
"H10909-04-04","P10909-062",2,,568.161010742188
"H10910-04-01","P10910-009",2,,2272.64404296875
"H10910-04-01","P10910-006",2,,2272.64404296875
"H10910-04-01","P10910-007",2,,2272.64404296875
"H10910-04-01","P10910-004",2,,2272.64404296875
"H10910-04-01","P10910-002",1,4,2272.64404296875
"H10910-04-01","P10910-001",1,6,2272.64404296875
"H11001-04-01","P11001-005",2,,2272.64404296875
"H11001-04-01","P11001-003",2,,2272.64404296875
"H11001-04-01","P11001-007",2,,2272.64404296875
"H11001-04-01","P11001-006",2,,2272.64404296875
"H11001-04-01","P11001-002",2,,2272.64404296875
"H11001-04-01","P11001-004",2,,2272.64404296875
"H11001-04-01","P11001-001",2,,2272.64404296875
"H11001-04-01","P11001-008",2,,2272.64404296875
"H11002-04-01","P11002-016",2,,2272.64404296875
"H11002-04-01","P11002-014",2,,2272.64404296875
"H11002-04-01","P11002-008",2,,2272.64404296875
"H11002-04-01","P11002-004",2,,2272.64404296875
"H11002-04-01","P11002-017",1,14,2272.64404296875
"H11002-04-01","P11002-007",1,14,2272.64404296875
"H11002-04-01","P11002-002",2,,2272.64404296875
"H11002-04-01","P11002-015",2,,2272.64404296875
"H11002-04-01","P11002-001",2,,2272.64404296875
"H11002-04-01","P11002-003",2,,2272.64404296875
"H11002-04-01","P11002-006",2,,2272.64404296875
"H11002-04-01","P11002-010",2,,2272.64404296875
"H11002-04-01","P11002-012",2,,2272.64404296875
"H11002-04-01","P11002-011",2,,2272.64404296875
"H11002-04-01","P11002-009",2,,2272.64404296875
"H11003-04-01","P11003-001",2,,2272.64404296875
"H11003-04-01","P11003-008",2,,2272.64404296875
"H11003-04-01","P11003-002",2,,2272.64404296875
"H11006-04-01","P11006-008",1,21,2272.64404296875
"H11006-04-01","P11006-007",2,,2272.64404296875
"H11006-04-01","P11006-001",2,,2272.64404296875
"H11006-04-01","P11006-006",2,,2272.64404296875
"H11006-04-01","P11006-005",2,,2272.64404296875
"H11007-04-01","P11007-013",2,,2272.64404296875
"H11007-04-01","P11007-001",2,,2272.64404296875
"H11007-04-01","P11007-011",2,,2272.64404296875
"H11007-04-01","P11007-017",2,,2272.64404296875
"H11007-04-01","P11007-012",2,,2272.64404296875
"H11009-04-01","P11009-005",2,,2272.64404296875
"H11010-04-01","P11010-009",1,14,2272.64404296875
"H11010-04-01","P11010-010",1,14,2272.64404296875
"H11010-04-01","P11010-006",1,14,2272.64404296875
"H11010-04-01","P11010-014",1,14,2272.64404296875
"H11010-04-01","P11010-005",1,14,2272.64404296875
"H11010-04-01","P11010-004",1,14,2272.64404296875
"H11010-04-01","P11010-016",1,14,2272.64404296875
"H11010-04-01","P11010-001",2,,2272.64404296875
"H11010-04-01","P11010-008",1,14,2272.64404296875
"H11010-04-01","P11010-007",1,14,2272.64404296875
"H11010-04-01","P11010-011",1,14,2272.64404296875
"H11010-04-01","P11010-003",1,14,2272.64404296875
"H11010-04-01","P11010-002",2,,2272.64404296875
"H11010-04-01","P11010-015",1,14,2272.64404296875
"H11011-04-01","P11011-001",2,,2272.64404296875
"H11011-04-01","P11011-002",2,,2272.64404296875
"H11011-04-01","P11011-010",1,14,2272.64404296875
"H11011-04-01","P11011-004",2,,2272.64404296875
"H11403-04-01","P11403-007",2,,2272.64404296875
"H11403-04-01","P11403-005",2,,2272.64404296875
"H11403-04-01","P11403-006",2,,2272.64404296875
"H11403-04-01","P11403-002",2,,2272.64404296875
"H11403-04-01","P11403-003",2,,2272.64404296875
"H11403-04-01","P11403-001",2,,2272.64404296875
"H11403-04-01","P11403-008",,,2272.64404296875
"H11405-04-01","P11405-004",2,,2272.64404296875
"H11405-04-01","P11405-008",2,,2272.64404296875
"H11405-04-01","P11405-002",2,,2272.64404296875
"H11405-04-01","P11405-009",2,,2272.64404296875
"H11405-04-01","P11405-006",2,,2272.64404296875
"H11405-04-01","P11405-005",2,,2272.64404296875
"H11405-04-01","P11405-007",2,,2272.64404296875
"H11405-04-01","P11405-001",2,,2272.64404296875
"H11406-04-01","P11406-003",2,,2272.64404296875
"H11406-04-01","P11406-001",2,,2272.64404296875
"H11406-04-01","P11406-004",1,14,2272.64404296875
"H11409-04-01","P11409-009",2,,2272.64404296875
"H11409-04-01","P11409-005",2,,2272.64404296875
"H11409-04-01","P11409-001",2,,2272.64404296875
"H11409-04-01","P11409-007",2,,2272.64404296875
"H11409-04-01","P11409-008",2,,2272.64404296875
"H11409-04-01","P11409-003",2,,2272.64404296875
"H11409-04-01","P11409-004",2,,2272.64404296875
"H11409-04-01","P11409-002",2,,2272.64404296875
"H11409-04-01","P11409-011",2,,2272.64404296875
"H11409-04-01","P11409-010",2,,2272.64404296875
"H11409-04-01","P11409-006",2,,2272.64404296875
"H11410-04-01","P11410-001",2,,2272.64404296875
"H11414-04-01","P11414-016",2,,2272.64404296875
"H11414-04-01","P11414-003",2,,2272.64404296875
"H11414-04-01","P11414-006",2,,2272.64404296875
"H11414-04-01","P11414-002",2,,2272.64404296875
"H11414-04-01","P11414-007",2,,2272.64404296875
"H11414-04-01","P11414-014",2,,2272.64404296875
"H11414-04-01","P11414-009",2,,2272.64404296875
"H11414-04-01","P11414-001",2,,2272.64404296875
"H11414-04-01","P11414-004",2,,2272.64404296875
"H11414-04-01","P11414-005",2,,2272.64404296875
"H11414-04-01","P11414-017",2,,2272.64404296875
"H11414-04-01","P11414-008",2,,2272.64404296875
"H11414-04-01","P11414-015",2,,2272.64404296875
"H11414-04-01","P11414-018",2,,2272.64404296875
"H11501-04-01","P11501-023",2,,2272.64404296875
"H11501-04-01","P11501-022",2,,2272.64404296875
"H11501-04-01","P11501-002",2,,2272.64404296875
"H11501-04-01","P11501-014",2,,2272.64404296875
"H11502-04-01","P11502-004",1,14,1136.32202148438
"H11502-04-01","P11502-001",2,,1136.32202148438
"H11502-04-02","P11502-002",2,,1136.32202148438
"H11502-04-02","P11502-006",2,,1136.32202148438
"H11502-04-02","P11502-003",2,,1136.32202148438
"H11502-04-02","P11502-005",1,14,1136.32202148438
"H11504-04-01","P11504-001",1,14,2272.64404296875
"H11504-04-01","P11504-010",2,,2272.64404296875
"H11504-04-01","P11504-007",1,14,2272.64404296875
"H11504-04-01","P11504-008",1,14,2272.64404296875
"H11504-04-01","P11504-013",,,2272.64404296875
"H11504-04-01","P11504-002",1,14,2272.64404296875
"H11504-04-01","P11504-012",2,,2272.64404296875
"H11504-04-01","P11504-011",2,,2272.64404296875
"H11504-04-01","P11504-009",2,,2272.64404296875
"H11504-04-01","P11504-006",1,14,2272.64404296875
"H11505-04-01","P11505-005",1,14,2272.64404296875
"H11505-04-01","P11505-001",2,,2272.64404296875
"H11505-04-01","P11505-008",2,,2272.64404296875
"H11505-04-01","P11505-006",2,,2272.64404296875
"H11505-04-01","P11505-002",2,,2272.64404296875
"H11505-04-01","P11505-004",2,,2272.64404296875
"H11506-04-01","P11506-005",1,14,757.547973632813
"H11506-04-01","P11506-001",2,,757.547973632813
"H11506-04-01","P11506-002",2,,757.547973632813
"H11506-04-01","P11506-007",1,14,757.547973632813
"H11506-04-01","P11506-004",2,,757.547973632813
"H11506-04-02","P11506-022",2,,757.547973632813
"H11506-04-02","P11506-019",2,,757.547973632813
"H11506-04-02","P11506-020",1,14,757.547973632813
"H11506-04-02","P11506-018",2,,757.547973632813
"H11506-04-03","P11506-013",2,,757.547973632813
"H11506-04-03","P11506-012",1,5,757.547973632813
"H11506-04-03","P11506-024",1,14,757.547973632813
"H11506-04-03","P11506-010",1,5,757.547973632813
"H11506-04-03","P11506-025",2,,757.547973632813
"H11506-04-03","P11506-009",1,5,757.547973632813
"H11506-04-03","P11506-021",2,,757.547973632813
"H11506-04-03","P11506-017",1,14,757.547973632813
"H11506-04-03","P11506-016",2,,757.547973632813
"H11506-04-03","P11506-023",1,14,757.547973632813
"H11507-04-01","P11507-003",2,,2272.64404296875
"H11507-04-01","P11507-001",2,,2272.64404296875
"H11507-04-01","P11507-004",1,5,2272.64404296875
"H11507-04-01","P11507-009",2,,2272.64404296875
"H11507-04-01","P11507-002",1,14,2272.64404296875
"H11507-04-01","P11507-005",2,,2272.64404296875
"H11507-04-01","P11507-006",2,,2272.64404296875
"H11509-04-01","P11509-008",2,,2272.64404296875
"H11509-04-01","P11509-006",1,14,2272.64404296875
"H11509-04-01","P11509-001",2,,2272.64404296875
"H11509-04-01","P11509-005",1,14,2272.64404296875
"H11509-04-01","P11509-002",2,,2272.64404296875
"H11509-04-01","P11509-011",1,14,2272.64404296875
"H11509-04-01","P11509-013",2,,2272.64404296875
"H11509-04-01","P11509-007",2,,2272.64404296875
"H11509-04-01","P11509-009",1,14,2272.64404296875
"H11509-04-01","P11509-012",2,,2272.64404296875
"H11509-04-01","P11509-010",1,14,2272.64404296875
"H11509-04-01","P11509-003",1,14,2272.64404296875
"H11509-04-01","P11509-004",2,,2272.64404296875
"H11510-04-01","P11510-017",1,14,2272.64404296875
"H11510-04-01","P11510-020",2,,2272.64404296875
"H11510-04-01","P11510-016",1,14,2272.64404296875
"H11510-04-01","P11510-003",1,14,2272.64404296875
"H11510-04-01","P11510-019",2,,2272.64404296875
"H11510-04-01","P11510-002",2,,2272.64404296875
"H11510-04-01","P11510-015",1,2,2272.64404296875
"H11510-04-01","P11510-001",1,8,2272.64404296875
"H11510-04-01","P11510-021",2,,2272.64404296875
"H11510-04-01","P11510-018",1,14,2272.64404296875
"H11510-04-01","P11510-006",2,,2272.64404296875
"H11510-04-01","P11510-005",1,14,2272.64404296875
"H11510-04-01","P11510-004",1,14,2272.64404296875
"H11801-04-01","P11801-001",2,,2272.64404296875
"H11801-04-01","P11801-003",1,14,2272.64404296875
"H11801-04-01","P11801-005",2,,2272.64404296875
"H11801-04-01","P11801-011",,,2272.64404296875
"H11801-04-01","P11801-009",1,14,2272.64404296875
"H11801-04-01","P11801-010",2,,2272.64404296875
"H11801-04-01","P11801-002",1,14,2272.64404296875
"H11804-04-01","P11804-003",2,,2272.64404296875
"H11804-04-01","P11804-002",2,,2272.64404296875
"H11804-04-01","P11804-007",2,,2272.64404296875
"H11804-04-01","P11804-009",2,,2272.64404296875
"H11804-04-01","P11804-004",2,,2272.64404296875
"H11804-04-01","P11804-005",2,,2272.64404296875
"H11804-04-01","P11804-008",2,,2272.64404296875
"H11804-04-01","P11804-001",2,,2272.64404296875
"H11804-04-01","P11804-018",2,,2272.64404296875
"H11804-04-01","P11804-017",2,,2272.64404296875
"H11804-04-01","P11804-006",2,,2272.64404296875
"H11805-04-01","P11805-003",2,,2272.64404296875
"H11805-04-01","P11805-004",,,2272.64404296875
"H11805-04-01","P11805-005",,,2272.64404296875
"H11805-04-01","P11805-001",2,,2272.64404296875
"H11805-04-01","P11805-002",2,,2272.64404296875
"H11806-04-01","P11806-003",2,,2272.64404296875
"H11806-04-01","P11806-005",2,,2272.64404296875
"H11806-04-01","P11806-011",2,,2272.64404296875
"H11806-04-01","P11806-012",2,,2272.64404296875
"H11806-04-01","P11806-007",2,,2272.64404296875
"H11806-04-01","P11806-001",2,,2272.64404296875
"H11806-04-01","P11806-006",2,,2272.64404296875
"H11806-04-01","P11806-002",2,,2272.64404296875
"H11806-04-01","P11806-004",1,14,2272.64404296875
"H11807-04-01","P11807-004",2,,2272.64404296875
"H11807-04-01","P11807-006",2,,2272.64404296875
"H11807-04-01","P11807-008",1,14,2272.64404296875
"H11807-04-01","P11807-003",1,14,2272.64404296875
"H11807-04-01","P11807-007",2,,2272.64404296875
"H11807-04-01","P11807-005",1,14,2272.64404296875
"H11807-04-01","P11807-001",2,,2272.64404296875
"H11807-04-01","P11807-002",2,,2272.64404296875
"H11808-04-01","P11808-002",2,,1136.32202148438
"H11808-04-01","P11808-004",2,,1136.32202148438
"H11808-04-01","P11808-014",,,1136.32202148438
"H11808-04-01","P11808-007",2,,1136.32202148438
"H11808-04-01","P11808-003",2,,1136.32202148438
"H11808-04-01","P11808-001",2,,1136.32202148438
"H11808-04-02","P11808-008",2,,1136.32202148438
"H11808-04-02","P11808-010",1,5,1136.32202148438
"H11808-04-02","P11808-011",2,,1136.32202148438
"H11808-04-02","P11808-013",2,,1136.32202148438
"H11808-04-02","P11808-015",1,5,1136.32202148438
"H11808-04-02","P11808-006",2,,1136.32202148438
"H11808-04-02","P11808-005",1,14,1136.32202148438
"H11809-04-01","P11809-011",2,,2272.64404296875
"H11809-04-01","P11809-004",2,,2272.64404296875
"H11809-04-01","P11809-007",2,,2272.64404296875
"H11809-04-01","P11809-001",1,7,2272.64404296875
"H11809-04-01","P11809-006",2,,2272.64404296875
"H11809-04-01","P11809-009",2,,2272.64404296875
"H11810-04-01","P11810-001",2,,2272.64404296875
"H11810-04-01","P11810-002",1,14,2272.64404296875
"H11810-04-01","P11810-003",2,,2272.64404296875
"H11810-04-01","P11810-004",2,,2272.64404296875
"H11901-04-01","P11901-004",2,,2272.64404296875
"H11901-04-01","P11901-008",2,,2272.64404296875
"H11901-04-01","P11901-007",1,14,2272.64404296875
"H11901-04-01","P11901-001",2,,2272.64404296875
"H11901-04-01","P11901-006",1,14,2272.64404296875
"H11901-04-01","P11901-002",2,,2272.64404296875
"H11901-04-01","P11901-009",2,,2272.64404296875
"H11901-04-01","P11901-005",2,,2272.64404296875
"H11901-04-01","P11901-003",2,,2272.64404296875
"H11902-04-01","P11902-002",2,,2272.64404296875
"H11902-04-01","P11902-001",2,,2272.64404296875
"H11903-04-01","P11903-005",2,,1136.32202148438
"H11903-04-01","P11903-001",2,,1136.32202148438
"H11903-04-01","P11903-010",2,,1136.32202148438
"H11903-04-01","P11903-006",2,,1136.32202148438
"H11903-04-01","P11903-004",1,4,1136.32202148438
"H11903-04-01","P11903-009",2,,1136.32202148438
"H11903-04-01","P11903-012",2,,1136.32202148438
"H11903-04-01","P11903-008",2,,1136.32202148438
"H11903-04-01","P11903-007",2,,1136.32202148438
"H11903-04-02","P11903-013",1,6,1136.32202148438
"H11903-04-02","P11903-011",2,,1136.32202148438
"H11903-04-02","P11903-003",2,,1136.32202148438
"H11905-04-01","P11905-010",2,,2272.64404296875
"H11905-04-01","P11905-005",2,,2272.64404296875
"H11905-04-01","P11905-002",2,,2272.64404296875
"H11905-04-01","P11905-003",2,,2272.64404296875
"H11905-04-01","P11905-008",2,,2272.64404296875
"H11905-04-01","P11905-004",2,,2272.64404296875
"H11905-04-01","P11905-001",2,,2272.64404296875
"H11905-04-01","P11905-009",2,,2272.64404296875
"H11905-04-01","P11905-006",2,,2272.64404296875
"H11907-04-01","P11907-004",2,,2272.64404296875
"H11907-04-01","P11907-007",2,,2272.64404296875
"H11907-04-01","P11907-005",2,,2272.64404296875
"H11907-04-01","P11907-003",2,,2272.64404296875
"H11907-04-01","P11907-002",2,,2272.64404296875
"H11907-04-01","P11907-001",2,,2272.64404296875
"H11908-04-01","P11908-003",2,,2272.64404296875
"H11908-04-01","P11908-007",2,,2272.64404296875
"H11908-04-01","P11908-002",2,,2272.64404296875
"H11908-04-01","P11908-005",2,,2272.64404296875
"H11908-04-01","P11908-004",2,,2272.64404296875
"H11908-04-01","P11908-006",2,,2272.64404296875
"H11908-04-01","P11908-001",2,,2272.64404296875
"H11910-04-01","P11910-013",2,,2272.64404296875
"H11910-04-01","P11910-012",2,,2272.64404296875
"H11910-04-01","P11910-011",2,,2272.64404296875
"H11910-04-01","P11910-004",1,14,2272.64404296875
"H11910-04-01","P11910-002",2,,2272.64404296875
"H11910-04-01","P11910-003",2,,2272.64404296875
"H11910-04-01","P11910-009",2,,2272.64404296875
"H11910-04-01","P11910-014",2,,2272.64404296875
"H11910-04-01","P11910-001",2,,2272.64404296875
"H11910-04-01","P11910-008",2,,2272.64404296875
"H12001-04-01","P12001-001",2,,2272.64404296875
"H12001-04-01","P12001-007",1,14,2272.64404296875
"H12001-04-01","P12001-003",2,,2272.64404296875
"H12001-04-01","P12001-005",1,14,2272.64404296875
"H12001-04-01","P12001-004",1,14,2272.64404296875
"H12001-04-01","P12001-002",2,,2272.64404296875
"H12001-04-01","P12001-008",2,,2272.64404296875
"H12001-04-01","P12001-006",1,14,2272.64404296875
"H12003-04-01","P12003-008",2,,1136.32202148438
"H12003-04-01","P12003-002",1,4,1136.32202148438
"H12003-04-01","P12003-014",2,,1136.32202148438
"H12003-04-01","P12003-009",2,,1136.32202148438
"H12003-04-01","P12003-004",2,,1136.32202148438
"H12003-04-01","P12003-012",2,,1136.32202148438
"H12003-04-01","P12003-010",2,,1136.32202148438
"H12003-04-01","P12003-017",2,,1136.32202148438
"H12003-04-01","P12003-018",2,,1136.32202148438
"H12003-04-01","P12003-011",2,,1136.32202148438
"H12003-04-01","P12003-001",1,4,1136.32202148438
"H12003-04-01","P12003-019",2,,1136.32202148438
"H12003-04-01","P12003-006",2,,1136.32202148438
"H12003-04-01","P12003-016",2,,1136.32202148438
"H12003-04-02","P12003-021",2,,1136.32202148438
"H12003-04-02","P12003-022",2,,1136.32202148438
"H12003-04-02","P12003-003",2,,1136.32202148438
"H12003-04-02","P12003-023",2,,1136.32202148438
"H12003-04-02","P12003-005",2,,1136.32202148438
"H12003-04-02","P12003-008",2,,1136.32202148438
"H12003-04-02","P12003-020",2,,1136.32202148438
"H12005-04-01","P12005-009",2,,2272.64404296875
"H12005-04-01","P12005-007",2,,2272.64404296875
"H12005-04-01","P12005-004",2,,2272.64404296875
"H12005-04-01","P12005-001",2,,2272.64404296875
"H12005-04-01","P12005-008",2,,2272.64404296875
"H12005-04-01","P12005-010",2,,2272.64404296875
"H12005-04-01","P12005-002",2,,2272.64404296875
"H12005-04-01","P12005-005",1,14,2272.64404296875
"H12006-04-01","P12006-001",1,14,2272.64404296875
"H12007-04-01","P12007-006",2,,2272.64404296875
"H12007-04-01","P12007-001",1,1,2272.64404296875
"H12007-04-01","P12007-004",2,,2272.64404296875
"H12007-04-01","P12007-008",2,,2272.64404296875
"H12007-04-01","P12007-002",2,,2272.64404296875
"H12007-04-01","P12007-009",2,,2272.64404296875
"H12007-04-01","P12007-003",2,,2272.64404296875
"H12007-04-01","P12007-007",2,,2272.64404296875
"H12008-04-01","P12008-008",2,,1136.32202148438
"H12008-04-01","P12008-001",2,,1136.32202148438
"H12008-04-01","P12008-006",1,14,1136.32202148438
"H12008-04-01","P12008-019",2,,1136.32202148438
"H12008-04-01","P12008-005",1,14,1136.32202148438
"H12008-04-01","P12008-018",1,10,1136.32202148438
"H12008-04-01","P12008-021",2,,1136.32202148438
"H12008-04-01","P12008-007",2,,1136.32202148438
"H12008-04-01","P12008-002",2,,1136.32202148438
"H12008-04-01","P12008-020",1,14,1136.32202148438
"H12008-04-01","P12008-009",2,,1136.32202148438
"H12008-04-01","P12008-004",1,10,1136.32202148438
"H12008-04-02","P12008-024",1,14,1136.32202148438
"H12008-04-02","P12008-004",1,14,1136.32202148438
"H12008-04-02","P12008-022",1,14,1136.32202148438
"H12008-04-02","P12008-025",1,14,1136.32202148438
"H12009-04-01","P12009-004",2,,2272.64404296875
"H12009-04-01","P12009-001",2,,2272.64404296875
"H12009-04-01","P12009-003",2,,2272.64404296875
"H12009-04-01","P12009-002",1,14,2272.64404296875
"H12010-04-01","P12010-003",2,,2272.64404296875
"H12010-04-01","P12010-004",2,,2272.64404296875
"H12010-04-01","P12010-005",2,,2272.64404296875
"H12011-04-01","P12011-002",2,,2272.64404296875
"H12011-04-01","P12011-005",1,14,2272.64404296875
"H12011-04-01","P12011-006",1,14,2272.64404296875
"H12011-04-01","P12011-004",2,,2272.64404296875
"H12011-04-01","P12011-003",2,,2272.64404296875
"H12011-04-01","P12011-009",2,,2272.64404296875
"H12011-04-01","P12011-001",2,,2272.64404296875
"H12011-04-01","P12011-008",2,,2272.64404296875
"H12011-04-01","P12011-010",1,5,2272.64404296875
"H12011-04-01","P12011-007",2,,2272.64404296875
"H12303-04-01","P12303-006",2,,2272.64404296875
"H12303-04-01","P12303-003",2,,2272.64404296875
"H12303-04-01","P12303-007",2,,2272.64404296875
"H12303-04-01","P12303-001",2,,2272.64404296875
"H12303-04-01","P12303-002",2,,2272.64404296875
"H12303-04-01","P12303-004",2,,2272.64404296875
"H12306-04-01","P12306-001",2,,2272.64404296875
"H12306-04-01","P12306-014",2,,2272.64404296875
"H12306-04-01","P12306-002",1,7,2272.64404296875
"H12306-04-01","P12306-005",2,,2272.64404296875
"H12306-04-01","P12306-009",2,,2272.64404296875
"H12306-04-01","P12306-006",1,7,2272.64404296875
"H12306-04-01","P12306-011",2,,2272.64404296875
"H12306-04-01","P12306-010",2,,2272.64404296875
"H12306-04-01","P12306-007",1,7,2272.64404296875
"H12306-04-01","P12306-008",2,,2272.64404296875
"H12310-04-01","P12310-014",2,,2272.64404296875
"H12310-04-01","P12310-012",2,,2272.64404296875
"H12310-04-01","P12310-001",2,,2272.64404296875
"H12310-04-01","P12310-003",2,,2272.64404296875
"H12310-04-01","P12310-002",2,,2272.64404296875
"H12310-04-01","P12310-010",2,,2272.64404296875
"H12310-04-01","P12310-004",2,,2272.64404296875
"H12310-04-01","P12310-008",2,,2272.64404296875
"H12310-04-01","P12310-013",2,,2272.64404296875
"H12310-04-01","P12310-007",2,,2272.64404296875
"H12310-04-01","P12310-016",2,,2272.64404296875
"H12310-04-01","P12310-011",2,,2272.64404296875
"H12310-04-01","P12310-009",2,,2272.64404296875
"H12310-04-01","P12310-015",2,,2272.64404296875
"H12310-04-01","P12310-006",1,14,2272.64404296875
"H12310-04-01","P12310-005",2,,2272.64404296875
"H12311-04-01","P12311-003",2,,2272.64404296875
"H12311-04-01","P12311-005",2,,2272.64404296875
"H12311-04-01","P12311-001",2,,2272.64404296875
"H12311-04-01","P12311-004",2,,2272.64404296875
"H12311-04-01","P12311-006",2,,2272.64404296875
"H12311-04-01","P12311-002",2,,2272.64404296875
"H12401-04-01","P12401-010",2,,2272.64404296875
"H12401-04-01","P12401-004",2,,2272.64404296875
"H12401-04-01","P12401-003",2,,2272.64404296875
"H12401-04-01","P12401-001",1,7,2272.64404296875
