"HHID","HHID_old","rotate","result_code","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","region","regurb","sregion","urban","ea","wgt_X","wgt","year","month","day","DynID"
"H01612-04-01",1021001512,1,1,102,102104,"Makindye Division",10210411,"Kisugu",1,11,1,1,16,1874.79821777344,1579.79833984375,2014,6,"05",1612
"H01801-04-01",1021001701,1,1,102,102104,"Makindye Division",10210402,"Buziga",1,11,1,1,18,1874.79821777344,8882.4296875,2014,1,"13",1801
"H01806-04-01",1021001706,1,1,102,102104,"Makindye Division",10210402,"Buziga",1,11,1,1,18,937.399108886719,2609.00732421875,2014,1,"13",1806
"H01806-04-02",2102100170601,1,1,105,105103,"Kabonera",10510303,"Kakunyu",1,10,2,0,18,937.399108886719,0,2014,9,"13",1806
"H01809-04-01",1021001709,1,1,102,102104,"Makindye Division",10210402,"Buziga",1,11,1,1,18,1874.79821777344,3806.75561523438,2014,1,"13",1809
"H01813-04-01",1021001713,1,1,102,102104,"Makindye Division",10210402,"Buziga",1,11,1,1,18,1874.79821777344,3404.26831054688,2014,7,"12",1813
"H02108-04-01",1021002008,1,1,102,102105,"Nakawa Division",10210503,"Bukoto I",1,11,1,1,21,1874.79821777344,3528.55883789063,2013,10,"15",2108
"H02110-04-01",1021002010,1,1,102,102105,"Nakawa Division",10210503,"Bukoto I",1,11,1,1,21,1874.79821777344,6732.40869140625,2013,10,"16",2110
"H02111-04-01",1021002011,1,1,102,102105,"Nakawa Division",10210503,"Bukoto I",1,11,1,1,21,1874.79821777344,5613.6162109375,2014,4,"18",2111
"H02113-04-01",1021002013,1,2,102,102105,"Nakawa Division",10210503,"Bukoto I",1,11,1,1,21,1874.79821777344,7192.75830078125,2013,10,"16",2113
"H02203-04-01",1021002103,1,1,102,102105,"Nakawa Division",10210510,"Kyanja",1,11,1,1,22,1874.79821777344,7011.400390625,2013,11,"30",2203
"H02205-04-01",1021002105,1,1,102,102105,"Nakawa Division",10210504,"Bukoto Ii",1,11,1,1,22,1874.79821777344,0,2014,6,"01",2205
"H02206-04-01",1021002106,1,1,102,102105,"Nakawa Division",10210504,"Bukoto Ii",1,11,1,1,22,1874.79821777344,4084.31396484375,2013,12,"02",2206
"H02207-04-01",1021002107,1,1,102,102105,"Nakawa Division",10210504,"Bukoto Ii",1,11,1,1,22,1874.79821777344,3691.49462890625,2013,12,"02",2207
"H02304-04-01",1021002204,1,1,113,113303,"Kira Town Council",11330306,"Kyaliwajjala",1,10,2,0,23,1874.79821777344,7353.66552734375,2013,12,"06",2304
"H02305-04-01",1021002205,1,1,102,102105,"Nakawa Division",10210510,"Kyanja",1,11,1,1,23,1874.79821777344,2398.40209960938,2013,12,"05",2305
"H02310-04-01",1021002210,1,1,102,102105,"Nakawa Division",10210510,"Kyanja",1,11,1,1,23,1874.79821777344,7195.20654296875,2014,6,"27",2310
"H02401-04-01",1021002301,1,1,113,113303,"Kira Town Council",11330304,"Kireka",1,10,2,0,24,1874.79821777344,7144.07421875,2014,1,"26",2401
"H02407-04-01",1021002307,1,1,102,102105,"Nakawa Division",10210513,"Mbuya I",1,11,1,1,24,1874.79821777344,0,2014,1,"28",2407
"H02409-04-01",1021002309,1,1,102,102105,"Nakawa Division",10210513,"Mbuya I",1,11,1,1,24,1874.79821777344,27073.59765625,2014,1,"29",2409
"H02412-04-01",1021002312,1,1,102,102105,"Nakawa Division",10210513,"Mbuya I",1,11,1,1,24,1874.79821777344,7568.630859375,2014,1,"27",2412
"H02507-04-01",1021002407,1,1,102,102105,"Nakawa Division",10210515,"Mutungo",1,11,1,1,25,1874.79809570313,7690.921875,2014,2,"21",2507
"H02601-04-01",1021002501,1,1,102,102105,"Nakawa Division",10210515,"Mutungo",1,11,1,1,26,937.399108886719,0,2014,3,"29",2601
"H02601-04-02",2102100250103,1,1,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,11,1,1,26,937.399108886719,1878.6708984375,2014,4,"02",2601
"H02602-04-01",1021002502,1,1,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,11,1,1,26,1874.79821777344,5374.99462890625,2014,3,"31",2602
"H02608-04-01",1021002508,1,1,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,11,1,1,26,937.399108886719,964.181640625,2014,3,"27",2608
"H02608-04-02",,1,1,102,102102,"Kawempe Division",10210206,"Kawempe Ii",1,11,1,1,26,937.399108886719,0,2014,10,"18",2608
"H02609-04-01",1021002509,1,1,102,102105,"Nakawa Division",10210518,"Naguru Ii",1,11,1,1,26,1874.79821777344,1560.16552734375,2014,3,"27",2609
"H02703-04-02",102100260304,1,1,102,102103,"Lubaga Division",10210301,"Busega",1,11,1,1,27,1874.79821777344,3040.47412109375,2013,10,"17",2703
"H02705-04-01",1021002605,1,1,102,102103,"Lubaga Division",10210301,"Busega",1,11,1,1,27,937.399108886719,1221.35522460938,2013,10,"16",2705
"H02705-04-02",,1,1,113,113113,"Wakiso",11311306,"Ssumbwe",1,11,2,1,27,937.399108886719,3664.06567382813,2014,7,"02",2705
"H02706-04-01",1021002606,1,1,102,102103,"Lubaga Division",10210301,"Busega",1,11,1,1,27,1874.79821777344,0,2013,10,"16",2706
"H02710-04-01",1021002610,1,1,102,102103,"Lubaga Division",10210301,"Busega",1,11,1,1,27,1874.79821777344,4453.953125,2013,10,"16",2710
