"HHID","HHID_old","rotate","result_code","h1aq1a","h1aq3a","h1aq3b","h1aq4a","h1aq4b","region","regurb","sregion","urban","ea","wgt_X","wgt","year","month","day","DynID"
"H09908-04-01",1133001008,1,1,113,113105,"Katabi",11310504,"Nalugala",1,10,2,0,99,2792.466796875,4540.99609375,2014,7,"25",9908
"H09909-04-01",1133001009,1,1,113,113105,"Katabi",11310504,"Nalugala",1,10,2,0,99,2792.466796875,7715.12255859375,2014,7,"26",9909
"H09910-04-01",1133001010,1,1,113,113105,"Katabi",11310504,"Nalugala",1,10,2,0,99,2792.466796875,6063.17431640625,2014,7,"25",9910
"H10002-04-01",1133001202,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,11,2,1,100,2792.466796875,10634.794921875,2014,4,"19",10002
"H10003-04-01",1133001203,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,10,2,0,100,2792.466796875,25449.36328125,2014,4,"23",10003
"H10004-04-01",1133001204,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,11,2,1,100,2792.466796875,15661.1474609375,2014,4,"19",10004
"H10007-04-01",1133001207,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,10,2,0,100,1396.2333984375,19389.9921875,2013,10,"27",10007
"H10007-04-02",113300120702,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,10,2,0,100,1396.2333984375,16966.2421875,2013,10,"30",10007
"H10009-04-01",1133001209,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,11,2,1,100,1396.2333984375,9967.4580078125,2013,10,"27",10009
"H10009-04-02",2113300120904,1,1,113,113111,"Nsangi",11311106,"Kyegera",1,11,2,1,100,1396.2333984375,,2014,4,"23",10009
"H10010-04-01",1133001210,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,10,2,0,100,2792.466796875,11746.54296875,2013,10,"27",10010
"H10011-04-01",1133001211,1,1,113,113111,"Nsangi",11311102,"Kasenge",1,11,2,1,100,2792.466796875,7438.49755859375,2013,10,"30",10011
"H10201-04-01",1133001601,1,1,113,113113,"Wakiso",11311306,"Ssumbwe",1,11,2,1,102,1396.23327636719,8967.4521484375,2013,11,"26",10201
"H10201-04-02",113300160102,1,1,114,114105,"Lyantonde Tc",11410502,"Kooki Ward",1,10,2,0,102,1396.23327636719,0,2014,8,"07",10201
"H10205-04-01",1133001605,1,1,113,113113,"Wakiso",11311305,"Nakabugo",1,11,2,1,102,2792.46655273438,9686.2861328125,2013,11,"26",10205
"H10207-04-01",1133001607,1,1,113,113113,"Wakiso",11311305,"Nakabugo",1,11,2,1,102,2792.46655273438,6083.52294921875,2013,11,"26",10207
"H10209-04-01",1133001609,1,1,113,113113,"Wakiso",11311305,"Nakabugo",1,11,2,1,102,2792.46655273438,9686.2861328125,2014,5,"21",10209
"H10210-04-01",1133001610,1,1,113,113112,"Ssisa",11311208,"Nkunguluntale",1,10,2,0,102,2792.46655273438,8967.453125,2014,7,"27",10210
"H10303-04-01",1133001903,1,1,113,113303,"Kira Town Council",11330305,"Kirinya",1,11,2,1,103,2792.466796875,,2014,3,"26",10303
"H10304-04-01",1133001904,1,1,113,113303,"Kira Town Council",11330305,"Kirinya",1,11,2,1,103,2792.466796875,4053.32055664063,2014,3,"27",10304
"H10306-04-01",1133001906,1,1,113,113303,"Kira Town Council",11330305,"Kirinya",1,11,2,1,103,2792.466796875,22621.658203125,2014,3,"27",10306
"H10309-04-01",1133001909,1,1,113,113303,"Kira Town Council",11330305,"Kirinya",1,11,2,1,103,2792.466796875,5136.748046875,2014,3,"31",10309
"H10311-04-01",1133001911,1,1,108,108106,"Nama",10810606,"Namubiru",1,10,3,0,103,2792.466796875,5353.9169921875,2014,3,"27",10311
"H10312-04-01",1133001912,1,1,113,113303,"Kira Town Council",11330305,"Kirinya",1,11,2,1,103,2792.466796875,17192.66796875,2014,3,"27",10312
"H10701-04-01",2013000401,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,757.547973632813,2508.91748046875,2013,12,"06",10701
"H10701-04-02",,1,1,201,201103,"Bulesa",20110304,"Iggwe",2,20,4,0,107,757.547973632813,0,2013,12,"06",10701
"H10701-04-03",,1,1,230,230103,"Buswale",23010305,"Namayuge",2,20,5,0,107,757.547973632813,1338.08935546875,2014,5,"25",10701
"H10702-04-01",2013000402,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,2272.64404296875,967.444702148438,2013,12,"05",10702
"H10703-04-01",2013000403,1,1,201,201103,"Bulesa",20110305,"Kitodha",2,20,4,0,107,2272.64404296875,2506.0146484375,2013,12,"05",10703
"H10704-04-01",2013000404,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,1136.32202148438,1720.40051269531,2014,6,"25",10704
"H10704-04-02",,1,1,201,201103,"Bulesa",20110302,"Buwuni Rural",2,20,4,0,107,1136.32202148438,1146.93371582031,2014,10,"15",10704
"H10706-04-01",2013000406,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,1136.32202148438,2355.36059570313,2014,6,"25",10706
"H10706-04-02",30201300040603,1,1,201,201111,"Nankoma",20111105,"Nankoma",2,20,4,0,107,1136.32202148438,,2014,8,"03",10706
"H10707-04-01",2013000407,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,2272.64404296875,3403.11376953125,2014,7,"08",10707
"H10708-04-01",2013000408,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,2272.64404296875,5734.6689453125,2013,12,"05",10708
"H10709-04-01",2013000409,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,2272.64404296875,2902.333984375,2014,6,"25",10709
"H10710-04-01",2013000410,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,454.52880859375,11193.3857421875,2014,7,"01",10710
"H10710-04-02",201300041004,1,1,201,201108,"Kapyanga",20110807,"Namayemba Tb",2,21,4,1,107,454.52880859375,0,2014,7,"18",10710
"H10710-04-03",2201300041005,1,1,201,201102,"Bugiri Tc",20110202,"Naluwerere Ward",2,21,4,1,107,454.52880859375,3731.12866210938,2014,7,"17",10710
"H10710-04-04",30201300041003,1,1,214,214104,"Busakira",21410403,"Kaluuba",2,20,4,0,107,454.52880859375,0,2014,8,"03",10710
"H10710-04-05",,1,1,201,201103,"Bulesa",20110301,"Buluwe",2,20,4,0,107,454.52880859375,0,2014,10,"15",10710
"H10801-04-01",2013000601,1,1,202,202209,"Lunyo",20220904,"Nekuku",2,20,5,0,108,2272.64404296875,2041.76696777344,2014,3,"25",10801
"H10802-04-01",2013000602,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,2272.64404296875,2760.86743164063,2014,3,"24",10802
"H10803-04-01",2013000603,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,757.547973632813,3696.24340820313,2013,9,"28",10803
"H10803-04-02",2201300060303,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,757.547973632813,0,2013,9,"28",10803
"H10803-04-03",,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,757.547973632813,,2013,9,"29",10803
"H10804-04-01",2013000604,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,2272.64404296875,3834.25415039063,2013,9,"28",10804
"H10805-04-01",2013000605,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,21,5,1,108,2272.64404296875,3644.34521484375,2014,3,"24",10805
"H10806-04-01",2013000606,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,2272.64404296875,9226.173828125,2013,9,"28",10806
"H10807-04-01",2013000607,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,1136.32202148438,9574.54296875,2014,3,"24",10807
"H10807-04-02",,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,1136.32202148438,4388.33251953125,2014,3,"24",10807
"H10809-04-01",2013000609,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,2272.64404296875,5272.099609375,2014,3,"25",10809
"H10810-04-01",2013000610,1,1,230,230104,"Buyinja",23010401,"Gondohera",2,20,5,0,108,2272.64404296875,2298.57177734375,2013,9,"29",10810
"H10902-04-01",2013000802,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,2272.64404296875,,2014,7,"17",10902
"H10904-04-01",2013000804,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,2272.64404296875,4576.45556640625,2014,1,"14",10904
"H10905-04-01",2013000805,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,2272.64404296875,2197.02416992188,2014,1,"14",10905
"H10906-04-01",2013000806,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,2272.64404296875,2034.57043457031,2014,1,"14",10906
"H10908-04-01",2013000808,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,2272.64404296875,2712.76049804688,2014,1,"14",10908
"H10909-04-01",2013000809,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,568.161010742188,9707.46875,2014,1,"14",10909
"H10909-04-02",201300080903,1,1,201,201110,"Nabukalu",20111001,"Bubalya",2,20,4,0,109,568.161010742188,,2014,1,"15",10909
"H10909-04-03",201300080905,1,1,224,224106,"Namutumba Town Council",22410601,"Namutumba Central Ward",2,21,4,1,109,568.161010742188,8089.55810546875,2014,7,"18",10909
"H10909-04-04",30201300080915,1,1,214,214108,"Kigandalo",21410805,"Kyoga",2,20,4,0,109,568.161010742188,,2014,7,"20",10909
"H10910-04-01",2013000810,1,1,201,201110,"Nabukalu",20111009,"Wangobo",2,20,4,0,109,2272.64404296875,2471.65209960938,2014,7,"17",10910
"H11001-04-01",2013000901,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,2814.46606445313,2013,10,"22",11001
"H11002-04-01",2013000902,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,0,2014,4,"13",11002
"H11003-04-01",2013000903,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,0,2014,4,"13",11003
"H11006-04-01",2013000906,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,360.385101318359,2013,10,"22",11006
"H11007-04-01",2013000907,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,0,2013,10,"23",11007
"H11009-04-01",2013000909,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,0,2013,10,"22",11009
"H11010-04-01",2013000910,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,0,2014,4,"13",11010
"H11011-04-01",2013000911,1,1,230,230107,"Sigulu Islands",23010709,"Nampongwe",2,20,5,0,110,2272.64404296875,0,2014,4,"13",11011
"H11403-04-01",2031000103,1,1,203,203202,"Northern Division",20320204,"Nkaatu Ward",2,21,4,1,114,2272.64404296875,0,2014,2,"16",11403
"H11405-04-01",2031000105,1,1,203,203202,"Northern Division",20320204,"Nkaatu Ward",2,21,4,1,114,2272.64404296875,0,2014,2,"16",11405
"H11406-04-01",2031000106,1,1,203,203202,"Northern Division",20320204,"Nkaatu Ward",2,21,4,1,114,2272.64404296875,3833.58056640625,2014,2,"16",11406
"H11409-04-01",2031000109,1,1,203,203301,"Bulamagi",20330102,"Bulowooza",2,21,4,1,114,2272.64404296875,534.273803710938,2014,2,"16",11409
"H11410-04-01",2031000110,1,1,203,203202,"Northern Division",20320204,"Nkaatu Ward",2,21,4,1,114,2272.64404296875,5877.01171875,2014,8,"03",11410
"H11414-04-01",2031000114,1,1,203,203202,"Northern Division",20320203,"Mutukula",2,21,4,1,114,2272.64404296875,1916.79028320313,2014,2,"16",11414
"H11501-04-01",2031000401,1,1,203,203202,"Northern Division",20320205,"Nkono Ward",2,21,4,1,115,2272.64404296875,0,2014,6,"24",11501
"H11502-04-01",2031000402,1,1,203,203202,"Northern Division",20320203,"Mutukula",2,21,4,1,115,1136.32202148438,4796.9599609375,2014,6,"22",11502
"H11502-04-02",,1,1,203,203303,"Nakalama",20330304,"Nakalama",2,21,4,1,115,1136.32202148438,2398.47998046875,2014,5,"25",11502
"H11504-04-01",2031000404,1,1,203,203202,"Northern Division",20320203,"Mutukula",2,21,4,1,115,2272.64404296875,938.718566894531,2013,12,"07",11504
"H11505-04-01",2031000405,1,1,203,203202,"Northern Division",20320205,"Nkono Ward",2,21,4,1,115,2272.64404296875,4790.22412109375,2013,12,"15",11505
"H11506-04-01",2031000406,1,1,203,203202,"Northern Division",20320205,"Nkono Ward",2,21,4,1,115,757.547973632813,5084.7158203125,2014,8,"29",11506
"H11506-04-02",203100040603,1,1,203,203202,"Northern Division",20320205,"Nkono Ward",2,21,4,1,115,757.547973632813,4572.642578125,2014,8,"20",11506
"H11506-04-03",203100040604,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,115,757.547973632813,2980.05908203125,2013,12,"07",11506
"H11507-04-01",2031000407,1,1,203,203202,"Northern Division",20320203,"Mutukula",2,21,4,1,115,2272.64404296875,2055.83984375,2014,6,"22",11507
"H11509-04-01",2031000409,1,1,203,203202,"Northern Division",20320205,"Nkono Ward",2,21,4,1,115,2272.64404296875,2194.86840820313,2014,7,"20",11509
"H11510-04-01",2031000410,1,1,203,203202,"Northern Division",20320205,"Nkono Ward",2,21,4,1,115,2272.64404296875,938.718566894531,2014,6,"24",11510
"H11801-04-01",2033001801,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,2097.52563476563,2013,10,"21",11801
"H11804-04-01",2033001804,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,8587.5439453125,2013,10,"20",11804
"H11805-04-01",2033001805,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,671.985778808594,2013,10,"20",11805
"H11806-04-01",2033001806,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,2621.90698242188,2013,10,"20",11806
"H11807-04-01",2033001807,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,925.426147460938,2013,10,"20",11807
"H11808-04-01",2033001808,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,1136.32202148438,5247.94384765625,2013,10,"20",11808
"H11808-04-02",203300180804,1,1,204,204303,"Buwenge",20430302,"Kagoma",2,20,4,0,118,1136.32202148438,9430.3818359375,2014,7,"24",11808
"H11809-04-01",2033001809,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,1831.11096191406,2013,10,"21",11809
"H11810-04-01",2033001810,1,1,203,203301,"Bulamagi",20330101,"Bukoyo",2,20,4,0,118,2272.64404296875,3870.92529296875,2014,4,"12",11810
"H11901-04-01",2033002301,1,1,203,203303,"Nakalama",20330304,"Nakalama",2,21,4,1,119,2272.64404296875,3734.9609375,2014,1,"16",11901
"H11902-04-01",2033002302,1,1,203,203303,"Nakalama",20330304,"Nakalama",2,21,4,1,119,2272.64404296875,7707.75830078125,2014,1,"16",11902
"H11903-04-01",2033002303,1,1,229,229106,"Luuka Town Council",22910604,"Kiyunga Ward",2,21,4,1,119,1136.32202148438,0,2014,10,"16",11903
"H11903-04-02",,1,1,229,229104,"Ikumbya",22910405,"Ntayigirwa",2,20,4,0,119,1136.32202148438,0,2014,10,"16",11903
"H11905-04-01",2033002305,1,1,203,203303,"Nakalama",20330301,"Bukaye",2,20,4,0,119,2272.64404296875,3268.09106445313,2014,1,"16",11905
"H11907-04-01",2033002307,1,1,203,203303,"Nakalama",20330304,"Nakalama",2,20,4,0,119,2272.64404296875,1452.48486328125,2014,1,"16",11907
"H11908-04-01",2033002308,1,1,203,203303,"Nakalama",20330301,"Bukaye",2,20,4,0,119,2272.64404296875,2973.43359375,2014,7,"19",11908
"H11910-04-01",2033002310,1,1,203,203303,"Nakalama",20330304,"Nakalama",2,20,4,0,119,2272.64404296875,1284.62646484375,2014,1,"16",11910
"H12001-04-01",2033002801,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,3933.087890625,2014,5,"26",12001
"H12003-04-01",2033002803,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,1136.32202148438,4998.7197265625,2013,11,"22",12003
"H12003-04-02",,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,1136.32202148438,1122.16162109375,2014,5,"27",12003
"H12005-04-01",2033002805,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,5628.1796875,2014,5,"27",12005
"H12006-04-01",2033002806,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,25068.408203125,2013,11,"22",12006
"H12007-04-01",2033002807,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,13497.00390625,2013,11,"22",12007
"H12008-04-01",2033002808,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,1136.32202148438,5701.23828125,2013,11,"22",12008
"H12008-04-02",203300280802,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,1136.32202148438,2565.55712890625,2014,5,"27",12008
"H12009-04-01",2033002809,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,0,2014,5,"26",12009
"H12010-04-01",2033002810,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,0,2013,11,"23",12010
"H12011-04-01",2033002811,1,1,229,229104,"Ikumbya",22910402,"Ikumbya",2,20,4,0,120,2272.64404296875,7855.13134765625,2014,5,"26",12011
"H12303-04-01",2041000603,1,1,204,204203,"Masese/walukuba",20420301,"Masese Ward",2,21,4,1,123,2272.64404296875,1977.62744140625,2014,1,"19",12303
"H12306-04-01",2041000606,1,1,204,204203,"Masese/walukuba",20420301,"Masese Ward",2,21,4,1,123,2272.64404296875,2966.44116210938,2014,1,"19",12306
"H12310-04-01",2041000610,1,1,204,204203,"Masese/walukuba",20420301,"Masese Ward",2,21,4,1,123,2272.64404296875,1451.25927734375,2014,1,"19",12310
"H12311-04-01",2041000611,1,1,204,204203,"Masese/walukuba",20420301,"Masese Ward",2,21,4,1,123,2272.64404296875,3870.02490234375,2014,7,"24",12311
"H12401-04-01",2041000901,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,2272.64404296875,737.092041015625,2013,10,"17",12401
"H12402-04-01",2041000902,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,2272.64404296875,301.700164794922,2013,10,"16",12402
"H12404-04-01",2041000904,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,2272.64404296875,1105.63793945313,2014,4,"10",12404
"H12407-04-01",2041000907,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,1136.32202148438,1842.72998046875,2013,10,"17",12407
"H12407-04-02",2204100090702,1,1,204,204101,"Bugembe Town Council",20410105,"Wanyama Ward",2,21,4,1,124,1136.32202148438,0,2013,10,"17",12407
"H12408-04-01",2041000908,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,2272.64404296875,2152.50756835938,2013,10,"17",12408
"H12409-04-01",2041000909,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,2272.64404296875,1228.48669433594,2013,10,"16",12409
"H12411-04-01",2041000911,1,1,204,204101,"Bugembe Town Council",20410103,"Katende",2,21,4,1,124,2272.64404296875,566.993835449219,2013,10,"16",12411
"H12501-04-01",2043001201,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,6239.04345703125,2014,6,"19",12501
"H12502-04-01",2043001202,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,2385.02099609375,2014,6,"19",12502
"H12504-04-01",2043001204,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,10640.62890625,2013,12,"14",12504
"H12505-04-01",2043001205,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,3576.20654296875,2013,12,"15",12505
"H12506-04-01",2043001206,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,4334.7958984375,2013,12,"14",12506
"H12507-04-01",2043001207,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,4293.03759765625,2014,6,"19",12507
"H12509-04-01",2043001209,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,4534.0703125,2013,12,"14",12509
"H12510-04-01",2043001210,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,6718.9697265625,2014,6,"20",12510
"H12512-04-01",2043001212,1,1,204,204102,"Busedde",20410204,"Nabitambala",2,20,4,0,125,2272.64404296875,3743.42578125,2014,6,"19",12512
"H12601-04-01",2043001401,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,4587.21337890625,2014,3,"16",12601
"H12603-04-01",2043001403,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,4687.4794921875,2014,3,"19",12603
"H12604-04-01",2043001404,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,2025.69482421875,2013,10,"04",12604
"H12605-04-01",2043001405,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,8825.5859375,2014,3,"17",12605
"H12606-04-01",2043001406,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,1136.32177734375,2992.24462890625,2013,10,"04",12606
"H12606-04-02",,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,1136.32177734375,2244.18334960938,2013,10,"04",12606
"H12607-04-01",2043001407,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,0,2014,3,"18",12607
"H12609-04-01",2043001409,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,17953.466796875,2014,3,"16",12609
"H12610-04-01",2043001410,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,1136.32177734375,,2013,10,"04",12610
"H12610-04-02",204300141003,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,1136.32177734375,,2014,3,"17",12610
"H12611-04-01",2043001411,1,1,204,204301,"Budondo",20430103,"Kibibi",2,20,4,0,126,2272.6435546875,3282.11181640625,2014,3,"18",12611
"H12701-04-01",2043001501,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,1136.32177734375,0,2014,1,"17",12701
"H12701-04-02",,1,1,112,112102,"Galiraaya",11210206,"Ntimba",1,10,3,0,127,1136.32177734375,0,2014,10,"16",12701
"H12703-04-01",2043001503,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,2272.6435546875,4570.31298828125,2014,1,"17",12703
"H12704-04-01",2043001504,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,2272.6435546875,3035.822265625,2014,1,"17",12704
"H12705-04-01",2043001505,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,2272.6435546875,3437.7978515625,2014,1,"17",12705
"H12706-04-01",2043001506,1,1,204,204305,"Buyengo",20430501,"Bulugo",2,20,4,0,127,2272.6435546875,4858.7568359375,2014,7,"21",12706
"H12707-04-01",2043001507,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,2272.6435546875,3339.40454101563,2014,1,"17",12707
"H12708-04-01",2043001508,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,2272.6435546875,3521.58740234375,2014,1,"17",12708
"H12709-04-01",2043001509,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,1136.32177734375,1337.30932617188,2014,1,"18",12709
"H12710-04-01",2043001510,1,1,204,204302,"Butagaya",20430205,"Nawapanda",2,20,4,0,127,2272.6435546875,2062.67895507813,2014,7,"21",12710
"H12805-04-01",2051000105,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,757.547973632813,2206.21166992188,2014,8,"06",12805
"H12805-04-02",,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,757.547973632813,0,2014,10,"14",12805
"H12806-04-01",2051000106,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,2272.64404296875,2208.76733398438,2014,2,"18",12806
"H12808-04-01",2051000108,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,2272.64404296875,1472.51147460938,2014,2,"18",12808
"H12809-04-01",2051000109,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,757.547973632813,1149.9736328125,2014,2,"18",12809
"H12809-04-02",,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,757.547973632813,0,2014,2,"18",12809
"H12809-04-03",,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,757.547973632813,0,2014,2,"18",12809
"H12810-04-01",2051000110,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,21,4,1,128,2272.64404296875,1295.98803710938,2014,2,"18",12810
"H12811-04-01",2051000111,1,1,205,205104,"Kamuli Town Council",20510401,"Kasoigo",2,20,4,0,128,2272.64404296875,1149.9736328125,2014,8,"06",12811
"H12812-04-01",2051000112,1,1,229,229107,"Nawampiti",22910701,"Bugomba",2,20,4,0,128,2272.64404296875,0,2014,8,"07",12812
"H12901-04-01",2053000401,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,21,4,1,129,2272.64404296875,1761.55285644531,2013,10,"28",12901
"H12902-04-02",,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,5133.4072265625,2013,10,"28",12902
"H12903-04-01",2053000403,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,3157.85302734375,2013,10,"29",12903
"H12904-04-01",2053000404,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,3821.48657226563,2013,10,"28",12904
"H12905-04-01",2053000405,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,1136.32202148438,3789.423828125,2014,4,"16",12905
"H12905-04-02",,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,1136.32202148438,0,2014,4,"16",12905
"H12906-04-01",2053000406,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,3567.673828125,2013,10,"29",12906
"H12907-04-01",2053000407,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,3157.85302734375,2014,4,"16",12907
"H12908-04-01",2053000408,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,3805.51879882813,2013,10,"28",12908
"H12909-04-02",,1,1,226,226103,"Buyende Town Council",22610303,"Makanga-ndorwa",2,20,4,0,129,2272.64404296875,3508.72534179688,2013,10,"28",12909
