"HHID","parcelID","a2aq1owned","a2aq4","a2aq5","a2aq5_1","a2aq5_2","a2aq5_2_1","a2aq6","a2aq7","a2aq8","a2aq9","a2aq10","a2aq11a","a2aq11b","a2aq12","a2aq13a","a2aq13b","a2aq14","a2aq15a","a2aq15b","a2aq16","a2aq17","a2aq18","a2aq19","a2aq20","a2aq21","a2aq22a","a2aq22b","a2aq23","a2aq24a","a2aq24b","a2aq25","a2aq26a","a2aq26b","a2aq27a","a2aq27b","hh","wgt_X"
36050402,1,1,0.600000023841858,0.5,3605007,1,,1,1,1,1978,1,1,1,9999,,,,100,100,1,1,2,3,2,,,,4,3605006,99999999,2,,,3605006,99999999,"H03605-04-02",2551.70141601563
36050402,2,1,6.30000019073486,6,3605007,1,,2,1,1,1972,1,1,1,2011,0,3,,100,50,1,1,2,3,2,,,,4,3605006,99999999,2,,,3605007,99999999,"H03605-04-02",2551.70141601563
36070401,1,1,8.65999984741211,8,3607001,1,,1,4,2,1983,1,1,1,9999,,,,100,70,1,2,2,3,2,,,,2,,,2,3607001,99999999,3607001,99999999,"H03607-04-01",2551.70141601563
37040401,1,1,0.620000004768372,1,3704001,1,,1,1,1,2006,1,2,2,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,3704002,3704001,3704001,3704002,"H03704-04-01",2551.70141601563
37050401,1,1,2.46000003814697,2.5,3705002,1,,1,1,1,1997,1,2,2,9999,,,,100,100,3,1,2,2,2,,,,3,,,2,3705001,3705002,3705001,3705002,"H03705-04-01",2551.70141601563
37060401,1,1,,5,3706002,2,2,1,1,2,999,1,2,2,2013,2,1,,50,50,1,2,2,3,2,,,,3,,,2,3706001,99999999,3706001,99999999,"H03706-04-01",2551.70141601563
37070401,1,1,,1,3707002,2,1,1,1,1,999,1,2,1,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,3707001,99999999,3707001,99999999,"H03707-04-01",1275.85070800781
37070401,2,1,,2,3707002,2,1,3,1,1,2005,1,1,1,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,3707001,99999999,3707001,99999999,"H03707-04-01",1275.85070800781
37070401,3,1,,1,3707002,2,1,3,1,1,2007,2,1,1,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,3707001,99999999,3707001,99999999,"H03707-04-01",1275.85070800781
37090401,1,1,,1,3709001,2,2,2,1,1,2005,1,1,1,9999,,,,100,100,1,2,2,1,2,,,,3,,,2,3709001,99999999,3709001,99999999,"H03709-04-01",2551.70141601563
37110402,1,1,2.45000004768372,3,3711006,1,,1,2,2,2004,1,2,2,9999,,,,100,100,3,1,2,2,2,,,,4,3711006,3711008,2,,,3711006,3711008,"H03711-04-02",637.925354003906
38070401,1,1,0.5,0.5,3807005,1,,1,1,2,999,1,1,1,9999,,,,100,70,3,2,3,5,2,,,,4,3807001,,2,,,3807001,99999999,"H03807-04-01",2551.70141601563
38100401,1,1,,0.0199999995529652,3810010,2,4,1,1,1,999,1,1,1,9999,,,,100,100,3,2,3,5,1,2,11,11,3,,,1,3810010,99999999,3810001,99999999,"H03810-04-01",2551.70141601563
39020401,1,1,1.35000002384186,1,3902002,1,,1,1,1,1983,1,1,1,2013,3,3,,80,80,1,2,2,2,2,,,,4,3902001,3902002,2,,,3902001,3902002,"H03902-04-01",2551.70141601563
39060401,1,1,,1,3906002,2,4,1,1,1,999,1,2,2,2011,2,3,,50,50,3,1,2,3,2,,,,4,3906001,3906006,2,,,3906001,3906006,"H03906-04-01",2551.70141601563
39070401,1,1,,3,3907002,2,1,1,1,2,2000,1,1,1,2009,2,3,,80,80,1,1,2,4,2,,8,,1,,,2,3907001,99999999,3907001,3907002,"H03907-04-01",2551.70141601563
39090401,1,1,0.129999995231628,0.25,3909002,1,,1,1,1,1993,1,2,2,9999,,,,100,100,1,1,1,2,2,,,,2,,,1,3909001,99999999,3909001,99999999,"H03909-04-01",1275.85070800781
39090402,1,1,2.67000007629395,2.5,3909026,1,,1,1,2,999,1,1,1,2013,2,3,,90,90,1,1,2,2,2,,,,1,,,2,3909026,99999999,3909026,3909027,"H03909-04-02",1275.85070800781
39090402,2,1,,1,3909026,2,2,2,1,1,1978,1,3,3,9999,,,0,,,1,1,2,2,2,,,,2,,,2,3909026,99999999,3909026,3909027,"H03909-04-02",1275.85070800781
39090402,3,1,,1,3909026,2,2,2,1,2,2012,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,3909026,3909027,2,,,3909026,3909027,"H03909-04-02",1275.85070800781
39100401,1,1,2.00999999046326,2,3910001,1,,1,1,2,999,1,2,2,9999,,,,70,70,2,1,2,3,1,2,8,,4,3910001,,1,,,3910001,3910002,"H03910-04-01",2551.70141601563
39100401,3,1,1.20000004768372,1,3910001,1,,1,1,1,1996,1,2,2,9999,,,,100,100,2,1,2,3,2,,,,4,3910001,3910002,1,,,3910001,3910002,"H03910-04-01",2551.70141601563
40010401,2,1,,2.5,4001002,2,1,3,3,2,1990,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,4,4001001,4001002,2,,,4001001,4001002,"H04001-04-01",2551.70141601563
40030401,2,1,,2,4003002,2,1,3,1,2,999,1,2,2,9999,,,,100,100,1,3,2,2,2,,,,4,4003001,,2,,,4003001,99999999,"H04003-04-01",850.567138671875
40030401,3,1,,1,4003002,2,1,1,1,2,999,1,1,1,9999,,,,100,100,2,3,2,5,2,,,,4,4003001,,2,,,4003001,99999999,"H04003-04-01",850.567138671875
40030401,4,1,6.5,6,4003002,1,,1,1,1,999,1,2,2,9999,,,,100,100,1,2,2,3,2,,,,3,,,2,4003001,99999999,4003001,4003002,"H04003-04-01",850.567138671875
40040401,1,1,0.170000001788139,0.5,4004001,1,,1,1,1,2009,1,2,2,9999,,,,100,100,1,3,2,2,2,,,,3,,,2,4004001,99999999,4004001,99999999,"H04004-04-01",2551.70141601563
40050401,1,1,,1,4005001,2,2,1,1,2,2002,1,2,2,9999,,,,100,100,1,1,2,2,2,,,,4,4005001,,2,,,4005001,99999999,"H04005-04-01",2551.70141601563
40070401,1,1,0.870000004768372,1,4007001,1,,1,3,2,1992,1,2,2,9999,,,,80,80,1,1,2,2,2,,,,4,4007001,99999999,2,,,4007001,99999999,"H04007-04-01",2551.70141601563
40100401,1,1,1.01999998092651,1,4010001,1,,1,3,1,1987,1,1,2,9999,,,,100,100,1,1,2,3,2,,,,4,4010001,4010002,1,,,4010001,4010002,"H04010-04-01",1275.85070800781
40100401,2,1,,1.5,4010001,2,1,4,3,1,1989,1,1,1,9999,,,,100,100,2,1,2,2,2,,,,3,,,2,4010001,4010002,4010001,4010002,"H04010-04-01",1275.85070800781
40100401,3,1,,1,4010001,2,1,3,3,1,1999,1,2,2,9999,,,,100,100,1,2,2,3,2,,,,3,,,2,4010001,4010002,4010001,4010002,"H04010-04-01",1275.85070800781
40110401,1,1,,1.5,4011001,2,1,3,1,1,2010,1,1,1,9999,,,,100,100,2,1,3,5,2,,,,3,,,2,4011001,99999999,4011001,99999999,"H04011-04-01",1275.85070800781
42010401,1,1,,5,4201001,2,3,1,4,1,1980,1,1,1,9999,,,,100,100,1,2,2,3,2,,,,4,4201001,,1,,,4201001,99999999,"H04201-04-01",2551.70141601563
42010401,3,1,,0.5,4201001,2,2,1,3,1,1986,1,2,2,9999,,,,100,100,1,2,2,2,2,,,,3,,,2,4201001,99999999,4201001,99999999,"H04201-04-01",2551.70141601563
42030401,1,1,0.25,0.25,4203002,1,,1,1,1,999,1,2,2,9999,,,,100,100,1,1,2,3,2,,,,3,,,2,4203001,99999999,4203001,99999999,"H04203-04-01",2551.70141601563
42040401,1,1,0.680000007152557,1,4204001,1,,1,1,2,999,1,1,1,9999,,,,100,100,3,1,2,2,2,,,,3,,,2,4204001,4204002,4204001,4204002,"H04204-04-01",2551.70141601563
42050401,2,1,,0.25,4205002,2,2,1,1,1,2010,1,1,1,9999,,,,100,100,2,3,2,3,2,,,,3,,,2,4205001,99999999,4205001,99999999,"H04205-04-01",2551.70141601563
42060401,1,1,0.180000007152557,0.25,4206001,1,,1,4,2,2012,1,1,1,2011,1,3,,100,100,1,2,2,2,2,,,,4,4206001,,2,,,4206001,99999999,"H04206-04-01",2551.70141601563
42060401,2,1,,3,4206001,2,4,3,4,2,9999,1,5,5,9999,,,,,,1,2,2,3,2,,,,4,4206001,99999999,2,,,99999999,4206001,"H04206-04-01",2551.70141601563
42070401,1,1,0.180000007152557,0.25,4207001,1,,1,1,1,2004,1,2,2,9999,,,,100,100,3,1,2,2,2,,,,3,,,2,4207001,4207002,4207002,4207001,"H04207-04-01",2551.70141601563
42070401,2,1,,1,4207001,2,2,2,1,2,999,1,2,2,9999,,,,75,75,3,1,1,2,2,,,,4,4207001,4207002,2,,,4207001,4207002,"H04207-04-01",2551.70141601563
42080402,1,1,,0.25,4208002,2,2,1,1,1,999,1,1,1,9999,,,,100,100,1,3,2,3,2,,,,3,,,2,4208001,99999999,4208001,99999999,"H04208-04-02",1275.85070800781
42090401,1,1,2.47000002861023,3,4209001,1,,1,1,1,999,1,1,1,9999,,,,70,100,1,1,2,3,1,2,1,8,4,4209001,,2,,,4209001,99999999,"H04209-04-01",2551.70141601563
42090401,2,1,,2,4209001,2,1,3,1,1,1989,1,1,1,2012,2,1,,100,50,2,2,2,3,1,2,8,,4,4209001,99999999,2,,,4209001,99999999,"H04209-04-01",2551.70141601563
42100401,1,1,,2,4210001,2,3,1,1,2,1995,1,1,1,9999,,,,90,80,1,2,2,2,2,,,,4,4210001,,2,,,4210001,4210002,"H04210-04-01",2551.70141601563
45090401,1,1,0.340000003576279,0.25,4509002,1,,1,1,1,2006,1,2,2,9999,,,,100,100,2,2,2,3,2,,,,1,,,2,4509001,4509002,4509001,4509002,"H04509-04-01",2792.466796875
45090401,2,1,,2,4509002,2,2,1,1,1,2009,1,1,1,9999,,,,100,25,2,2,2,3,2,,,,3,,,2,4509001,4509002,4509001,4509002,"H04509-04-01",2792.466796875
45090401,3,1,,4.01999998092651,4509002,2,1,4,1,1,999,1,2,2,9999,,,,100,100,2,1,2,3,2,,,,1,,,2,4509001,4509002,4509001,4509002,"H04509-04-01",2792.466796875
46020401,1,1,0.180000007152557,0.25,4602001,1,,1,1,1,999,1,2,1,9999,,,,100,100,2,3,2,3,2,,,,3,,,2,4602001,4602005,4602001,99999999,"H04602-04-01",2792.466796875
46020401,2,1,,0.5,4602001,2,4,3,1,2,999,1,2,2,9999,,,,100,100,3,1,2,3,2,,,,3,,,2,4602001,4602007,4602001,99999999,"H04602-04-01",2792.466796875
46030401,1,1,1.77999997138977,2,4603001,1,,1,4,2,999,1,2,2,9999,,,,100,100,1,2,2,3,2,,,,4,4603001,,2,,,4603001,99999999,"H04603-04-01",2792.466796875
46040401,1,1,0.469999998807907,0.5,4604001,1,,1,1,1,1982,1,2,2,9999,,,,100,100,3,2,2,3,2,,,,3,,,2,4604001,4604002,4604001,4604002,"H04604-04-01",2792.466796875
46040401,2,1,,0.5,4604001,2,1,1,1,1,1982,1,5,5,2011,2,3,,,,3,3,2,1,2,,,,3,,,2,4604001,4604002,4604001,4604002,"H04604-04-01",2792.466796875
46060401,1,1,0.349999994039536,0.5,4606011,1,,1,1,2,999,1,1,1,9999,,,,100,100,3,1,2,3,2,,,,4,4606010,,1,,,4606010,4606011,"H04606-04-01",1396.2333984375
46060401,2,1,,1,4606011,2,2,2,1,2,999,1,2,1,2012,2,3,,100,50,2,2,2,3,2,,,,4,4606010,,1,,,4606010,4606011,"H04606-04-01",1396.2333984375
46060402,1,1,3.5,1,4606019,1,,1,1,1,1965,1,2,2,9999,,,,100,100,1,1,2,3,2,,,,3,,,1,4606019,99999999,4606019,99999999,"H04606-04-02",1396.2333984375
46080401,1,1,0.230000004172325,0.25,4608001,1,,1,2,1,1998,1,2,2,9999,,,,100,100,3,1,2,3,2,,,,3,,,2,4608001,4608002,4608001,4608002,"H04608-04-01",2792.466796875
46080401,2,1,0.449999988079071,0.25,4608001,1,,4,1,1,1999,1,2,2,9999,,,,75,75,1,1,2,2,2,,,,3,,,2,4608001,4608002,4608001,4608002,"H04608-04-01",2792.466796875
46080401,3,1,,1,4608001,2,1,4,2,1,2005,1,2,2,9999,,,,100,100,3,2,2,3,2,,,,3,,,2,4608001,4608002,4608001,4608002,"H04608-04-01",2792.466796875
46080401,4,1,,0.25,4608001,2,1,3,1,1,2004,1,2,2,9999,,,,100,100,2,1,2,3,2,,,,3,,,2,4608001,4608002,4608001,4608002,"H04608-04-01",2792.466796875
46080401,5,1,,0.25,4608001,2,1,4,1,1,2009,1,2,2,9999,,,,100,100,3,1,2,3,2,,,,3,,,2,4608001,4608002,4608001,4608002,"H04608-04-01",2792.466796875
46080401,6,1,,0.200000002980232,4608001,2,1,4,1,1,2011,1,1,1,9999,,,,100,100,3,1,2,3,2,,,,3,,,2,4608001,4608002,4608001,4608002,"H04608-04-01",2792.466796875
46090401,1,1,3.57999992370605,2,4609003,1,,1,4,2,2010,1,2,2,9999,,,,100,100,1,2,2,3,2,,,,4,4609003,99999999,2,,,4609003,99999999,"H04609-04-01",2792.466796875
46100401,1,1,3.44000005722046,2,4610001,1,,1,4,2,1965,1,1,1,9999,,,,100,100,1,2,2,3,2,,,,4,4610001,,2,,,4610001,99999999,"H04610-04-01",930.822265625
46100401,2,1,1.49000000953674,1.5,4610001,1,,1,4,2,1965,1,2,2,9999,,,,100,100,1,2,2,3,2,,,,4,4610001,,2,,,4610001,99999999,"H04610-04-01",930.822265625
46100403,1,1,0.670000016689301,2,4610003,1,,2,4,2,2013,1,1,1,9999,,,,100,100,1,2,2,3,2,,,,4,4610003,,1,,,4610003,99999999,"H04610-04-03",930.822265625
48020402,1,1,1.9099999666214,2,4802004,1,,1,1,2,2003,1,2,2,9999,,,,75,100,3,1,2,2,2,,,,4,4802004,4802013,2,,,4802004,4802013,"H04802-04-02",930.822265625
48030402,1,1,2.01999998092651,2,4803001,1,,1,3,1,1960,1,2,2,2011,1,3,,100,100,3,2,2,2,1,2,1,1,3,,,2,4803001,99999999,4803001,99999999,"H04803-04-02",2792.466796875
48040401,1,1,,2,4804002,2,4,1,1,1,999,1,2,2,9999,,,,100,100,1,1,2,3,2,,,,3,,,1,4804001,99999999,4804001,99999999,"H04804-04-01",2792.466796875
48040401,2,1,,2.5,4804002,2,4,1,1,1,1980,1,2,2,9999,,,,100,100,1,1,2,3,2,,,,3,,,1,4804001,99999999,4804001,99999999,"H04804-04-01",2792.466796875
48050401,1,1,,0.5,4805008,2,2,1,1,1,1963,1,2,2,9999,,,,100,100,3,1,2,3,2,,,,4,4805008,4805001,2,,,4805008,4805002,"H04805-04-01",2792.466796875
48060401,1,1,3.53999996185303,2,4806002,1,,1,1,2,1998,1,2,2,9999,,,,100,100,3,1,2,3,1,2,6,6,4,4806001,4806002,2,,,4806001,4806002,"H04806-04-01",2792.466796875
48070401,1,1,0.100000001490116,0.25,4807001,1,,1,3,1,2002,1,2,2,9999,,,,100,100,3,2,2,2,2,,,,3,,,2,4807001,99999999,4807001,99999999,"H04807-04-01",2792.466796875
48080401,1,1,0.280000001192093,0.5,4808001,1,,1,1,2,999,1,2,2,9999,,,,100,100,2,2,2,3,2,,,,4,4808001,,2,,,4808001,,"H04808-04-01",1396.2333984375
48080401,2,1,,1.5,4808001,2,1,3,1,1,1989,1,1,1,2012,2,1,,70,70,2,2,2,3,2,,,,3,,,2,4808001,,4808001,,"H04808-04-01",1396.2333984375
48100401,1,1,0.0199999995529652,0.119999997317791,4810001,1,,1,1,1,1993,1,1,1,9999,,,,100,100,1,3,2,2,2,,,,3,,,2,4810001,99999999,4810001,99999999,"H04810-04-01",2792.466796875
49030401,1,1,,2,4903001,2,2,1,1,2,1986,1,1,1,2013,10,3,,80,100,1,1,2,3,1,6,6,6,3,,,2,4903001,99999999,4903001,4903002,"H04903-04-01",2792.466796875
49050401,1,1,2.44000005722046,2,4905001,1,,1,1,1,1979,1,1,1,2011,1,1,,100,100,2,1,2,4,2,,,,3,,,2,4905001,4905002,4905001,4905002,"H04905-04-01",2792.466796875
49050401,2,1,,1,4905001,2,2,3,1,1,2006,1,1,1,9999,,,,100,100,3,1,2,3,2,,,,3,,,2,4905001,4905002,4905001,4905002,"H04905-04-01",2792.466796875
49050401,3,1,0.680000007152557,1.25,4905001,1,,2,1,1,1998,1,1,1,9999,,,,100,100,3,1,2,4,2,,,,3,,,2,4905001,4905002,4905001,4905002,"H04905-04-01",2792.466796875
49050401,4,1,,0.5,4905001,2,3,1,1,1,1979,1,7,7,9999,,,,,,2,1,2,3,2,,,,3,,,2,4905001,4905002,4905001,4905002,"H04905-04-01",2792.466796875
49070401,1,1,2.3199999332428,2,4907001,1,,1,3,2,1979,1,1,1,9999,,,,100,100,3,1,2,4,2,,,,4,4907001,4907002,2,,,4907001,4907002,"H04907-04-01",2792.466796875
49070401,3,1,0.740000009536743,0.5,4907001,1,,1,3,2,1979,1,6,6,9999,,,,,,2,3,2,4,2,,,,4,4907001,4907002,2,,,4907001,4907002,"H04907-04-01",2792.466796875
49080401,1,1,1.50999999046326,1.5,4908002,1,,1,1,1,1999,1,2,2,9999,,,,100,100,3,1,2,4,2,,,,4,4908001,4908002,2,,,4908001,4908002,"H04908-04-01",2792.466796875
49080401,2,1,,1,4908002,2,2,1,1,2,999,1,1,1,9999,,,,100,100,3,1,2,4,2,,,,4,4908001,,2,,,4908001,4908002,"H04908-04-01",2792.466796875
49080401,3,1,,0.75,4908002,2,1,3,1,2,1986,2,1,1,9999,,,,100,100,3,1,2,5,2,,,,4,4908002,4908001,2,,,4908002,4908001,"H04908-04-01",2792.466796875
49090401,1,1,1.29999995231628,1,4909002,1,,1,1,2,999,1,2,1,9999,,,,100,100,3,1,2,4,2,,,,3,,,2,4909001,99999999,4909001,4909002,"H04909-04-01",2792.466796875
49090401,2,1,0.319999992847443,0.200000002980232,4909002,1,,1,1,2,999,1,2,2,9999,,,,100,100,3,1,2,3,2,,,,4,4909001,4909002,2,,,4909001,4909002,"H04909-04-01",2792.466796875
49090401,3,1,1.21000003814697,0.75,4909002,1,,2,1,2,999,1,2,2,9999,,,,100,100,3,1,2,4,2,,,,4,4909001,4909002,2,,,4909001,4909002,"H04909-04-01",2792.466796875
49090401,4,1,1.88999998569489,1.5,4909002,1,,2,1,1,2005,1,1,1,9999,,,,100,100,3,1,2,4,2,,,,3,,,2,4909001,99999999,4909001,4909002,"H04909-04-01",2792.466796875
49100401,1,1,,3,4910002,2,2,1,1,1,1974,1,2,1,9999,,,,100,100,1,2,2,3,2,,,,3,,,2,4910001,99999999,4910001,4910002,"H04910-04-01",2792.466796875
49100401,2,1,,2,4910002,2,2,1,1,1,1984,1,1,1,9999,,,,100,100,1,2,2,1,2,,,,3,,,2,4910001,99999999,4910001,4910002,"H04910-04-01",2792.466796875
49100401,3,1,,2,4910002,2,3,2,1,1,1998,1,1,1,2013,26,3,,70,70,1,2,2,1,2,,,,3,,,2,4910001,99999999,4910001,4910002,"H04910-04-01",2792.466796875
49100401,4,1,,2,4910002,2,2,2,1,1,2003,1,1,1,9999,,,,100,100,1,2,2,5,2,,,,3,,,2,4910001,99999999,4910001,4910002,"H04910-04-01",2792.466796875
49120401,1,1,1.25999999046326,1.5,4912001,1,,1,1,1,2000,1,1,1,9999,,,,100,100,2,2,2,1,2,,,,3,,,2,4912001,99999999,4912001,4912002,"H04912-04-01",2792.466796875
49120401,2,1,,1,4912001,2,2,1,1,1,2005,1,6,6,9999,,,,,,2,1,2,1,2,,,,3,,,2,4912001,99999999,4912001,4912002,"H04912-04-01",2792.466796875
49130401,1,1,0.409999996423721,0.25,4913001,1,,1,1,1,2002,1,1,1,9999,,,,100,100,2,3,2,2,2,,,,4,4913001,4913002,2,,,4913001,4913002,"H04913-04-01",465.4111328125
49130402,1,1,0.349999994039536,0.5,4913023,1,,2,1,2,2012,1,2,2,9999,,,,100,100,2,1,2,3,2,,,,4,4913023,,2,,,4913023,4913025,"H04913-04-02",465.4111328125
49130403,1,1,0.310000002384186,0.600000023841858,4913007,1,,1,1,2,2011,1,1,1,9999,,,,100,100,2,3,2,4,2,,,,4,4913007,,2,,,4913007,4913022,"H04913-04-03",465.4111328125
49130403,2,1,0.419999986886978,0.600000023841858,4913007,1,,2,1,2,2011,1,1,1,9999,,,,100,100,2,2,2,3,2,,,,4,4913007,,2,,,4913007,4913022,"H04913-04-03",465.4111328125
49130405,1,1,0.990000009536743,1,4913005,1,,1,1,1,1991,2,2,2,9999,,,,100,100,3,2,2,4,2,,,,4,4913005,,2,,,4913005,4913006,"H04913-04-05",465.4111328125
49130405,2,1,0.759999990463257,0.5,4913005,1,,2,1,1,1993,1,2,2,9999,,,,100,100,3,1,2,3,2,,,,4,4913006,,2,,,4913011,4913005,"H04913-04-05",465.4111328125
49130405,3,1,,1,4913005,2,1,2,1,1,2003,1,1,96,9999,,,,100,,1,3,2,4,2,,,,4,4913006,,2,,,4913005,4913011,"H04913-04-05",465.4111328125
49130405,4,1,,0.25,4913005,2,2,3,1,1,2001,1,1,1,9999,,,,100,100,1,3,2,3,2,,,,4,4913006,,2,,,4913006,4913005,"H04913-04-05",465.4111328125
49130405,5,1,,0.5,4913011,2,1,3,1,1,2007,1,1,1,9999,,,,100,100,1,3,2,3,2,,,,4,4913006,,2,,,4913005,4913006,"H04913-04-05",465.4111328125
49130406,1,1,,1,4913015,2,2,1,1,1,2006,1,1,1,9999,,,,100,100,1,1,2,3,1,6,6,6,3,,,2,4913013,99999999,4913013,4913015,"H04913-04-06",465.4111328125
49130406,2,1,,1,4913015,2,1,4,1,1,1998,1,5,5,2013,4,3,,,,1,1,2,1,2,,,,3,,,2,4913013,99999999,4913013,4913015,"H04913-04-06",465.4111328125
50020401,1,1,0.469999998807907,0.5,5002002,1,,1,3,1,1960,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,3,,,2,5002001,99999999,5002001,99999999,"H05002-04-01",2792.46655273438
50020401,2,1,,0.5,5002002,2,1,5,3,1,1960,1,1,1,9999,,,,100,100,1,2,2,2,1,2,1,8,3,,,2,5002001,99999999,5002001,99999999,"H05002-04-01",2792.46655273438
50020401,3,1,,0.25,5002001,2,2,1,1,1,2000,1,2,2,9999,,,,80,80,1,2,2,2,2,,,,4,5002001,99999999,2,,,5002001,99999999,"H05002-04-01",2792.46655273438
50030401,1,1,1.32000005245209,1.5,5003001,1,,1,1,1,1998,1,1,1,9999,,,,90,90,3,1,2,3,1,1,6,6,3,,,2,5003002,5003001,5003002,5003001,"H05003-04-01",1396.23327636719
50030401,2,1,,1.5,5003001,2,2,2,1,1,1992,1,1,1,9999,,,,100,100,6,2,2,1,1,1,6,6,3,,,2,5003002,5003001,5003002,5003001,"H05003-04-01",1396.23327636719
50040401,1,1,2.6800000667572,2,5004001,1,,1,1,2,1962,1,2,2,9999,,,,90,100,3,1,2,3,2,,,,4,5004001,5004002,2,,,5004001,5004002,"H05004-04-01",2792.46655273438
50050401,1,1,1.52999997138977,1.5,5005001,1,,1,1,1,1969,1,1,1,9999,,,,100,100,6,2,2,3,1,1,6,6,3,,,2,5005001,5005002,5005001,5005002,"H05005-04-01",2792.46655273438
50060401,2,1,0.430000007152557,0.25,5006001,1,,1,1,2,999,1,1,1,9999,,,,100,100,2,2,2,3,2,,,,4,5006001,,2,,,5006001,99999999,"H05006-04-01",2792.46655273438
50070401,1,1,2.61999988555908,2,5007002,1,,1,1,2,999,1,1,1,9999,,,,100,100,2,2,2,3,2,,,,4,5007001,,2,,,5007001,5007002,"H05007-04-01",2792.46655273438
50070401,2,1,,1,5007002,2,1,2,1,1,2007,1,1,1,9999,,,,100,100,2,2,1,3,2,,,,3,,,2,5007001,5007002,5007001,5007002,"H05007-04-01",2792.46655273438
50080401,1,1,1.04999995231628,1,5008002,1,,1,1,2,999,1,1,1,9999,,,,100,100,2,1,2,3,2,,,,4,5008001,,2,,,5008001,99999999,"H05008-04-01",2792.46655273438
50090401,1,1,,1,5009001,2,1,1,3,1,2000,1,1,1,9999,,,,100,100,1,1,2,2,2,,,,3,,,2,5009001,99999999,5009001,99999999,"H05009-04-01",2792.46655273438
50090401,2,1,,0.5,5009001,2,1,3,3,1,2004,1,1,5,9999,,,,100,,1,1,2,2,2,,,,3,,,2,5009001,99999999,5009001,99999999,"H05009-04-01",2792.46655273438
50090401,3,1,,1,5009001,2,4,1,3,1,1979,1,5,1,9999,,,,,100,1,1,2,2,2,,,,3,,,1,5009001,99999999,5009001,99999999,"H05009-04-01",2792.46655273438
50100401,1,1,1.70000004768372,1,5010002,1,,1,3,1,2011,1,1,1,9999,,,,80,80,1,1,2,2,2,,,,3,,,2,5010001,5010002,5010001,5010002,"H05010-04-01",2792.46655273438
50100401,2,1,1.0900000333786,1,5010002,1,,1,3,1,2000,1,2,2,9999,,,,100,100,1,1,2,2,2,,,,3,,,2,5010001,5010002,5010001,5010002,"H05010-04-01",2792.46655273438
51010401,1,1,,1,5101008,2,3,1,1,1,1988,1,2,2,2009,0,3,,90,90,3,3,2,4,2,,6,8,1,,,2,5101007,5101011,5101011,5101007,"H05101-04-01",2792.466796875
51010401,2,1,,1,5101008,2,3,1,1,2,999,1,1,1,2011,1,3,,100,100,1,2,2,3,2,,3,8,1,,,1,5101007,5101011,5101007,5101011,"H05101-04-01",2792.466796875
