"District_Name","SubCounty","Parish","Villagecode","C3BQ14A","C3BQ14B","C3BQ15","C3BQ16","C3BQ17A","C3BQ17B","C3BQ17C","C3BQ18","C3BQ19","C3BQ20","Survey_Visit","Education_Response","Reason_Edu_Not_Done"
101,101204,10120402,1012040204,,,,,,,,,,,2,3,"no school at the island"
102,102101,10210104,1021010402,9,8,1,1,4,4,0,2,1,1,2,1,
102,102101,10210108,1021010802,4,5,1,1,2,2,0,1,1,2,2,2,
102,102102,10210202,1021020205,9,9,3,2,,,,1,1,2,2,2,
102,102102,10210205,1021020504,7,7,2,1,1,1,0,2,1,1,2,1,
102,102102,10210206,1021020601,3,3,1,1,1,1,0,2,1,2,2,3,"The school was still closed for holidays"
102,102102,10210208,1021020805,5,5,2,1,3,3,0,2,1,2,2,1,
102,102103,10210301,1021030109,8,8,2,2,,,,1,1,2,2,1,
102,102103,10210302,1021030203,2,2,2,1,0,0,1,2,2,,2,1,
102,102103,10210304,1021030412,,,,,,,,,,,2,3,"holiday"
102,102103,10210305,1021030504,5,5,1,1,1,1,0,1,1,2,1,2,
102,102103,10210305,1021030509,14,6,2,1,2,2,0,2,1,8,2,3,"No Contact"
102,102103,10210306,1021030606,6,3,1,1,2,2,0,2,1,1,2,3,"school closed for holidays"
102,102103,10210308,1021030803,3,3,2,1,1,1,0,2,1,2,2,,
102,102103,10210309,1021030904,2,2,1,2,,,,2,2,,1,1,
102,102103,10210309,1021030904,2,2,1,2,,,,2,2,,2,1,
102,102103,10210312,1021031208,11,11,2,1,1,1,0,2,1,2,2,2,
102,102104,10210401,1021040102,2,2,3,2,,,,2,1,2,2,3,"THE SCHOOL WAS STILL CLOSED FOR HOLIDAYS"
102,102104,10210402,1021040203,,,,,,,,,,,1,3,
102,102104,10210410,1021041002,3,3,1,2,,,,2,2,,2,2,
102,102104,10210411,1021041118,,,,,,,,,,,2,,
102,102104,10210417,1021041701,12,12,2,1,6,6,0,1,1,1,2,3,"no one was present at school"
102,102104,10210419,1021041903,6,6,1,1,0,0,5,2,2,,2,3,"SCHOOL CLOSED FOR HOLIDAY"
102,102105,10210501,1021050106,2,2,3,1,1,1,0,2,2,,2,1,
102,102105,10210503,1021050307,,,,,,,,,,,2,3,"CALL BACK. PERSON RESPONSIBLE NOT AROUND EVEN ON VISIT 2 ITS STILL AN APPOINTMENT BUT THEY ARE JUST TOSSING ME AROUND"
102,102105,10210504,1021050405,10,10,2,1,1,1,0,2,1,1,2,3,
102,102105,10210510,1021051004,,,,,,,,,,,2,3,"THE SCHOOL HAD CLOSED FOR HOLIDAYS"
102,102105,10210513,1021051305,4,8,1,2,,,,2,1,2,2,3,"THE SCHOOL WAS CLOSED SINCE IT WAS STILL HOLIDAY TIME"
102,102105,10210515,1021051506,6,6,3,1,2,2,0,1,1,2,2,2,
102,102105,10210518,1021051832,5,4,3,2,,,,2,1,2,2,1,
103,103105,10310505,1031050505,5,5,1,2,,,,1,2,,2,3,"On holiday"
104,104102,10410204,1041020405,3,6,3,1,1,1,0,2,1,2,2,1,
104,104104,10410403,1041040304,4,5,2,1,1,2,0,1,1,2,2,2,
104,104105,10410504,1041050403,4,4,3,1,0,0,4,2,1,2,2,1,
104,104208,10420804,1042080404,15,14,2,1,1,1,0,1,1,2,2,2,
105,105105,10510502,1051050201,4,17,1,1,1,1,0,2,1,2,2,2,
106,106101,10610101,1061010108,4,4,3,1,0,0,3,2,1,8,2,1,
106,106101,10610109,1061010902,5,3,3,1,0,0,2,2,1,2,2,3,"On holiday"
106,106106,10610606,1061060602,3,6,3,1,1,1,0,2,2,,2,1,
107,107105,10710503,1071050302,4,4,3,2,,,,1,1,2,2,1,
107,107105,10710505,1071050503,3,7,1,1,2,2,0,2,2,,2,1,
107,107202,10720206,1072020601,1,2,3,1,1,1,0,2,2,,2,1,
107,107302,10730203,1073020305,9,10,3,1,4,4,0,2,2,,2,3,"On holiday"
107,107305,10730507,1073050702,3,2,3,1,2,3,0,1,2,,2,3,"On holiday"
108,108106,10810603,1081060309,4,4,2,2,,,,2,1,2,2,3,"On holiday"
108,108301,10830101,1083010101,,,,,,,,,,,2,3,"On holiday"
108,108301,10830105,1083010505,9,6,3,1,0,0,6,1,2,,2,3,"On holiday"
108,108305,10830502,1083050204,5,10,3,1,5,5,5,1,2,,2,1,
110,110105,11010501,1101050107,5,5,2,1,3,3,0,1,2,,2,1,
110,110203,11020306,1102030601,5,4,3,1,1,1,0,1,2,,2,2,
110,110204,11020401,1102040107,2,2,3,1,0,0,1,2,2,,2,3,"On holiday"
