"District_Name","SubCounty","Parish","Villagecode","C3BQ14A","C3BQ14B","C3BQ15","C3BQ16","C3BQ17A","C3BQ17B","C3BQ17C","C3BQ18","C3BQ19","C3BQ20","Survey_Visit","Education_Response","Reason_Edu_Not_Done"
110,110206,11020603,1102060309,1,1,1,1,0,0,1,2,2,,1,2,
110,110207,11020704,1102070403,3,2,3,1,1,1,0,2,2,,2,1,
110,110305,11030501,1103050102,6,6,2,2,,,,2,1,2,2,1,
110,110306,11030601,1103060102,7,8,1,1,2,1,0,2,1,2,2,2,
111,111102,11110201,1111020105,2,2,1,1,1,1,0,2,2,,2,1,
111,111202,11120204,1112020403,3,5,2,1,1,1,0,1,1,2,2,1,
111,111202,11120206,1112020618,3,3,1,1,1,1,0,2,2,,2,1,
112,112102,11210203,1121020302,1,1,3,1,0,0,1,2,2,,2,2,
112,112104,11210402,1121040209,5,8,2,2,,,,2,1,2,2,1,
112,112203,11220301,1122030104,7,8,1,1,2,2,0,2,2,,2,3,"On holiday"
112,112204,11220403,1122040303,4,4,1,2,,,,2,1,1,2,1,
113,113105,11310504,1131050402,0,3,3,2,,,,2,2,,2,3,"On holiday"
113,113105,11310505,1131050505,5,5,2,1,2,2,0,2,1,1,2,1,
113,113111,11311102,1131110205,15,10,2,1,0,0,5,1,1,2,2,1,
113,113112,11311203,1131120307,3,3,1,1,0,0,1,2,1,2,2,1,
113,113113,11311302,1131130204,11,12,1,1,1,1,0,1,1,1,2,1,
113,113113,11311306,1131130602,5,10,2,1,2,3,0,1,1,2,2,1,
113,113303,11330301,1133030101,10,9,2,1,1,3,0,2,1,8,2,,
113,113303,11330301,1133030109,4,4,1,2,,,,2,1,2,2,3,"On holiday"
113,113303,11330305,1133030504,4,8,1,2,,,,2,1,2,2,1,
113,113304,11330403,1133040308,2,2,2,1,0,0,1,2,1,2,1,1,
113,113306,11330606,1133060601,10,12,1,1,4,1,0,2,1,1,2,1,
113,113307,11330701,1133070102,20,20,1,1,0,0,4,2,1,3,2,1,
115,115103,11510302,1151030204,17,16,2,2,,,,1,2,,2,3,"Weekend"
115,115104,11510403,1151040307,2,2,1,2,,,,2,2,,2,3,"on holiday"
115,115202,11520209,1152020907,3,0,3,1,0,0,3,1,2,,2,1,
115,115203,11520307,1152030702,6,12,3,1,0,0,1,2,2,,2,1,
115,115205,11520504,1152050405,3,3,1,2,,,,2,1,2,2,1,
115,115207,11520703,1152070306,2,5,1,2,,,,1,2,,2,1,
116,116102,11610205,1161020501,3,3,1,2,,,,2,2,,2,1,
117,117103,11710308,1171030802,2,2,2,1,2,2,0,2,2,,2,1,
117,117104,11710405,1171040504,3,4,3,1,2,3,1,2,1,2,2,1,
117,117110,11711003,1171100309,,,,,,,,,,,1,3,"On holiday"
117,117110,11711003,1171100312,1,1,3,1,1,1,0,2,1,2,2,1,
118,118101,11810104,1181010407,2,3,1,1,1,1,0,2,2,,2,1,
119,119103,11910303,1191030304,5,5,3,2,,,,2,2,,2,1,
120,120105,12010502,1201050202,1,1,3,2,,,,2,2,,2,1,
122,122102,12210206,1221020604,2,2,3,2,,,,2,2,,2,1,
122,122105,12210502,1221050203,5,5,1,1,0,0,5,2,2,,2,1,
122,122106,12210602,1221060206,3,4,3,1,1,1,0,2,2,,2,1,
123,123108,12310803,1231080303,5,5,1,2,,,,2,2,,2,1,
124,124101,12410106,1241010603,5,5,1,1,1,1,0,2,1,2,2,2,
124,124103,12410302,1241030216,5,5,3,2,,,,2,2,,2,3,"Over a weekend"
124,124104,12410401,1241040102,5,5,3,1,0,0,1,2,2,,2,1,
124,124107,12410701,1241070106,2,2,3,2,,,,1,2,,2,1,
124,124108,12410802,1241080210,6,6,1,1,1,1,0,1,1,2,2,2,
201,201106,20110602,2011060205,4,7,3,1,1,1,0,1,2,,2,1,
201,201106,20110602,2011060205,4,7,3,1,1,1,0,1,2,,1,1,
201,201110,20111009,2011100902,5,5,1,2,,,,1,2,,2,3,"Away for holidays"
203,203202,20320203,2032020304,,,,,,,,,,,1,3,"OFF for HOLIDAY. HM NOT FOUND"
203,203301,20330101,2033010101,3,6,3,1,1,1,0,1,1,2,2,1,
203,203303,20330304,2033030403,5,5,3,1,0,0,2,1,2,,2,3,"Away for holiday."
204,204101,20410103,2041010302,9,9,2,1,2,3,0,1,1,1,2,,
204,204102,20410204,2041020405,4,2,3,2,,,,2,2,,2,2,
204,204203,20420301,2042030105,5,2,3,1,0,0,1,1,2,,2,1,
204,204301,20430101,2043010103,16,20,3,1,1,1,0,1,1,2,2,1,
204,204301,20430102,2043010202,9,10,3,1,3,3,0,1,1,2,2,2,
204,204302,20430205,2043020514,10,10,3,1,1,2,0,1,1,2,2,2,
205,205104,20510401,2051040101,0,18,3,1,3,2,0,2,1,8,2,1,
207,207103,20710301,2071030105,5,5,3,2,,,,1,2,,2,3,"THE SCHOOL WAS CLOSED FOR HOLIDAYS"
208,208102,20810214,2081021402,2,1,2,2,,,,2,1,3,1,1,
208,208102,20810214,2081021402,2,1,2,2,,,,2,1,3,2,1,
208,208104,20810404,2081040401,4,4,1,1,1,1,2,2,1,2,2,2,
208,208107,20810713,2081071301,2,2,3,2,,,,2,2,,2,2,
209,209201,20920101,2092010105,3,3,2,2,,,,1,1,2,2,1,
209,209201,20920104,2092010401,,,,,,,,,,,1,3,"not school day, weekend"
210,210205,21020504,2102050401,10,8,3,2,,,,1,1,2,2,1,
210,210205,21020504,2102050401,10,8,3,2,,,,1,1,2,1,1,
211,211101,21110105,2111010504,6,4,3,1,1,1,0,1,2,,2,3,"SCHOOL WAS CLOSED IT WAS HOLIDAYS"
211,211103,21110303,2111030302,0,0,3,2,,,,2,1,2,2,1,
211,211106,21110603,2111060303,3,2,2,2,,,,1,1,8,2,2,
212,212104,21210403,2121040306,5,5,2,1,1,1,0,1,2,,2,1,
212,212105,21210504,2121050407,5,3,2,1,1,1,0,1,1,2,2,1,
212,212202,21220201,2122020101,10,10,2,1,1,1,0,1,1,2,2,1,
212,212305,21230502,2123050204,7,12,1,2,,,,2,1,2,2,3,"holiday time"
212,212311,21231101,2123110101,5,10,1,2,,,,1,1,2,2,1,
214,214101,21410104,2141010403,2,3,3,2,,,,1,2,,2,2,
214,214101,21410106,2141010604,10,10,3,1,2,2,0,1,1,1,2,2,
214,214102,21410202,2141020206,2,2,3,1,0,0,1,2,2,,2,1,
214,214108,21410801,2141080105,2,2,3,1,1,1,0,1,2,,2,,
214,214113,21411301,2141130103,2,2,3,1,0,0,1,2,2,,2,1,
214,214113,21411303,2141130307,,,,,,,,,,,2,1,
214,214113,21411303,2141130307,,,,,,,,,,,2,,
214,214113,21411303,2141130307,12,8,3,1,2,3,0,1,2,,2,1,
214,214113,21411303,2141130307,12,8,3,1,2,3,0,1,2,,2,,
215,215109,21510902,2151090208,6,5,1,1,1,1,0,1,2,,1,2,
215,215115,21511502,2151150202,4,6,3,2,,,,2,2,,2,3,"holiday"
215,215120,21512002,2151200204,5,5,2,1,1,1,0,2,2,,2,3,
216,216202,21620203,2162020306,5,5,3,2,,,,1,1,8,2,1,
216,216202,21620203,2162020306,5,5,3,2,,,,1,1,8,1,1,
218,218103,21810302,2181030213,,,,,,,,,,,2,3,"HOLIDAY"
218,218115,21811504,2181150401,5,5,3,1,0,0,1,1,2,,2,3,"holiday"
219,219103,21910313,2191031301,5,5,3,2,,,,2,1,2,2,3,"THE SCHOOL WAS CLOSED BECAUSE IT WAS HOLIDAY TIME"
219,219103,21910317,2191031702,2,2,1,2,,,,1,2,,2,1,
219,219103,21910317,2191031702,2,2,1,2,,,,1,2,,1,1,
221,221109,22110902,2211090203,4,4,1,1,1,1,0,1,1,2,2,3,
221,221109,22110905,2211090505,5,6,3,1,2,1,0,1,1,2,2,1,
222,222106,22210602,2221060201,3,2,3,2,,,,1,2,,1,1,
223,223108,22310805,2231080506,2,2,2,2,,,,2,2,,2,1,
223,223120,22312002,2231200204,7,8,3,1,2,3,0,1,2,,1,2,
223,223121,22312101,2231210104,6,4,2,2,,,,1,1,2,2,1,
223,223121,22312101,2231210105,4,4,3,1,1,1,0,1,2,,2,3,"HOLIDAY/MUSIC FESTIVAL"
223,223121,22312103,2231210302,1,2,3,2,,,,2,2,,2,3,"holiday"
223,223126,22312601,2231260115,7,7,2,1,1,1,0,2,1,2,2,1,
223,223128,22312801,2231280102,3,3,3,1,1,1,0,1,1,2,2,2,
224,224105,22410505,2241050511,3,5,1,1,1,1,0,1,2,,2,,
225,225103,22510304,2251030415,2,3,1,1,0,0,1,1,2,,2,1,
225,225111,22511103,2251110322,3,2,3,1,0,0,2,2,2,,1,1,
226,226101,22610101,2261010102,2,2,3,2,,,,2,2,,2,1,
226,226103,22610302,2261030205,4,5,3,1,0,0,1,1,1,2,2,3,"weekend"
226,226103,22610303,2261030301,2,2,1,2,,,,2,1,2,2,,
226,226104,22610405,2261040510,3,3,1,2,,,,1,2,,2,1,
228,228102,22810203,2281020304,5,5,3,2,,,,2,2,,2,3,"holiday"
230,230107,23010709,2301070905,0,0,3,2,,,,2,2,,1,,
232,232101,23210104,2321010406,5,6,3,2,,,,1,2,,2,3,"SCHOOL WAS CLOSED FOR HOLIDAYS"
232,232203,23220304,2322030405,2,3,2,2,,,,2,2,,2,1,
302,302101,30210102,3021010215,5,3,3,2,,,,1,2,,2,,
302,302201,30220105,3022010508,12,12,3,1,0,0,1,2,2,,1,1,
302,302201,30220107,3022010708,2,3,3,2,,,,2,2,,1,3,"Holidays and no teachers  around for data"
302,302203,30220302,3022030205,15,10,1,1,1,1,0,1,1,2,2,,
302,302204,30220405,3022040505,5,8,3,2,,,,2,2,,2,1,
302,302205,30220505,3022050502,5,5,1,1,1,1,0,1,2,,1,2,
303,303201,30320102,3032010205,6,6,3,2,,,,1,1,2,2,1,
303,303202,30320207,3032020706,11,7,2,1,1,1,0,1,1,2,2,1,
303,303204,30320405,3032040506,9,8,1,1,1,1,0,1,1,2,2,3,"No respondent since the school closed for holiday"
303,303402,30340204,3034020408,5,5,3,1,1,1,0,1,2,,2,1,
303,303404,30340401,3034040102,3,3,3,1,1,1,0,1,2,,2,1,
303,303404,30340403,3034040304,5,5,1,2,,,,1,2,,2,1,
303,303405,30340507,3034050711,0,0,3,2,,,,2,2,,2,3,"SCHOOL CLOSED FOR HOLIDAYS"
303,303503,30350304,3035030411,5,4,2,2,,,,1,2,,2,,
303,303504,30350402,3035040205,5,5,1,2,,,,1,2,,2,1,
304,304102,30410201,3041020101,5,5,1,1,2,2,0,1,1,2,2,,
304,304204,30420401,3042040105,6,5,1,1,1,1,0,1,1,2,1,1,
304,304204,30420402,3042040201,5,5,1,1,2,3,0,2,1,2,2,2,
304,304301,30430104,3043010404,14,14,2,1,1,1,0,2,2,,2,2,
305,305102,30510208,3051020803,12,10,1,1,2,2,0,1,1,2,2,,
306,306102,30610203,3061020306,5,5,2,2,,,,1,2,,2,2,
306,306103,30610301,3061030101,4,4,1,2,,,,1,1,2,1,1,
306,306103,30610301,3061030101,4,4,1,2,,,,1,1,2,2,1,
306,306106,30610601,3061060103,10,10,2,1,2,2,0,2,1,8,2,1,
307,307108,30710802,3071080206,10,8,2,1,1,1,0,1,2,,2,,
307,307108,30710803,3071080301,5,6,3,2,,,,2,1,2,2,,
307,307202,30720203,3072020302,15,8,3,1,1,1,0,1,1,3,2,2,
308,308102,30810206,3081020606,6,6,1,2,,,,1,2,,2,1,
309,309102,30910205,3091020502,2,2,1,2,,,,2,2,,2,2,
309,309103,30910305,3091030501,5,10,3,2,,,,1,2,,2,1,
309,309204,30920406,3092040606,5,10,1,1,1,1,0,1,2,,2,3,"school closed for holidays"
310,310102,31010202,3101020203,5,5,1,1,1,1,0,2,2,,2,1,
310,310206,31020603,3102060309,4,4,2,1,2,2,0,1,2,,2,3,"SCHOOL CLOSED FOR HOLIDAYS"
310,310206,31020604,3102060408,5,4,1,1,1,1,0,1,2,,2,2,
310,310207,31020706,3102070603,5,5,3,1,2,2,0,1,2,,2,3,"SCHOOL CLOSED FOR HOLIDAY"
311,311103,31110302,3111030202,2,3,1,2,,,,2,2,,1,1,
311,311103,31110302,3111030202,2,3,1,2,,,,2,2,,2,1,
311,311302,31130201,3113020101,2,4,3,2,,,,2,1,8,2,2,
312,312105,31210502,3121050202,3,3,3,2,,,,2,2,,2,,
313,313102,31310205,3131020505,6,5,3,1,2,2,0,1,2,,2,3,"SCHOOL CLOSED FOR HOLIDAY"
313,313104,31310403,3131040312,5,5,1,2,,,,1,2,,2,3,"SCHOOL CLOSED FOR HOLIDAYS. NO ONE AROUND"
314,314103,31410304,3141030403,6,10,1,2,,,,1,2,,2,2,
317,317101,31710101,3171010102,10,5,2,2,,,,2,1,2,2,,
317,317102,31710202,3171020201,3,4,2,2,,,,2,2,,2,2,
317,317106,31710605,3171060512,14,5,1,1,0,0,1,1,1,2,2,2,
318,318103,31810302,3181030204,10,5,3,2,,,,1,2,,1,1,
318,318103,31810302,3181030204,10,5,3,2,,,,1,2,,2,1,
318,318107,31810705,3181070501,10,5,3,2,,,,2,2,,2,1,
318,318114,31811402,3181140207,5,5,3,2,,,,2,2,,2,3,"THE SCHOOL WAS CLOSED FOR HOLIDAYS"
319,319103,31910303,3191030304,15,11,1,1,2,1,0,1,1,2,2,3,"school closed for holidays.no one found to respond"
319,319105,31910508,3191050803,3,5,3,1,1,1,0,2,2,,2,1,
319,319107,31910702,3191070202,5,2,1,1,2,1,0,1,2,,2,1,
320,320103,32010303,3201030323,5,8,1,1,2,2,1,1,2,,2,1,
320,320108,32010808,3201080801,6,5,3,2,,,,1,2,,2,1,
321,321103,32110304,3211030405,5,10,3,2,,,,1,2,,2,,
321,321105,32110505,3211050502,4,4,3,2,,,,2,2,,2,3,"HOLIDAYS"
321,321106,32110601,3211060105,10,10,3,2,,,,1,2,,2,2,
321,321107,32110706,3211070617,2,2,3,2,,,,2,2,,2,1,
322,322108,32210802,3221080206,5,5,3,1,1,1,0,1,2,,2,3,"holidays"
322,322111,32211104,3221110412,5,6,3,1,3,2,0,1,2,,2,2,
323,323104,32310403,3231040301,7,4,3,1,0,0,1,2,2,,1,1,
323,323106,32310604,3231060409,10,5,3,2,,,,1,2,,2,,
323,323107,32310701,3231070104,5,6,2,1,1,1,0,1,1,2,1,3,"holidays"
323,323108,32310802,3231080204,9,7,3,2,,,,2,2,,2,1,
325,325101,32510102,3251010205,10,16,3,1,1,1,0,1,1,2,1,1,
325,325103,32510305,3251030508,10,10,2,1,1,1,0,1,2,,2,2,
325,325103,32510306,3251030601,4,9,3,2,,,,1,2,,2,2,
325,325103,32510306,3251030602,4,9,3,2,,,,1,2,,2,2,
327,327103,32710303,3271030305,2,1,1,2,,,,2,1,8,2,3,"IT WAS HOLIDAY TIME SO THE SCHOOL WAS CLOSED"
329,329106,32910602,3291060206,5,5,1,1,1,1,0,1,2,,2,,
330,330107,33010701,3301070101,9,4,3,1,2,2,0,1,2,,2,1,
330,330107,33010703,3301070303,4,0,2,1,0,0,2,1,1,2,2,1,
330,330110,33011001,3301100102,,,,,,,,,,,2,3,"SCHOOL CLOSED FOR HOLIDAY"
402,402207,40220705,4022070507,10,8,2,1,1,1,0,2,1,8,2,1,
402,402208,40220805,4022080505,9,9,1,1,1,1,0,2,1,2,1,1,
403,403101,40310102,4031010202,2,3,1,2,,,,2,2,,2,1,
403,403105,40310505,4031050502,9,7,1,1,1,1,0,2,1,2,2,3,"holiday time"
403,403201,40320102,4032010205,15,7,3,1,2,3,0,1,1,2,2,1,
403,403205,40320504,4032050403,2,2,3,1,0,0,1,2,2,,2,1,
403,403301,40330104,4033010412,,,,,,,,,,,2,3,"REFUSED"
404,404102,40410203,4041020302,4,5,3,1,0,0,1,2,2,,2,3,"SCHOOL IN HOLIDAY"
404,404207,40420704,4042070409,5,5,3,1,1,1,0,2,2,,2,3,"SCHOOL IN HOLIDAY"
404,404403,40440303,4044030303,2,2,3,2,,,,2,2,,2,1,
405,405104,40510402,4051040205,3,2,3,1,2,1,0,1,2,,2,2,
405,405208,40520803,4052080304,5,9,3,1,2,2,0,1,2,,2,1,
405,405211,40521103,4052110310,1,1,3,1,1,1,0,2,1,8,2,1,
405,405301,40530104,4053010409,5,5,2,1,1,1,0,1,1,2,2,1,
405,405302,40530203,4053020304,4,4,2,1,0,0,1,2,1,8,2,3,"HOLIDAY TIME"
406,406108,40610804,4061080401,2,2,3,1,1,1,0,2,2,,2,3,"HOLIDAY"
406,406201,40620102,4062010203,4,4,3,2,,,,2,2,,2,,
406,406210,40621003,4062100306,5,4,2,1,0,0,6,2,2,,2,1,
406,406212,40621201,4062120102,4,3,3,1,1,1,0,2,2,,2,1,
406,406303,40630307,4063030706,5,3,3,1,2,1,0,2,2,,2,1,
407,407202,40720204,4072020402,4,4,3,1,1,1,0,1,2,,2,3,"holiday"
407,407205,40720501,4072050104,,,,,,,,,,,2,3,"WEEKEND"
407,407303,40730303,4073030305,5,5,2,2,,,,1,2,,2,1,
407,407306,40730604,4073060419,2,2,3,2,,,,2,2,,2,3,"WEEKEND"
408,408102,40810201,4081020104,5,8,3,1,1,1,0,1,2,,2,1,
408,408112,40811202,4081120206,10,9,3,1,1,1,0,2,2,,1,1,
408,408113,40811304,4081130406,5,8,3,1,1,1,0,2,2,,2,1,
409,409101,40910104,4091010401,9,6,2,1,3,3,0,2,1,2,2,2,
409,409203,40920305,4092030509,6,6,3,1,1,1,0,1,2,,2,3,"HOLIDAY &WEEKEND"
409,409301,40930103,4093010304,6,7,1,1,2,3,0,2,1,2,2,1,
410,410102,41010204,4101020405,7,5,2,1,2,2,0,2,2,,1,1,
410,410105,41010502,4101050204,7,6,2,1,2,2,0,1,1,2,2,3,"Not done schools in holidays"
410,410201,41020101,4102010106,30,35,1,1,5,5,0,1,1,3,1,1,
410,410201,41020101,4102010107,,,,,,,,,,,2,3,"SCHOOL IN HOLIDAY"
410,410201,41020101,4102010107,10,9,1,1,1,1,0,1,1,2,2,3,"SCHOOL IN HOLIDAY"
410,410303,41030306,4103030601,5,5,3,1,0,0,1,2,2,,1,1,
411,411103,41110301,4111030105,8,10,1,1,0,0,2,2,2,,1,1,
411,411203,41120302,4112030202,3,4,3,1,2,1,0,2,1,2,2,3,"Shools in holidays"
411,411302,41130202,4113020204,4,4,3,1,1,1,0,2,2,,2,3,"schools in holidays"
411,411304,41130402,4113040203,4,4,3,1,1,1,0,2,2,,2,1,
411,411402,41140202,4114020204,6,2,3,1,0,0,2,2,2,,1,1,
411,411403,41140303,4114030308,2,1,3,1,1,1,0,2,2,,2,3,"SCHOOL CLOSED FOR HOLIDAYS"
412,412103,41210304,4121030414,5,4,3,2,,,,1,2,,2,1,
412,412201,41220107,4122010704,2,2,3,1,0,0,1,1,2,,2,1,
412,412203,41220304,4122030405,4,6,3,1,1,1,0,1,1,2,2,3,"SCHOOLS IN HOLIDAYS FULLY CLOSED"
414,414116,41411601,4141160106,1,2,2,1,1,1,0,2,2,,2,1,
415,415105,41510502,4151050204,3,3,3,1,1,1,0,2,2,,2,2,
415,415106,41510608,4151060812,5,10,1,1,1,1,0,1,2,,2,1,
415,415110,41511004,4151100404,9,10,3,2,,,,1,2,,2,3,"HOLIDAY TIME"
415,415114,41511407,4151140703,7,5,3,1,1,1,0,1,2,,2,2,
417,417101,41710101,4171010109,1,3,3,2,,,,2,2,,2,1,
417,417102,41710201,4171020103,10,8,1,1,2,4,0,1,1,1,2,1,
417,417104,41710401,4171040107,2,1,3,2,,,,2,2,,2,1,
417,417105,41710501,4171050107,8,5,3,1,0,0,1,2,2,,1,1,
417,417110,41711004,4171100404,8,8,3,1,2,2,0,2,2,,2,3,"SCHOOLS IN HOLIDAYS"
417,417114,41711404,4171140402,5,5,2,1,1,1,0,2,1,2,1,1,
418,418104,41810403,4181040301,4,4,3,1,0,0,1,2,2,,2,3,"Schools in holidays"
418,418201,41820102,4182010203,2,4,3,1,1,1,0,2,2,,2,3,"Not done Schools in holidays"
418,418202,41820201,4182020104,7,6,3,1,1,1,0,2,2,,2,2,
418,418209,41820907,4182090702,5,4,1,1,1,1,0,2,2,,2,1,
419,419204,41920402,4192040205,4,4,3,2,,,,1,2,,2,1,
420,420107,42010704,4201070403,2,2,3,2,,,,2,2,,2,3,"SCHOOL IN HOLIDAYS"
420,420108,42010803,4201080309,7,11,3,1,1,1,0,1,2,,2,3,"schools in holidays"
421,421108,42110801,4211080107,10,5,3,1,1,1,0,2,1,2,2,1,
422,422102,42210204,4221020401,4,3,1,2,,,,1,2,,2,3,"weekend"
423,423109,42310905,4231090509,,,,,,,,,,,1,3,"SCHOOL CLOSED, ITS A WEEKEND"
426,426104,42610402,4261040201,5,14,2,1,1,1,0,2,2,,1,1,
