"id_hh","id_ind","ind_sex","ind_position","ind_age","ind_marital_status","ind_years_in_location","n_ind_household","ind_permanent","n_child_15","n_child_5"
"H00101-04-01","P00101-001",2,1,48,3,17,3,1,0,0
"H00101-04-01","P00101-008",1,3,18,5,1,3,1,0,0
"H00101-04-01","P00101-009",1,3,20,5,1,3,1,0,0
"H00102-04-01","P00102-001",2,1,46,3,24,4,1,3,1
"H00102-04-01","P00102-002",1,3,10,5,6,4,1,3,1
"H00102-04-01","P00102-003",2,8,9,NA,2,4,1,3,1
"H00102-04-01","P00102-004",2,3,2,NA,100,4,1,3,1
"H00104-04-01","P00104-001",1,1,39,1,18,5,1,3,2
"H00104-04-01","P00104-002",2,2,37,1,15,5,2,3,2
"H00104-04-01","P00104-003",2,3,11,5,100,5,1,3,2
"H00104-04-01","P00104-006",2,3,3,NA,100,5,1,3,2
"H00104-04-01","P00104-007",2,3,0,NA,100,5,1,3,2
"H00110-04-01","P00110-001",1,1,41,4,18,2,1,0,0
"H00110-04-01","P00110-004",1,10,25,5,1,2,1,0,0
"H00208-04-01","P00208-001",1,1,75,1,60,5,1,0,0
"H00208-04-01","P00208-002",2,2,64,1,37,5,1,0,0
"H00208-04-01","P00208-004",1,3,28,5,100,5,1,0,0
"H00208-04-01","P00208-005",1,3,25,5,100,5,1,0,0
"H00208-04-01","P00208-006",2,3,21,5,100,5,1,0,0
"H00209-04-01","P00209-001",2,1,43,3,20,5,1,1,0
"H00209-04-01","P00209-003",2,3,20,5,100,5,1,1,0
"H00209-04-01","P00209-004",1,3,16,5,100,5,1,1,0
"H00209-04-01","P00209-005",1,8,23,5,7,5,1,1,0
"H00209-04-01","P00209-006",2,4,5,NA,100,5,1,1,0
"H00211-04-01","P00211-001",1,1,50,3,100,7,1,0,0
"H00211-04-01","P00211-003",1,3,19,5,100,7,2,0,0
"H00211-04-01","P00211-004",1,3,17,5,100,7,2,0,0
"H00211-04-01","P00211-007",2,8,24,5,100,7,1,0,0
"H00211-04-01","P00211-008",1,8,23,5,100,7,1,0,0
"H00211-04-01","P00211-009",1,8,20,5,100,7,1,0,0
"H00211-04-01","P00211-010",1,8,21,5,100,7,1,0,0
"H00213-04-01","P00213-001",1,1,51,4,35,7,1,2,0
"H00213-04-01","P00213-003",1,3,24,5,100,7,2,2,0
"H00213-04-01","P00213-004",1,3,18,5,100,7,2,2,0
"H00213-04-01","P00213-005",2,3,16,5,100,7,2,2,0
"H00213-04-01","P00213-006",1,3,14,5,100,7,2,2,0
"H00213-04-01","P00213-007",1,3,9,NA,100,7,2,2,0
"H00213-04-01","P00213-011",2,10,27,5,0,7,2,2,0
"H00301-04-01","P00301-001",1,1,45,1,20,6,1,3,2
"H00301-04-01","P00301-002",2,2,43,2,20,6,1,3,2
"H00301-04-01","P00301-003",1,3,18,5,100,6,2,3,2
"H00301-04-01","P00301-004",2,3,14,5,100,6,2,3,2
"H00301-04-01","P00301-006",1,3,3,NA,100,6,1,3,2
"H00301-04-01","P00301-008",2,4,4,NA,100,6,1,3,2
"H00302-04-01","P00302-001",1,1,46,3,13,2,1,0,0
"H00302-04-01","P00302-003",2,3,15,5,13,2,1,0,0
"H00303-04-01","P00303-001",2,1,62,4,42,5,1,2,0
"H00303-04-01","P00303-002",1,3,41,5,8,5,1,2,0
"H00303-04-01","P00303-005",2,3,21,5,100,5,1,2,0
"H00303-04-01","P00303-014",1,4,9,NA,100,5,1,2,0
"H00303-04-01","P00303-015",1,4,6,NA,100,5,1,2,0
"H00304-04-01","P00304-001",1,1,40,3,9,1,1,0,0
"H00307-04-01","P00307-001",1,2,48,2,5,4,2,2,0
"H00307-04-01","P00307-002",2,1,42,2,10,4,1,2,0
"H00307-04-01","P00307-003",1,3,13,5,10,4,1,2,0
"H00307-04-01","P00307-005",1,8,5,NA,100,4,1,2,0
"H00312-04-01","P00312-001",2,1,52,3,5,7,1,1,0
"H00312-04-01","P00312-002",2,3,21,5,2,7,1,1,0
"H00312-04-01","P00312-003",1,3,20,5,2,7,1,1,0
"H00312-04-01","P00312-004",1,3,8,NA,2,7,1,1,0
"H00312-04-01","P00312-006",1,7,20,5,2,7,1,1,0
"H00312-04-01","P00312-007",1,7,18,5,2,7,1,1,0
"H00312-04-01","P00312-008",1,3,26,5,2,7,1,1,0
"H00313-04-01","P00313-001",1,1,55,1,26,6,1,2,0
"H00313-04-01","P00313-002",2,2,46,1,26,6,1,2,0
"H00313-04-01","P00313-005",2,3,25,1,100,6,1,2,0
"H00313-04-01","P00313-011",2,7,18,5,7,6,1,2,0
"H00313-04-01","P00313-013",1,7,13,5,3,6,1,2,0
"H00313-04-01","P00313-015",2,4,6,NA,3,6,1,2,0
"H00606-04-01","P00606-001",1,1,50,1,13,5,1,1,0
"H00606-04-01","P00606-002",2,2,35,2,13,5,1,1,0
"H00606-04-01","P00606-003",1,3,17,5,13,5,2,1,0
"H00606-04-01","P00606-004",1,3,15,5,13,5,2,1,0
"H00606-04-01","P00606-005",1,3,10,5,100,5,1,1,0
"H00704-04-01","P00704-001",1,1,46,1,15,8,1,3,0
"H00704-04-01","P00704-002",2,2,46,1,15,8,1,3,0
"H00704-04-01","P00704-003",1,3,23,5,15,8,2,3,0
"H00704-04-01","P00704-004",2,3,19,5,15,8,2,3,0
"H00704-04-01","P00704-005",1,3,16,5,15,8,1,3,0
"H00704-04-01","P00704-006",2,3,14,5,100,8,1,3,0
"H00704-04-01","P00704-007",1,3,10,5,100,8,1,3,0
"H00704-04-01","P00704-008",1,3,7,NA,100,8,1,3,0
"H00707-04-01","P00707-001",2,1,51,1,20,7,1,0,0
"H00707-04-01","P00707-002",1,3,30,5,20,7,1,0,0
"H00707-04-01","P00707-008",2,6,31,5,15,7,1,0,0
"H00707-04-01","P00707-009",1,7,25,5,7,7,1,0,0
"H00707-04-01","P00707-010",1,4,17,5,10,7,1,0,0
"H00707-04-01","P00707-017",1,8,18,5,2,7,1,0,0
"H00707-04-01","P00707-018",2,10,20,5,0,7,1,0,0
"H00710-04-01","P00710-001",1,1,52,2,19,7,1,1,0
"H00710-04-01","P00710-002",2,2,49,2,19,7,1,1,0
"H00710-04-01","P00710-003",2,3,25,5,19,7,2,1,0
"H00710-04-01","P00710-004",2,3,23,5,19,7,1,1,0
"H00710-04-01","P00710-005",2,3,17,5,10,7,1,1,0
"H00710-04-01","P00710-006",1,3,19,5,12,7,1,1,0
"H00710-04-01","P00710-007",2,4,13,5,12,7,1,1,0
"H00712-04-01","P00712-001",1,1,61,1,22,4,1,0,0
"H00712-04-01","P00712-002",2,2,49,1,22,4,1,0,0
"H00712-04-01","P00712-005",2,3,24,5,22,4,1,0,0
"H00712-04-01","P00712-006",1,3,22,5,100,4,1,0,0
"H00801-04-01","P00801-001",1,1,34,1,3,6,1,3,1
"H00801-04-01","P00801-002",2,2,30,1,3,6,1,3,1
"H00801-04-01","P00801-003",1,3,5,NA,3,6,1,3,1
"H00801-04-01","P00801-008",1,3,3,NA,3,6,1,3,1
"H00801-04-01","P00801-014",2,7,13,5,3,6,1,3,1
"H00801-04-01","P00801-015",2,8,20,5,1,6,1,3,1
"H00802-04-01","P00802-001",1,1,56,1,11,4,1,1,0
"H00802-04-01","P00802-002",2,2,44,1,9,4,1,1,0
"H00802-04-01","P00802-003",1,3,11,5,100,4,1,1,0
"H00802-04-01","P00802-006",2,6,24,5,5,4,1,1,0
"H00803-04-01","P00803-001",2,1,51,4,5,6,1,3,1
"H00803-04-01","P00803-002",2,3,25,5,5,6,1,3,1
"H00803-04-01","P00803-003",1,3,23,5,5,6,1,3,1
"H00803-04-01","P00803-007",1,7,12,5,5,6,1,3,1
"H00803-04-01","P00803-009",2,4,1,NA,100,6,1,3,1
"H00803-04-01","P00803-010",1,7,9,NA,2,6,1,3,1
"H00805-04-01","P00805-001",1,1,29,1,10,4,1,2,2
"H00805-04-01","P00805-002",2,2,21,1,3,4,1,2,2
"H00805-04-01","P00805-003",1,3,2,NA,100,4,1,2,2
"H00805-04-01","P00805-004",1,3,1,NA,100,4,1,2,2
"H00809-04-01","P00809-001",1,1,45,1,12,12,1,7,2
"H00809-04-01","P00809-002",2,2,32,1,12,12,1,7,2
"H00809-04-01","P00809-003",2,6,18,5,9,12,1,7,2
"H00809-04-01","P00809-004",2,3,17,5,100,12,1,7,2
"H00809-04-01","P00809-005",1,3,16,5,100,12,2,7,2
"H00809-04-01","P00809-006",1,3,14,5,100,12,2,7,2
"H00809-04-01","P00809-007",1,3,12,5,100,12,1,7,2
"H00809-04-01","P00809-008",1,3,10,5,100,12,1,7,2
"H00809-04-01","P00809-009",2,3,6,NA,100,12,1,7,2
"H00809-04-01","P00809-010",1,7,0,NA,100,12,1,7,2
"H00809-04-01","P00809-011",1,3,0,NA,100,12,1,7,2
"H00809-04-01","P00809-012",2,7,6,NA,100,12,1,7,2
"H00810-04-02","P00810-001",2,1,57,2,100,19,1,7,5
"H00810-04-02","P00810-002",1,3,34,1,100,19,2,7,5
"H00810-04-02","P00810-004",2,3,35,5,100,19,2,7,5
"H00810-04-02","P00810-006",1,3,24,5,100,19,1,7,5
"H00810-04-02","P00810-007",2,3,19,5,100,19,1,7,5
"H00810-04-02","P00810-008",1,8,32,5,100,19,1,7,5
"H00810-04-02","P00810-009",1,8,71,5,100,19,1,7,5
"H00810-04-02","P00810-010",2,7,20,5,NA,19,1,7,5
"H00810-04-02","P00810-011",1,4,16,5,100,19,1,7,5
"H00810-04-02","P00810-016",1,2,63,2,100,19,1,7,5
"H00810-04-02","P00810-017",1,4,3,NA,100,19,1,7,5
"H00810-04-02","P00810-018",2,4,14,5,100,19,1,7,5
"H00810-04-02","P00810-019",2,8,28,1,100,19,1,7,5
"H00810-04-02","P00810-020",1,4,1,NA,100,19,1,7,5
"H00810-04-02","P00810-021",2,4,3,NA,100,19,1,7,5
"H00810-04-02","P00810-022",1,4,2,NA,100,19,1,7,5
"H00810-04-02","P00810-023",2,10,14,5,NA,19,1,7,5
"H00810-04-02","P00810-024",1,4,1,NA,NA,19,1,7,5
"H00810-04-02","P00810-025",2,10,40,5,NA,19,2,7,5
"H00810-04-03","P00810-005",2,2,26,1,100,2,1,0,0
"H00810-04-03","P00810-026",1,1,27,1,100,2,1,0,0
"H00811-04-01","P00811-001",1,1,40,1,100,6,1,3,1
"H00811-04-01","P00811-002",2,2,36,1,21,6,1,3,1
"H00811-04-01","P00811-003",1,3,18,5,100,6,2,3,1
"H00811-04-01","P00811-004",2,3,14,1,100,6,2,3,1
"H00811-04-01","P00811-005",1,3,9,NA,100,6,2,3,1
"H00811-04-01","P00811-006",1,3,4,NA,100,6,1,3,1
"H01209-04-01","P01209-003",1,1,24,5,2,8,1,2,0
"H01209-04-01","P01209-004",1,3,21,5,100,8,1,2,0
"H01209-04-01","P01209-005",1,3,19,5,100,8,1,2,0
"H01209-04-01","P01209-006",2,3,17,5,100,8,1,2,0
"H01209-04-01","P01209-007",1,3,13,5,100,8,1,2,0
"H01209-04-01","P01209-008",2,3,9,NA,100,8,1,2,0
"H01209-04-01","P01209-011",2,8,53,4,20,8,1,2,0
"H01209-04-01","P01209-012",2,8,58,4,10,8,1,2,0
"H01209-04-02","P01209-023",1,1,25,1,100,4,1,2,2
"H01209-04-02","P01209-024",2,2,22,1,100,4,1,2,2
"H01209-04-02","P01209-025",2,3,4,NA,100,4,1,2,2
"H01209-04-02","P01209-026",2,3,3,NA,100,4,1,2,2
"H01209-04-03","P01209-013",1,1,70,2,30,7,1,4,1
"H01209-04-03","P01209-014",2,2,34,2,23,7,1,4,1
"H01209-04-03","P01209-015",1,3,7,NA,100,7,1,4,1
"H01209-04-03","P01209-016",1,3,6,NA,100,7,1,4,1
"H01209-04-03","P01209-017",1,3,14,5,100,7,1,4,1
"H01209-04-03","P01209-021",2,6,18,5,100,7,1,4,1
"H01209-04-03","P01209-027",1,3,2,NA,100,7,1,4,1
"H01210-04-01","P01210-001",1,1,40,1,16,7,1,3,1
"H01210-04-01","P01210-002",2,2,37,1,15,7,2,3,1
"H01210-04-01","P01210-003",2,3,17,5,6,7,1,3,1
"H01210-04-01","P01210-004",2,3,16,5,6,7,1,3,1
"H01210-04-01","P01210-005",2,3,9,NA,1,7,1,3,1
"H01210-04-01","P01210-006",1,3,6,NA,100,7,2,3,1
"H01210-04-01","P01210-010",2,3,2,NA,1,7,1,3,1
"H01401-04-01","P01401-002",1,1,33,5,100,3,1,0,0
"H01401-04-01","P01401-009",1,6,23,5,100,3,1,0,0
"H01401-04-01","P01401-010",2,6,21,5,100,3,1,0,0
"H01402-04-01","P01402-001",2,1,49,4,20,4,1,0,0
"H01402-04-01","P01402-003",1,7,29,5,3,4,1,0,0
"H01402-04-01","P01402-008",2,10,24,5,2,4,1,0,0
"H01402-04-01","P01402-009",2,10,18,5,0,4,1,0,0
"H01406-04-01","P01406-001",1,1,51,1,27,6,1,2,0
"H01406-04-01","P01406-002",2,3,26,5,100,6,1,2,0
"H01406-04-01","P01406-003",2,3,24,5,100,6,1,2,0
"H01406-04-01","P01406-004",1,3,21,5,100,6,1,2,0
"H01406-04-01","P01406-005",2,3,11,5,9,6,1,2,0
"H01406-04-01","P01406-006",1,4,5,NA,100,6,1,2,0
"H01409-04-01","P01409-001",2,1,60,4,20,1,1,0,0
"H01601-04-01","P01601-001",1,1,32,1,10,3,1,0,0
"H01601-04-01","P01601-007",2,2,21,1,2,3,1,0,0
"H01601-04-01","P01601-008",2,3,NA,NA,100,3,2,0,0
"H01604-04-01","P01604-001",1,1,73,3,51,2,1,0,0
"H01604-04-01","P01604-013",2,4,16,5,6,2,2,0,0
"H01605-04-01","P01605-001",2,1,54,4,21,7,1,0,0
"H01605-04-01","P01605-002",1,3,30,5,21,7,1,0,0
"H01605-04-01","P01605-008",1,8,42,5,10,7,1,0,0
"H01605-04-01","P01605-010",1,10,49,2,5,7,1,0,0
"H01605-04-01","P01605-015",2,10,31,1,3,7,1,0,0
"H01605-04-01","P01605-021",1,8,32,1,3,7,1,0,0
"H01605-04-01","P01605-026",2,10,15,5,0,7,2,0,0
"H01607-04-01","P01607-001",2,1,54,3,38,11,1,4,1
"H01607-04-01","P01607-002",2,3,35,3,100,11,1,4,1
"H01607-04-01","P01607-003",1,3,26,5,100,11,1,4,1
"H01607-04-01","P01607-004",1,3,18,5,100,11,1,4,1
"H01607-04-01","P01607-005",2,3,16,5,100,11,1,4,1
"H01607-04-01","P01607-006",2,3,11,5,100,11,1,4,1
"H01607-04-01","P01607-007",1,4,8,NA,100,11,1,4,1
"H01607-04-01","P01607-010",2,3,29,5,100,11,1,4,1
"H01607-04-01","P01607-011",2,4,4,NA,100,11,1,4,1
"H01607-04-01","P01607-012",2,4,16,5,100,11,1,4,1
"H01607-04-01","P01607-013",2,4,8,NA,100,11,1,4,1
"H01612-04-01","P01612-002",2,7,23,5,5,5,1,2,1
"H01612-04-01","P01612-003",2,1,29,3,10,5,1,2,1
"H01612-04-01","P01612-004",2,8,27,3,7,5,1,2,1
"H01612-04-01","P01612-007",2,8,5,NA,100,5,1,2,1
"H01612-04-01","P01612-008",2,8,0,NA,100,5,1,2,1
"H01801-04-01","P01801-001",1,1,48,1,15,6,1,3,0
"H01801-04-01","P01801-002",2,2,29,1,8,6,1,3,0
"H01801-04-01","P01801-004",1,3,17,5,100,6,1,3,0
"H01801-04-01","P01801-006",2,3,7,NA,100,6,1,3,0
"H01801-04-01","P01801-007",2,8,10,5,100,6,1,3,0
"H01801-04-01","P01801-008",1,8,14,5,100,6,1,3,0
"H01806-04-01","P01806-002",2,1,34,3,10,5,1,4,1
"H01806-04-01","P01806-004",2,3,9,NA,100,5,1,4,1
"H01806-04-01","P01806-009",2,3,3,NA,100,5,1,4,1
"H01806-04-01","P01806-011",2,3,8,NA,100,5,1,4,1
"H01806-04-01","P01806-012",1,3,5,NA,100,5,1,4,1
"H01806-04-02","P01806-001",1,1,36,1,0,5,1,3,3
"H01806-04-02","P01806-010",2,2,24,1,0,5,1,3,3
"H01806-04-02","P01806-013",2,3,3,NA,0,5,1,3,3
"H01806-04-02","P01806-014",1,3,1,NA,0,5,1,3,3
"H01806-04-02","P01806-015",2,3,0,NA,100,5,1,3,3
"H01809-04-01","P01809-001",2,1,38,4,15,7,1,3,1
"H01809-04-01","P01809-002",2,3,19,5,15,7,1,3,1
"H01809-04-01","P01809-003",2,3,16,5,15,7,1,3,1
"H01809-04-01","P01809-004",2,3,14,5,100,7,1,3,1
"H01809-04-01","P01809-006",2,7,24,5,6,7,1,3,1
"H01809-04-01","P01809-012",2,7,7,NA,1,7,1,3,1
"H01809-04-01","P01809-013",1,7,4,NA,1,7,1,3,1
"H01813-04-01","P01813-001",2,1,64,4,41,6,1,1,0
"H01813-04-01","P01813-004",1,4,19,5,100,6,1,1,0
"H01813-04-01","P01813-005",1,4,18,5,100,6,1,1,0
"H01813-04-01","P01813-006",1,3,36,3,100,6,1,1,0
"H01813-04-01","P01813-010",2,4,18,5,4,6,2,1,0
"H01813-04-01","P01813-014",2,4,11,5,3,6,1,1,0
"H02108-04-01","P02108-001",2,1,33,3,17,5,1,4,1
"H02108-04-01","P02108-002",1,3,11,5,100,5,1,4,1
"H02108-04-01","P02108-003",1,3,7,NA,100,5,1,4,1
"H02108-04-01","P02108-004",1,3,5,NA,100,5,1,4,1
"H02108-04-01","P02108-005",1,3,1,NA,100,5,1,4,1
"H02110-04-01","P02110-001",1,1,72,1,30,5,1,1,0
"H02110-04-01","P02110-002",2,2,43,1,15,5,1,1,0
"H02110-04-01","P02110-003",2,3,21,5,100,5,1,1,0
"H02110-04-01","P02110-004",1,3,19,5,100,5,2,1,0
"H02110-04-01","P02110-007",1,4,8,NA,2,5,1,1,0
"H02111-04-01","P02111-001",1,1,41,1,12,11,1,7,1
"H02111-04-01","P02111-002",2,2,37,1,12,11,1,7,1
"H02111-04-01","P02111-003",1,3,15,5,12,11,1,7,1
"H02111-04-01","P02111-004",1,3,14,5,12,11,1,7,1
"H02111-04-01","P02111-005",1,3,11,5,100,11,1,7,1
"H02111-04-01","P02111-006",1,3,10,5,100,11,1,7,1
"H02111-04-01","P02111-007",1,3,8,NA,100,11,1,7,1
"H02111-04-01","P02111-008",2,3,7,NA,100,11,1,7,1
"H02111-04-01","P02111-009",1,3,4,NA,100,11,1,7,1
"H02111-04-01","P02111-011",2,8,20,5,8,11,1,7,1
"H02111-04-01","P02111-012",1,7,12,5,5,11,1,7,1
"H02113-04-01","P02113-001",2,1,44,4,22,8,1,3,0
"H02113-04-01","P02113-005",1,3,24,5,20,8,1,3,0
"H02113-04-01","P02113-006",2,3,22,5,100,8,1,3,0
"H02113-04-01","P02113-007",1,3,21,5,100,8,1,3,0
"H02113-04-01","P02113-008",1,3,18,5,100,8,1,3,0
"H02113-04-01","P02113-010",1,8,10,5,100,8,1,3,0
"H02113-04-01","P02113-011",2,8,10,5,2,8,1,3,0
"H02113-04-01","P02113-014",2,8,5,NA,1,8,1,3,0
"H02203-04-01","P02203-002",2,1,40,1,16,6,1,1,0
"H02203-04-01","P02203-003",2,3,20,5,16,6,1,1,0
"H02203-04-01","P02203-004",1,3,16,5,100,6,1,1,0
"H02203-04-01","P02203-005",2,3,15,5,100,6,1,1,0
"H02203-04-01","P02203-006",2,7,15,5,12,6,1,1,0
"H02203-04-01","P02203-007",2,3,8,NA,100,6,1,1,0
"H02205-04-01","P02205-001",1,1,54,1,10,9,1,2,0
"H02205-04-01","P02205-002",2,2,51,1,11,9,1,2,0
"H02205-04-01","P02205-003",2,3,23,5,11,9,1,2,0
"H02205-04-01","P02205-004",2,3,22,5,11,9,1,2,0
"H02205-04-01","P02205-005",2,3,16,5,11,9,1,2,0
"H02205-04-01","P02205-006",2,3,13,5,11,9,1,2,0
"H02205-04-01","P02205-007",2,8,10,5,2,9,1,2,0
"H02205-04-01","P02205-011",1,8,41,5,1,9,1,2,0
"H02205-04-01","P02205-012",2,10,32,5,0,9,2,2,0
"H02206-04-01","P02206-001",1,1,44,1,15,5,1,3,1
"H02206-04-01","P02206-002",1,3,14,5,100,5,1,3,1
"H02206-04-01","P02206-003",2,3,10,5,100,5,1,3,1
"H02206-04-01","P02206-005",2,2,26,1,3,5,1,3,1
"H02206-04-01","P02206-006",1,3,1,NA,0,5,1,3,1
"H02207-04-01","P02207-001",2,1,45,1,15,5,1,2,0
"H02207-04-01","P02207-003",1,3,15,5,100,5,2,2,0
"H02207-04-01","P02207-004",2,3,12,5,100,5,2,2,0
"H02207-04-01","P02207-005",1,2,45,1,100,5,1,2,0
"H02207-04-01","P02207-006",1,7,6,NA,0,5,1,2,0
"H02304-04-01","P02304-001",1,1,30,1,2,2,1,0,0
"H02304-04-01","P02304-002",2,2,28,1,2,2,1,0,0
"H02305-04-01","P02305-001",2,1,73,4,26,4,1,1,0
"H02305-04-01","P02305-002",2,4,24,5,100,4,1,1,0
"H02305-04-01","P02305-003",2,4,22,5,100,4,1,1,0
"H02305-04-01","P02305-004",2,4,12,5,5,4,1,1,0
"H02310-04-01","P02310-001",2,1,63,4,42,4,1,1,0
"H02310-04-01","P02310-002",2,3,40,5,100,4,1,1,0
"H02310-04-01","P02310-003",2,4,19,5,100,4,1,1,0
"H02310-04-01","P02310-005",2,4,12,5,100,4,1,1,0
"H02401-04-01","P02401-001",1,1,36,1,2,1,1,0,0
"H02407-04-01","P02407-001",1,1,41,5,20,1,1,0,0
"H02409-04-01","P02409-001",2,1,43,3,9,1,1,0,0
"H02412-04-01","P02412-001",2,2,31,1,21,7,1,5,2
"H02412-04-01","P02412-002",2,8,12,5,2,7,2,5,2
"H02412-04-01","P02412-003",1,3,9,NA,100,7,1,5,2
"H02412-04-01","P02412-004",1,3,7,NA,100,7,1,5,2
"H02412-04-01","P02412-005",1,3,4,NA,100,7,1,5,2
"H02412-04-01","P02412-006",1,1,39,1,24,7,1,5,2
"H02412-04-01","P02412-007",2,3,2,NA,100,7,1,5,2
"H02507-04-01","P02507-001",1,1,42,1,20,6,1,4,1
"H02507-04-01","P02507-002",2,2,33,1,15,6,1,4,1
"H02507-04-01","P02507-003",2,3,12,5,100,6,1,4,1
"H02507-04-01","P02507-004",2,3,10,5,100,6,1,4,1
"H02507-04-01","P02507-005",1,3,7,NA,100,6,1,4,1
"H02507-04-01","P02507-006",1,3,2,NA,100,6,1,4,1
"H02601-04-01","P02601-006",1,1,25,5,1,1,1,0,0
"H02601-04-02","P02601-001",1,1,59,1,28,9,1,3,1
"H02601-04-02","P02601-002",2,2,51,1,28,9,1,3,1
"H02601-04-02","P02601-004",2,3,28,5,100,9,1,3,1
"H02601-04-02","P02601-005",2,3,28,5,100,9,1,3,1
"H02601-04-02","P02601-007",2,3,19,5,100,9,2,3,1
"H02601-04-02","P02601-008",2,7,25,5,4,9,2,3,1
"H02601-04-02","P02601-009",2,4,6,NA,100,9,1,3,1
"H02601-04-02","P02601-010",1,10,12,5,5,9,1,3,1
"H02601-04-02","P02601-012",1,4,4,NA,100,9,2,3,1
"H02602-04-01","P02602-001",1,1,79,2,100,11,1,3,1
"H02602-04-01","P02602-002",2,2,74,2,50,11,1,3,1
"H02602-04-01","P02602-003",1,3,38,3,100,11,1,3,1
"H02602-04-01","P02602-005",2,2,37,2,20,11,1,3,1
"H02602-04-01","P02602-006",1,3,20,5,100,11,1,3,1
"H02602-04-01","P02602-007",1,3,19,5,100,11,1,3,1
"H02602-04-01","P02602-008",1,3,17,5,100,11,1,3,1
"H02602-04-01","P02602-009",2,3,16,5,100,11,1,3,1
"H02602-04-01","P02602-010",1,3,11,5,100,11,1,3,1
"H02602-04-01","P02602-011",2,3,9,NA,100,11,1,3,1
"H02602-04-01","P02602-023",1,3,3,NA,100,11,1,3,1
"H02608-04-01","P02608-001",1,1,65,1,40,4,1,1,1
"H02608-04-01","P02608-003",1,3,22,5,100,4,1,1,1
"H02608-04-01","P02608-009",2,2,39,1,2,4,1,1,1
"H02608-04-01","P02608-010",2,3,1,NA,100,4,1,1,1
"H02608-04-02","P02608-004",1,1,28,1,1,3,1,1,1
"H02608-04-02","P02608-011",2,2,24,1,1,3,1,1,1
"H02608-04-02","P02608-012",2,3,0,NA,100,3,1,1,1
"H02609-04-01","P02609-001",1,1,59,1,11,2,1,0,0
"H02609-04-01","P02609-002",2,3,26,5,7,2,1,0,0
"H02703-04-02","P02703-001",1,1,41,1,17,4,1,2,0
"H02703-04-02","P02703-016",2,2,38,1,100,4,1,2,0
"H02703-04-02","P02703-017",1,3,8,NA,100,4,1,2,0
"H02703-04-02","P02703-018",1,3,7,NA,100,4,1,2,0
"H02705-04-01","P02705-001",1,1,51,2,25,3,1,0,0
"H02705-04-01","P02705-008",2,2,49,2,19,3,1,0,0
"H02705-04-01","P02705-009",1,3,15,5,100,3,1,0,0
"H02705-04-02","P02705-003",1,1,23,5,0,1,1,0,0
"H02706-04-01","P02706-009",1,1,27,1,100,3,1,1,1
"H02706-04-01","P02706-014",2,2,27,1,12,3,1,1,1
"H02706-04-01","P02706-015",2,3,1,NA,100,3,1,1,1
"H02710-04-01","P02710-001",2,1,74,2,55,9,1,4,1
"H02710-04-01","P02710-002",2,3,51,5,100,9,1,4,1
"H02710-04-01","P02710-004",1,4,16,5,14,9,1,4,1
"H02710-04-01","P02710-005",2,4,16,5,10,9,2,4,1
"H02710-04-01","P02710-006",1,4,7,NA,100,9,1,4,1
"H02710-04-01","P02710-007",2,4,7,NA,100,9,1,4,1
"H02710-04-01","P02710-009",1,4,16,5,100,9,2,4,1
"H02710-04-01","P02710-011",1,4,7,NA,100,9,1,4,1
"H02710-04-01","P02710-012",1,4,3,NA,100,9,1,4,1
"H02711-04-01","P02711-001",1,1,70,1,51,1,1,0,0
"H02711-04-02","P02711-004",1,1,22,5,100,2,1,0,0
"H02711-04-02","P02711-006",1,6,20,5,100,2,1,0,0
"H02711-04-03","P02711-005",2,2,25,1,1,6,1,3,2
"H02711-04-03","P02711-008",1,1,38,1,1,6,1,3,2
"H02711-04-03","P02711-009",1,3,7,NA,1,6,1,3,2
"H02711-04-03","P02711-010",1,3,4,NA,1,6,1,3,2
"H02711-04-03","P02711-011",1,3,1,NA,100,6,1,3,2
"H02711-04-03","P02711-012",2,10,21,3,0,6,2,3,2
"H02802-04-01","P02802-001",1,1,47,1,20,7,1,0,0
"H02802-04-01","P02802-002",2,2,39,1,20,7,1,0,0
"H02802-04-01","P02802-003",2,3,20,5,100,7,1,0,0
"H02802-04-01","P02802-004",1,3,19,5,100,7,1,0,0
"H02802-04-01","P02802-005",2,3,17,5,100,7,1,0,0
"H02802-04-01","P02802-006",1,3,22,5,7,7,1,0,0
"H02802-04-01","P02802-007",1,3,17,5,1,7,1,0,0
"H02803-04-01","P02803-001",1,1,53,1,35,6,1,2,0
"H02803-04-01","P02803-002",2,2,39,1,20,6,1,2,0
"H02803-04-01","P02803-003",1,3,18,5,100,6,1,2,0
"H02803-04-01","P02803-004",2,3,16,5,100,6,1,2,0
"H02803-04-01","P02803-005",2,3,7,NA,100,6,1,2,0
"H02803-04-01","P02803-006",2,3,5,NA,100,6,1,2,0
"H02811-04-01","P02811-001",2,1,47,3,24,4,1,1,0
"H02811-04-01","P02811-003",2,3,23,5,100,4,2,1,0
"H02811-04-01","P02811-004",2,3,18,5,100,4,1,1,0
"H02811-04-01","P02811-005",2,7,12,5,7,4,1,1,0
"H03001-04-01","P03001-001",1,1,30,2,1,6,1,4,2
"H03001-04-01","P03001-002",2,2,22,2,1,6,1,4,2
"H03001-04-01","P03001-003",2,3,4,NA,1,6,1,4,2
"H03001-04-01","P03001-004",1,6,11,5,1,6,1,4,2
"H03001-04-01","P03001-005",1,10,7,NA,1,6,1,4,2
"H03001-04-01","P03001-006",1,3,1,NA,100,6,1,4,2
"H03003-04-01","P03003-001",1,1,30,1,11,5,1,3,2
