"id_hh","wgt","ea","rural"
"H04803-04-02",3894.08081054688,48,2
"H04804-04-01",2980.68896484375,48,2
"H04805-04-01",0,48,2
"H04806-04-01",1823.1015625,48,2
"H04807-04-01",5961.3779296875,48,2
"H04808-04-01",2440.74951171875,48,1
"H04808-04-02",0,48,1
"H04810-04-01",2100.36865234375,48,2
"H04903-04-01",4895.97265625,49,2
"H04905-04-01",829.046325683594,49,2
"H04907-04-01",1740.99743652344,49,2
"H04908-04-01",2034.68969726563,49,2
"H04909-04-01",1672.22436523438,49,2
"H04910-04-01",2736.3671875,49,2
"H04912-04-01",2089.50659179688,49,2
"H04913-04-01",3237.87109375,49,2
"H04913-04-02",0,49,2
"H04913-04-03",0,49,2
"H04913-04-04",4856.806640625,49,2
"H04913-04-05",3885.44506835938,49,2
"H04913-04-06",0,49,2
"H05002-04-01",1472.0087890625,50,2
"H05003-04-01",3167.23193359375,50,2
"H05003-04-02",7390.20751953125,50,1
"H05004-04-01",835.586669921875,50,2
"H05005-04-01",957.159118652344,50,2
"H05006-04-01",2672.03442382813,50,2
"H05007-04-01",2375.1416015625,50,2
"H05008-04-01",1847.55187988281,50,2
"H05009-04-01",3562.71264648438,50,2
"H05010-04-01",3079.25317382813,50,2
"H05101-04-01",0,51,2
"H05102-04-01",4558.79638671875,51,2
"H05103-04-01",10360.2421875,51,2
"H05104-04-01",11347.6884765625,51,2
"H05105-04-01",7348.60400390625,51,2
"H05106-04-01",2793.69653320313,51,2
"H05107-04-01",6128.65966796875,51,2
"H05108-04-01",6252.0634765625,51,2
"H05109-04-01",9805.8564453125,51,2
"H05110-04-01",0,51,2
"H05301-04-01",0,53,1
"H05302-04-01",8723.6630859375,53,2
"H05303-04-01",7975.919921875,53,2
"H05304-04-01",0,53,2
"H05305-04-01",0,53,2
"H05305-04-02",0,53,1
"H05305-04-03",0,53,2
"H05305-04-05",0,53,1
"H05306-04-01",5456.05029296875,53,2
"H05306-04-02",0,53,2
"H05308-04-01",4171.4072265625,53,2
"H05309-04-01",0,53,2
"H05310-04-01",3619.13500976563,53,2
"H05310-04-02",11581.232421875,53,2
"H05403-04-01",2503.04760742188,54,2
"H05404-04-01",5774.130859375,54,2
"H05405-04-01",16686.982421875,54,2
"H05406-04-01",5132.56103515625,54,2
"H05407-04-01",5964.3310546875,54,2
"H05407-04-02",0,54,2
"H05409-04-01",2083.99829101563,54,2
